fpr,tpr
0.0,0.0
0.0005,0.032810232426303855
0.001,0.06562046485260771
0.0015,0.09843069727891157
0.002,0.13124092970521542
0.0025,0.16405116213151927
0.003,0.19686139455782314
0.0035,0.229671626984127
0.004,0.26248185941043084
0.0045000000000000005,0.29365079365079366
0.005,0.2942410714285714
0.0055,0.2952756283068783
0.006,0.2963101851851852
0.006500000000000001,0.29734474206349204
0.007,0.29837929894179893
0.0075,0.2994138558201058
0.008,0.30044841269841266
0.0085,0.30148296957671955
0.009000000000000001,0.303713529856387
0.0095,0.306078231292517
0.01,0.308442932728647
0.0105,0.310807634164777
0.011,0.313172335600907
0.0115,0.315537037037037
0.012,0.31794820384294065
0.0125,0.32056182121971594
0.013000000000000001,0.3231754385964912
0.0135,0.32578905597326646
0.014,0.32840267335004175
0.0145,0.33101629072681704
0.015,0.3335837742504409
0.0155,0.33579082892416223
0.016,0.3379978835978836
0.0165,0.3402049382716049
0.017,0.34241199294532626
0.0175,0.3446190476190476
0.018000000000000002,0.34682610229276895
0.0185,0.3490331569664903
0.019,0.3500643849206349
0.0195,0.3509954861111111
0.02,0.35192658730158727
0.0205,0.3528576884920635
0.021,0.3537887896825397
0.021500000000000002,0.35471989087301586
0.022,0.35565099206349204
0.0225,0.3611111111111111
0.023,0.36507936507936506
0.0235,0.36507936507936506
0.024,0.36507936507936506
0.0245,0.36507936507936506
0.025,0.36507936507936506
0.025500000000000002,0.36904761904761907
0.026000000000000002,0.373015873015873
0.0265,0.376984126984127
0.027,0.376984126984127
0.0275,0.376984126984127
0.028,0.376984126984127
0.0285,0.376984126984127
0.029,0.376984126984127
0.029500000000000002,0.38095238095238093
0.03,0.38492063492063494
0.0305,0.38492063492063494
0.031,0.38492063492063494
0.0315,0.3888888888888889
0.032,0.3888888888888889
0.0325,0.3888888888888889
0.033,0.39285714285714285
0.0335,0.4007936507936508
0.034,0.4007936507936508
0.0345,0.4007936507936508
0.035,0.4087301587301587
0.035500000000000004,0.4087301587301587
0.036000000000000004,0.4087301587301587
0.0365,0.4087301587301587
0.037,0.4087301587301587
0.0375,0.4087301587301587
0.038,0.4087301587301587
0.0385,0.41021747967479677
0.039,0.4166666666666667
0.0395,0.4166666666666667
0.04,0.4246031746031746
0.0405,0.4246031746031746
0.041,0.42857142857142855
0.0415,0.43253968253968256
0.042,0.43253968253968256
0.0425,0.43253968253968256
0.043000000000000003,0.43253968253968256
0.043500000000000004,0.43253968253968256
0.044,0.43253968253968256
0.0445,0.43253968253968256
0.045,0.43257653061224494
0.0455,0.4343500566893424
