fpr,tpr,threshold,model
0.0,0.0,inf,Fixed_MUC5B_switch_hybrid
0.0010388365031165094,0.03571428571428571,0.5981308411214953,Fixed_MUC5B_switch_hybrid
0.0021575835064727507,0.10317460317460317,0.5757575757575758,Fixed_MUC5B_switch_hybrid
0.003036599009109797,0.16666666666666666,0.5631067961165048,Fixed_MUC5B_switch_hybrid
0.003835704011507112,0.23015873015873015,0.5576923076923077,Fixed_MUC5B_switch_hybrid
0.004474988013424964,0.2896825396825397,0.5514018691588785,Fixed_MUC5B_switch_hybrid
0.004474988013424964,0.29365079365079366,0.5183877848480756,Fixed_MUC5B_switch_hybrid
0.004554898513664696,0.29365079365079366,0.40266044710191373,Fixed_MUC5B_switch_hybrid
0.004634809013904427,0.29365079365079366,0.3374385243167433,Fixed_MUC5B_switch_hybrid
0.004714719514144159,0.29365079365079366,0.22606012647210577,Fixed_MUC5B_switch_hybrid
0.00855042352565127,0.30158730158730157,0.09898477157360407,Fixed_MUC5B_switch_hybrid
0.011906664535719994,0.31746031746031744,0.08536585365853659,Fixed_MUC5B_switch_hybrid
0.01494326354482979,0.3333333333333333,0.08495145631067962,Fixed_MUC5B_switch_hybrid
0.01853923605561771,0.3492063492063492,0.08293838862559241,Fixed_MUC5B_switch_hybrid
0.02493207607479623,0.3611111111111111,0.08074534161490683,Fixed_MUC5B_switch_hybrid
0.028927601086782804,0.36904761904761907,0.07883817427385892,Fixed_MUC5B_switch_hybrid
0.03244366309733099,0.376984126984127,0.07731958762886598,Fixed_MUC5B_switch_hybrid
0.036998561610995684,0.40476190476190477,0.07323232323232323,Fixed_MUC5B_switch_hybrid
0.04355122263065367,0.42857142857142855,0.071875,Fixed_MUC5B_switch_hybrid
0.0436311331308934,0.42857142857142855,0.07160496663934558,Fixed_MUC5B_switch_hybrid
0.04498961163496883,0.43253968253968256,0.07142857142857142,Fixed_MUC5B_switch_hybrid
0.046108358638325075,0.4365079365079365,0.06944444444444445,Fixed_MUC5B_switch_hybrid
0.04618826913856481,0.4365079365079365,0.06719641697711963,Fixed_MUC5B_switch_hybrid
0.04626817963880454,0.4365079365079365,0.06710078294242927,Fixed_MUC5B_switch_hybrid
0.04634809013904427,0.4365079365079365,0.06674225603003663,Fixed_MUC5B_switch_hybrid
0.05002397315007192,0.45634920634920634,0.0663265306122449,Fixed_MUC5B_switch_hybrid
0.053619945660859834,0.4722222222222222,0.065,Fixed_MUC5B_switch_hybrid
0.05617708166853125,0.48412698412698413,0.060810810810810814,Fixed_MUC5B_switch_hybrid
0.056256992168770975,0.48412698412698413,0.06014082573350953,Fixed_MUC5B_switch_hybrid
0.058254754674764264,0.5,0.058823529411764705,Fixed_MUC5B_switch_hybrid
0.058334665175004,0.5,0.05636393780276418,Fixed_MUC5B_switch_hybrid
0.059373501678120506,0.5079365079365079,0.0547945205479452,Fixed_MUC5B_switch_hybrid
0.06360875819082627,0.5119047619047619,0.04906542056074766,Fixed_MUC5B_switch_hybrid
0.06768419370305258,0.5198412698412699,0.04656862745098039,Fixed_MUC5B_switch_hybrid
0.07167971871503916,0.5277777777777778,0.04589371980676329,Fixed_MUC5B_switch_hybrid
0.07519578072558734,0.5357142857142857,0.045454545454545456,Fixed_MUC5B_switch_hybrid
0.07551542272654627,0.5357142857142857,0.0421875,Fixed_MUC5B_switch_hybrid
0.07567524372702573,0.5357142857142857,0.04078549848942598,Fixed_MUC5B_switch_hybrid
0.07631452772894358,0.5357142857142857,0.03909205548549811,Fixed_MUC5B_switch_hybrid
0.07671408023014224,0.5436507936507936,0.038461538461538464,Fixed_MUC5B_switch_hybrid
0.08086942624260827,0.5595238095238095,0.03694581280788178,Fixed_MUC5B_switch_hybrid
0.08734217676202653,0.5634920634920635,0.02576112412177986,Fixed_MUC5B_switch_hybrid
