target_name,repeat,split_seed,model,bin,n,cases,mean_pred,obs_rate,obs_rate_lo,obs_rate_hi,prob_min,prob_max
NON FIBROTIC ILA ADJUDICATED,1,1975117437,zebra,0,773,0,0.2325481731236159,0.0,0.0,0.004944971431527044,0.11052533634471677,0.2616884930296223
NON FIBROTIC ILA ADJUDICATED,1,1975117437,zebra,1,773,0,0.28685263576553616,0.0,0.0,0.004944971431527044,0.2617403435599508,0.31197732063783695
NON FIBROTIC ILA ADJUDICATED,1,1975117437,zebra,2,773,0,0.34286306449451714,0.0,0.0,0.004944971431527044,0.3120190426459585,0.37718670117353315
NON FIBROTIC ILA ADJUDICATED,1,1975117437,zebra,3,773,1,0.41300825440666,0.00129366106080207,0.00022839945553284995,0.007291099863622844,0.37722891098823874,0.45022737010529285
NON FIBROTIC ILA ADJUDICATED,1,1975117437,zebra,4,773,2,0.4949595510817531,0.00258732212160414,0.000709824034503437,0.009384203172280906,0.45024637996287137,0.5469272394072229
NON FIBROTIC ILA ADJUDICATED,1,1975117437,zebra,5,773,1,0.6090533084348462,0.00129366106080207,0.00022839945553284995,0.007291099863622844,0.547389742836921,0.6721724049922739
NON FIBROTIC ILA ADJUDICATED,1,1975117437,zebra,6,773,4,0.7375563962164785,0.00517464424320828,0.0020141033171344287,0.013228979664907214,0.6722180982865148,0.7978065925619674
NON FIBROTIC ILA ADJUDICATED,1,1975117437,zebra,7,773,4,0.8533980402182134,0.00517464424320828,0.0020141033171344287,0.013228979664907214,0.7978528362965992,0.9080599729972352
NON FIBROTIC ILA ADJUDICATED,1,1975117437,zebra,8,773,7,0.9555137545208602,0.009055627425614488,0.004393335756911343,0.01857333088801625,0.9082346596482629,0.9875334507963347
NON FIBROTIC ILA ADJUDICATED,1,1975117437,zebra,9,773,27,0.9973655454802758,0.03492884864165589,0.024114570680192925,0.05034265371730765,0.987643455459845,1.0
NON FIBROTIC ILA ADJUDICATED,1,1975117437,genomic,0,773,3,9.073346594224888e-08,0.0038809831824062097,0.001320743574721569,0.011347811519691425,8.223464666198122e-12,3.3096028802192786e-07
NON FIBROTIC ILA ADJUDICATED,1,1975117437,genomic,1,773,2,6.942092557480833e-07,0.00258732212160414,0.000709824034503437,0.009384203172280906,3.312421793489066e-07,1.0975601926869182e-06
NON FIBROTIC ILA ADJUDICATED,1,1975117437,genomic,2,773,7,1.5718677914374892e-06,0.009055627425614488,0.004393335756911343,0.01857333088801625,1.098468472059233e-06,2.08197191597756e-06
NON FIBROTIC ILA ADJUDICATED,1,1975117437,genomic,3,773,6,2.663629170756511e-06,0.007761966364812419,0.0035620936350174524,0.016830045122281485,2.0823521289009933e-06,3.28051131358168e-06
NON FIBROTIC ILA ADJUDICATED,1,1975117437,genomic,4,773,5,4.002866018652072e-06,0.00646830530401035,0.002765945083291181,0.01505166578637911,3.281950743141617e-06,4.8571590066458165e-06
NON FIBROTIC ILA ADJUDICATED,1,1975117437,genomic,5,773,4,5.943602918765611e-06,0.00517464424320828,0.0020141033171344287,0.013228979664907214,4.8633622828706695e-06,7.250430887819772e-06
