group,PRS,ZeBRA_decile,N,mean_ZeBRA,mean_PRS,median_PRS,sd_PRS
Full notebook-32 cohort,PRS5_z,1,1277,0.23210473558012115,-0.003606054190960674,-0.26227447767879747,0.9665544203717094
Full notebook-32 cohort,PRS5_z,2,1276,0.2865512187594827,-0.014682563953042835,-0.26227447767879747,0.9665292814983673
Full notebook-32 cohort,PRS5_z,3,1276,0.3430578629887861,0.031319781656377416,-0.26227447767879747,1.0136660454819615
Full notebook-32 cohort,PRS5_z,4,1277,0.4106892046634144,0.009727767207751419,-0.28412402501673456,1.0165607700232389
Full notebook-32 cohort,PRS5_z,5,1276,0.4919211400094953,-0.03787804197603439,-0.32172970904942494,0.9745421672426017
Full notebook-32 cohort,PRS5_z,6,1276,0.602730180802144,-0.004229345898594147,-0.26227447767879747,0.9876760547662009
Full notebook-32 cohort,PRS5_z,7,1277,0.7319545843480865,-0.022720228537265574,-0.28412402501673456,0.9936820652569207
Full notebook-32 cohort,PRS5_z,8,1276,0.8469332146435855,0.02888230344794422,-0.26227447767879747,1.0381055526973209
Full notebook-32 cohort,PRS5_z,9,1276,0.9507885001512695,0.0018999089622219478,-0.26227447767879747,0.9932681225437573
Full notebook-32 cohort,PRS5_z,10,1277,0.9965458936985139,0.011290633064092963,-0.28412402501673456,1.0471724120034378
Full notebook-32 cohort,PRS4_noMUC5B_z,1,1283,0.232098532985917,0.052454958613995385,0.021773974558325387,0.9976333916892252
Full notebook-32 cohort,PRS4_noMUC5B_z,2,1282,0.2864689178621954,0.002312510033772416,0.021773974558325387,0.9913861029194038
Full notebook-32 cohort,PRS4_noMUC5B_z,3,1282,0.3427286435533505,0.026359839402424257,-0.01621992764117993,0.9927109536528353
Full notebook-32 cohort,PRS4_noMUC5B_z,4,1282,0.4103468282413298,-0.011939286203330651,-0.01621992764117993,1.006928300235759
Full notebook-32 cohort,PRS4_noMUC5B_z,5,1283,0.4916772683463751,-0.020772622293442823,-0.009010312607006478,0.9754441485731503
Full notebook-32 cohort,PRS4_noMUC5B_z,6,1282,0.6022468387965093,0.002038607206874714,0.021773974558325387,1.0118103995299106
Full notebook-32 cohort,PRS4_noMUC5B_z,7,1282,0.731430171765298,-0.0028076236455389487,-0.01621992764117993,0.9889084707957496
Full notebook-32 cohort,PRS4_noMUC5B_z,8,1282,0.846627413939771,-0.008942824113131267,0.021773974558325387,1.003937146420319
Full notebook-32 cohort,PRS4_noMUC5B_z,9,1282,0.9505925418326022,-0.0045908600069755,-0.01621992764117993,1.0328714642493781
Full notebook-32 cohort,PRS4_noMUC5B_z,10,1283,0.9965292511519966,-0.034110804713526593,-0.01621992764117993,0.9981768460241597
Notebook-32 target=0,PRS5_z,1,1252,0.23158888400405558,-0.0021442456545460163,-0.26227447767879747,0.9692533346968732
Notebook-32 target=0,PRS5_z,2,1251,0.28518045050110824,-0.020230816744116333,-0.26227447767879747,0.9633197502155987
Notebook-32 target=0,PRS5_z,3,1251,0.3403991334642737,0.03494201556568111,-0.26227447767879747,1.0181932033864798
Notebook-32 target=0,PRS5_z,4,1251,0.4066581044919085,0.005075460330810129,-0.26227447767879747,1.0066067607661813
Notebook-32 target=0,PRS5_z,5,1251,0.4854598143758128,-0.040132300673243824,-0.32172970904942494,0.970154465462274
Notebook-32 target=0,PRS5_z,6,1251,0.5931013681514719,-0.004575381536619459,-0.26227447767879747,0.9926212043911562
Notebook-32 target=0,PRS5_z,7,1251,0.7210186765674897,-0.06334552573348703,-0.32172970904942494,0.9701082574112079
Notebook-32 target=0,PRS5_z,8,1251,0.8371990651817066,0.03286879443032896,-0.26227447767879747,1.0341373726572354
Notebook-32 target=0,PRS5_z,9,1251,0.9426817126749705,-0.0012927360114345747,-0.26227447767879747,0.975255826004245
Notebook-32 target=0,PRS5_z,10,1252,0.9952883832166688,-0.04020192043743211,-0.32172970904942494,1.0104412120865556
Notebook-32 target=0,PRS4_noMUC5B_z,1,1257,0.23156220962975785,0.05047768929757587,0.021773974558325387,0.9974157791437808
Notebook-32 target=0,PRS4_noMUC5B_z,2,1257,0.2850686690826144,-0.0017794877633444223,-0.009010312607006478,0.9907383451538712
Notebook-32 target=0,PRS4_noMUC5B_z,3,1257,0.340040997299915,0.026411036155605434,-0.01621992764117993,0.994259787793277
Notebook-32 target=0,PRS4_noMUC5B_z,4,1257,0.40629633946877775,-0.013976277040090076,-0.01621992764117993,0.9945871372300364
Notebook-32 target=0,PRS4_noMUC5B_z,5,1257,0.4852147957880637,-0.015343130707981847,0.021773974558325387,0.9793220051786513
Notebook-32 target=0,PRS4_noMUC5B_z,6,1256,0.5925157819116451,0.0024336533305662606,-0.009010312607006478,1.0096110428394405
Notebook-32 target=0,PRS4_noMUC5B_z,7,1257,0.7203760859083788,-0.0320971086070503,-0.01621992764117993,0.9883242626283834
Notebook-32 target=0,PRS4_noMUC5B_z,8,1257,0.8368292521632011,0.005280377839515826,0.021773974558325387,1.01384695195305
Notebook-32 target=0,PRS4_noMUC5B_z,9,1257,0.9424348712119405,-0.004994341579231736,-0.01621992764117993,1.0030962995210244
Notebook-32 target=0,PRS4_noMUC5B_z,10,1257,0.9952573988432905,-0.03896227503560282,-0.01621992764117993,1.0146886872403935
Explicitly adjudicated FILD/FILA negative,PRS5_z,1,36,0.37916978259920014,0.3420625799075359,0.00811060631111045,1.2845123326172294
Explicitly adjudicated FILD/FILA negative,PRS5_z,2,36,0.5993713331146397,0.10479633957892426,-0.2920020933641112,1.115742519257175
Explicitly adjudicated FILD/FILA negative,PRS5_z,3,36,0.7731609053448518,-0.2951074596201179,-0.39418276813003916,0.831533956682005
Explicitly adjudicated FILD/FILA negative,PRS5_z,4,36,0.88791195260329,-0.17636096850946625,-0.4071805958400259,0.8960763159448606
Explicitly adjudicated FILD/FILA negative,PRS5_z,5,36,0.9486251847387825,-0.0463879173903374,-0.39625582217105737,1.0315278247025788
Explicitly adjudicated FILD/FILA negative,PRS5_z,6,36,0.982233621927989,0.36257380856842686,0.0935614931017113,1.149624845954351
Explicitly adjudicated FILD/FILA negative,PRS5_z,7,36,0.995670838296273,-0.0874273862706518,-0.32172970904942494,0.9828021210290699
Explicitly adjudicated FILD/FILA negative,PRS5_z,8,36,0.9993564236764146,-0.07663422705143962,-0.3535303787757569,1.0088558733470172
Explicitly adjudicated FILD/FILA negative,PRS5_z,9,36,0.9999701332948447,-0.10667295561649179,-0.19867313822613353,0.7777191914042095
Explicitly adjudicated FILD/FILA negative,PRS5_z,10,36,1.0,0.03749635464339828,-0.26227447767879747,0.9729263815984616
Explicitly adjudicated FILD/FILA negative,PRS4_noMUC5B_z,1,37,0.38243973879232046,0.17571205501260137,0.09437563910204434,1.0450175085618265
