group,PRS,N,pearson_r,pearson_p,spearman_rho,spearman_p,standardized_linear_beta,cv_linear_R2,mutual_information,top10_PRS_threshold,top10_PRS_N,raw_ZeBRA_AUC_for_top10_PRS,cv_ZeBRA_AUC_for_top10_PRS
Full notebook-32 cohort,PRS5_z,12764,0.002703565225433437,0.7600510923395183,-0.004478252176956482,0.6129293823261128,0.0027035652254334404,-0.00028381299989099773,0.011619529594624645,1.5291924128236618,1279,0.5097952491317669,0.5009949068421502
Full notebook-32 cohort,PRS4_noMUC5B_z,12823,-0.014812932120179433,0.09347885574248517,-0.01601392113530623,0.0697801879388566,-0.014812932120179432,-0.0002832378387567225,0.0026494095344871127,1.428069336095578,1329,0.500766913034615,0.4787728749897057
Notebook-32 target=0,PRS5_z,12512,-0.006184517621529854,0.48911355750113633,-0.011684576981180353,0.1912411192003554,-0.0061845176215298715,-0.0008965399207976343,0.01033940303381975,1.5073428654857246,1356,0.5008392642397281,0.4738794539970026
Notebook-32 target=0,PRS4_noMUC5B_z,12569,-0.014650756739422429,0.1004980529118809,-0.016009975409328987,0.07267924461020837,-0.014650756739422432,0.00012077722392001,0.004071972424100956,1.428069336095578,1293,0.5006431128183053,0.49172821729250227
Explicitly adjudicated FILD/FILA negative,PRS5_z,360,-0.06560079719571899,0.21434846957429718,0.0011797047879409423,0.9822042712044198,-0.06560079719571896,-0.009293383603039329,0.0,1.3878860370438104,36,0.4030778463648835,0.5570558984910837
Explicitly adjudicated FILD/FILA negative,PRS4_noMUC5B_z,361,-0.03747708205220576,0.4778006118588722,0.011631002000044615,0.8256919802273308,-0.03747708205220576,-0.005131694561975264,0.0,1.428069336095578,40,0.4670171339563863,0.41433021806853587
FILD/FILA positive,PRS5_z,252,-0.07100548092829824,0.26144126250374067,-0.09212257893954649,0.14477644376348905,-0.07100548092829827,-0.013254132428374588,0.0,2.0737307397832154,26,0.4489448604492852,0.48059904697072836
FILD/FILA positive,PRS4_noMUC5B_z,254,-0.1731035858442086,0.0056727296905373144,-0.12517564366978812,0.04626397336461713,-0.1731035858442086,0.012704970791413084,0.02149292827589111,1.5314552878046295,27,0.3992494697340513,0.5809267417196934
