model,n_test,n_pos,auc,partial_auc_fpr_0_05_raw,average_precision,brier
zebra_prs,154,64,0.6521701388888889,0.001996527777777778,0.5444247130683699,0.22647551877718836
zebra_prs_interaction,154,64,0.6514756944444444,0.0029513888888888892,0.554407799626748,0.22650317476293685
prs_only,154,64,0.5943576388888889,0.0006944444444444445,0.48606344937779167,0.23698630068182855
zebra_raw,154,64,0.5712673611111111,0.003675426136363637,0.5335361939494639,0.48960513753885304
