zebra_decile,n,n_pos,prs_auc_within_stratum,prs_mean_cases,prs_mean_controls
0,16,7,0.5952380952380952,0.032350850462970364,0.025567196080465943
1,15,7,0.42857142857142855,-0.07462690176556319,0.001482640834524443
2,15,6,0.6111111111111112,0.0812106749351092,-0.1549598525130222
3,16,3,0.7948717948717949,0.08572908833835464,-0.10220253934965928
4,15,6,0.6388888888888888,0.09251927291654953,-0.0892021445758884
5,15,4,0.6363636363636364,0.1659198086542249,-0.025442430689295303
6,16,5,0.5636363636363637,0.09923061025033611,-0.03000578276724775
7,46,26,0.5846153846153846,-0.02125298208281932,-0.15122300796098795
