threshold,fpr,sensitivity,specificity,ppv,npv,LR+,tp,fp,tn,fn,model,target_fpr
1.0,0.12222222222222222,0.359375,0.8777777777777778,0.6764705882352942,0.6583333333333333,2.940340909090909,23,11,79,41,zebra_raw,0.005
1.0,0.12222222222222222,0.359375,0.8777777777777778,0.6764705882352942,0.6583333333333333,2.940340909090909,23,11,79,41,zebra_raw,0.01
1.0,0.12222222222222222,0.359375,0.8777777777777778,0.6764705882352942,0.6583333333333333,2.940340909090909,23,11,79,41,zebra_raw,0.02
1.0,0.12222222222222222,0.359375,0.8777777777777778,0.6764705882352942,0.6583333333333333,2.940340909090909,23,11,79,41,zebra_raw,0.05
0.7680332106363366,0.022222222222222223,0.015625,0.9777777777777777,0.3333333333333333,0.5827814569536424,0.703125,1,2,88,63,prs_only,0.005
0.7033865819244389,0.044444444444444446,0.015625,0.9555555555555556,0.2,0.5771812080536913,0.3515625,1,4,86,63,prs_only,0.01
0.6372795709182207,0.044444444444444446,0.015625,0.9555555555555556,0.2,0.5771812080536913,0.3515625,1,4,86,63,prs_only,0.02
0.5845701079100125,0.1111111111111111,0.125,0.8888888888888888,0.4444444444444444,0.5882352941176471,1.125,8,10,80,56,prs_only,0.05
0.7563645896909615,0.022222222222222223,0.0,0.9777777777777777,0.0,0.5789473684210527,0.0,0,2,88,64,zebra_prs,0.005
0.7307641724958286,0.03333333333333333,0.03125,0.9666666666666667,0.4,0.5838926174496645,0.9375,2,3,87,62,zebra_prs,0.01
0.6741793452327077,0.044444444444444446,0.109375,0.9555555555555556,0.6363636363636364,0.6013986013986014,2.4609375,7,4,86,57,zebra_prs,0.02
0.6096241183142147,0.06666666666666667,0.140625,0.9333333333333333,0.6,0.60431654676259,2.109375,9,6,84,55,zebra_prs,0.05
0.755764374783949,0.022222222222222223,0.015625,0.9777777777777777,0.3333333333333333,0.5827814569536424,0.703125,1,2,88,63,zebra_prs_interaction,0.005
0.7323305132904206,0.03333333333333333,0.078125,0.9666666666666667,0.625,0.5958904109589042,2.34375,5,3,87,59,zebra_prs_interaction,0.01
0.7120724531283998,0.03333333333333333,0.109375,0.9666666666666667,0.7,0.6041666666666666,3.28125,7,3,87,57,zebra_prs_interaction,0.02
0.6159340800946662,0.044444444444444446,0.140625,0.9555555555555556,0.6923076923076923,0.6099290780141844,3.1640625,9,4,86,55,zebra_prs_interaction,0.05
