MUC5B_state,N,state_positive,raw_auc,direction_independent_auc,logistic_cv_auc_mean,logistic_cv_auc_sd
rs35705950.1_G_0,12825,152,0.5215101936566343,0.5215101936566343,0.5211262427348686,0.06220629006665938
rs35705950.1_G_1,12825,2347,0.5078629657464789,0.5078629657464789,0.5079127007533295,0.0055961731579742295
rs35705950.1_G_2,12825,10267,0.492833488164674,0.507166511835326,0.5071452519518218,0.009005430412978873
