ZeBRA_percentile_cutoff,ZeBRA_threshold,N_high_risk,actual_high_fraction,MUC5B_T_carriers_high_risk,MUC5B_T_carrier_prevalence_high_risk,MUC5B_T_carrier_prevalence_all,enrichment_fold,sensitivity,specificity,PPV,binary_split_AUC,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,fisher_exact_odds_ratio,fisher_p
50.0,0.542234877638516,6383,0.5,1270,0.1989660034466552,0.19575434748550838,1.01640656262505,0.508203281312525,0.5019966884192072,0.1989660034466552,0.505099984865866,1.041646741335007,0.9544263363639761,1.1368377971079553,1.041646741335007,0.37226555251083093
60.0,0.6655225574187223,5107,0.40004699984333386,1017,0.1991384374388095,0.19575434748550838,1.017287431910301,0.4069627851140456,0.601636310509399,0.1991384374388095,0.5042995478117224,1.0363991368302268,0.9480948300823939,1.132927990683266,1.0363991368302268,0.438930009064491
70.0,0.7918459508188125,3830,0.3000156666144446,781,0.20391644908616188,0.19575434748550838,1.041695633867124,0.3125250100040016,0.70302912243109,0.20391644908616188,0.5077770662175457,1.0761859744468596,0.9790583538039906,1.182949154252358,1.0761859744468596,0.1313182394125339
75.0,0.8464469884233798,3192,0.2500391665361115,651,0.20394736842105263,0.19575434748550838,1.0418535835386786,0.2605042016806723,0.7525080354533944,0.20394736842105263,0.5065061185670333,1.071097635147222,0.9692246148068959,1.1836782996339237,1.071097635147222,0.18050373470972347
80.0,0.9004332446160401,2554,0.20006266645777848,518,0.2028191072826938,0.19575434748550838,1.0360899253985072,0.20728291316526612,0.801694750170449,0.2028191072826938,0.5044888316678575,1.0571098322075434,0.9486953732384699,1.1779136157639547,1.0571098322075434,0.31561038633437866
85.0,0.9540026145305618,1915,0.1500078333072223,395,0.206266318537859,0.19575434748550838,1.0536998089052854,0.15806322529011604,0.8519528586734197,0.206266318537859,0.5050080419817679,1.0803560261156695,0.9577219884890058,1.2186930624887073,1.0803560261156695,0.21155063559840892
90.0,0.9858823182242589,1277,0.10003133322888924,271,0.21221613155833985,0.19575434748550838,1.0840940918262372,0.10844337735094038,0.9020161683062238,0.21221613155833985,0.5052297728285821,1.1197317888004112,0.97161040612104,1.2904341811814382,1.1197317888004112,0.11857303836243185
95.0,0.9985690202487761,639,0.050054833150556165,141,0.22065727699530516,0.19575434748550838,1.1272152053309588,0.056422569027611044,0.9514950813285283,0.22065727699530516,0.5039588251780697,1.1729947780945666,0.9677872005063276,1.4217141420317074,1.1729947780945666,0.11263666319066307
97.5,0.9998982105753043,320,0.02506658311138963,74,0.23125,0.19575434748550838,1.181327531012405,0.029611844737895156,0.976039738969514,0.23125,0.5028257918537047,1.2430709915346576,0.955009849101455,1.6180204753373182,1.2430709915346576,0.11611069134836419
99.0,1.0,129,0.010104966316778943,37,0.2868217054263566,0.19575434748550838,1.4652124415657737,0.014805922368947578,0.9910392519723386,0.2868217054263566,0.5029225871706431,1.6621119273831808,1.1320281796668203,2.4404127995846605,1.6621119273831808,0.013552415654289756
