target_name,repeat,split_seed,model,tpr,ppv,acc,npv,LR+,LR-,threshold,expected_fp,expected_tn,expected_flags,fpr,tpr_upper,ppv_upper,acc_upper,npv_upper,LR+_upper,LR-_upper,threshold_upper,expected_fp_upper,expected_tn_upper,expected_flags_upper,fpr_lower,tpr_lower,ppv_lower,acc_lower,npv_lower,LR+_lower,LR-_lower,threshold_lower,expected_fp_lower,expected_tn_lower,expected_flags_lower,sensitivity,specificity,requested_fpr,fpr_distance
FILD or FILA ADJUDICATED,1,439824836,zebra,0.07609166666666667,0.6052631578947368,0.9807697119341564,0.9817154098293361,,,0.99999983518477,7.543,7535.457,19.108933333333336,0.001,0.11394313592829697,0.7075341735967013,0.9818106388529907,0.9824587654126892,,,0.99999983518477,7.543,7535.457,19.108933333333336,0.001,0.0591386979526049,0.4928629663895857,0.9796436320109432,0.9813685376297181,,,0.99999983518477,7.543,7535.457,19.108933333333336,0.07609166666666667,0.999,0.001,0.0
FILD or FILA ADJUDICATED,1,439824836,zebra,0.3026315789473684,0.5494994262765347,0.9813235867446394,0.9860733108308473,,,0.9999994572643663,37.715,7505.285,83.715,0.005,0.37978706128398243,0.65156488764624,0.9841799674777783,0.9876117311621508,,,0.9999994572643663,37.715,7505.285,83.715,0.005,0.235206275829,0.44308901149351854,0.9781654358772467,0.9847191656484662,,,0.9999994572643663,37.715,7505.285,83.715,0.3026315789473684,0.995,0.005,0.0
FILD or FILA ADJUDICATED,1,439824836,zebra,0.3054605263157895,0.38114754098360654,0.9764782326185835,0.9860599517408165,,,0.9999905042918659,75.43,7467.57,121.86000000000001,0.01,0.38272834071262335,0.4697071172670609,0.9799740342604133,0.9876163663952412,,,0.9999905042918659,75.43,7467.57,121.86000000000001,0.01,0.23778342523507306,0.29984464566937696,0.9726828955686163,0.9846841525304108,,,0.9999905042918659,75.43,7467.57,121.86000000000001,0.3054605263157895,0.99,0.01,0.0
FILD or FILA ADJUDICATED,1,439824836,zebra,0.3684210526315789,0.2705594438553081,0.96791942820013,0.9871797268472392,18.421150551876377,0.6444683150611055,0.9998797090369685,150.86,7392.14,206.86,0.02,0.447468167185745,0.33489603938180507,0.9723467985962604,0.9887993009147081,26.204206449264525,0.7210200534491102,0.9998797090369685,150.86,7392.14,206.86,0.02,0.2958607242229099,0.21447413583974667,0.9631411894704874,0.9856787080158973,12.63700648733899,0.5621309517563544,0.9998797090369685,150.86,7392.14,206.86,0.3684210526315789,0.98,0.02,0.0
FILD or FILA ADJUDICATED,1,439824836,zebra,0.46710526315789475,0.1584291978205536,0.940461338531514,0.9888227298486004,,,0.9981066449218545,377.15000000000003,7165.85,448.15000000000003,0.05,0.5462514908707197,0.19511961331455593,0.9466254228301166,0.9905133884667744,,,0.9981066449218545,377.15000000000003,7165.85,448.15000000000003,0.05,0.389580731981444,0.12754477967917194,0.9338802230127125,0.987148668892609,,,0.9981066449218545,377.15000000000003,7165.85,448.15000000000003,0.46710526315789475,0.95,0.05,0.0
FILD or FILA ADJUDICATED,1,439824836,zebra,0.534868421052632,0.09748803827751196,0.8927875243664718,0.9896929848054707,,,0.9836852826464209,754.3000000000001,6788.7,835.6000000000001,0.1,0.6123223725137338,0.11947430843797627,0.9007556096553873,0.9914563571558267,,,0.9836852826464209,754.3000000000001,6788.7,835.6000000000001,0.1,0.45569547126297344,0.07918397614171031,0.8843863149043247,0.9878667843959764,,,0.9836852826464209,754.3000000000001,6788.7,835.6000000000001,0.534868421052632,0.9,0.1,0.0
FILD or FILA ADJUDICATED,1,439824836,genomic,0.0035723684210526335,0.062499999999999986,0.9793372319688111,0.9802967825604509,,,0.8218712234916953,7.543,7535.457,8.086,0.001,0.0309872837641936,0.40415002679523837,0.9803714879771454,0.9808379548712404,,,0.8218712234916953,7.543,7535.457,8.086,0.001,0.0006311241869504645,0.018441548623151432,0.9782884436091637,0.9802201497431758,,,0.8218712234916953,7.543,7535.457,8.086,0.0035723684210526335,0.999,0.001,0.0
FILD or FILA ADJUDICATED,1,439824836,genomic,0.013157894736842105,0.050365384615384604,0.9756055880441845,0.9804056935148008,,,0.7332709710425532,37.715,7505.285,39.715,0.005,0.04670108102456133,0.16612679732505667,0.9776004913245058,0.9810844466456652,,,0.7332709710425532,37.715,7505.285,39.715,0.005,0.0036158171874622162,0.018441548623151432,0.9735908095337101,0.9801836063455068,,,0.7332709710425532,37.715,7505.285,39.715,0.013157894736842105,0.995,0.005,0.0
FILD or FILA ADJUDICATED,1,439824836,genomic,0.019736842105263157,0.039800995024875614,0.9708343079922027,0.9804373884006143,,,0.6989649740196974,75.43,7467.57,78.42999999999999,0.01,0.05641580175457883,0.10653241237180468,0.9735283544785259,0.9811930275079276,,,0.6989649740196974,75.43,7467.57,78.42999999999999,0.01,0.006734651887011962,0.018441548623151432,0.9681189691814941,0.98013372088125,,,0.6989649740196974,75.43,7467.57,78.42999999999999,0.019736842105263157,0.99,0.01,0.0
FILD or FILA ADJUDICATED,1,439824836,genomic,0.03289473684210526,0.03208023159636062,0.9612917478882392,0.9805017548007654,,,0.6400021618221521,150.86,7392.14,155.86,0.02,0.07468664329518646,0.0728921819697035,0.9649832129391629,0.9813831119797783,,,0.6400021618221521,150.86,7392.14,155.86,0.02,0.01413092120553882,0.018441548623151432,0.9575761563244654,0.9800629241894743,,,0.6400021618221521,150.86,7392.14,155.86,0.03289473684210526,0.98,0.02,0.0
