target_name,model,requested_fpr,LR+,LR-,acc,npv,ppv,sensitivity,specificity
FILD or FILA ADJUDICATED,combined,0.001,,,"0.981 (0.980, 0.982)","0.982 (0.981, 0.983)","0.570 (0.355, 0.729)","0.071 (0.026, 0.132)","0.999 (0.999, 0.999)"
FILD or FILA ADJUDICATED,combined,0.005,"41.295 (23.688, 63.825)","0.798 (0.684, 0.886)","0.979 (0.977, 0.982)","0.984 (0.982, 0.986)","0.425 (0.276, 0.556)","0.193 (0.093, 0.312)","0.995 (0.995, 0.995)"
FILD or FILA ADJUDICATED,combined,0.01,"23.867 (14.474, 32.538)","0.770 (0.681, 0.864)","0.975 (0.973, 0.977)","0.985 (0.983, 0.987)","0.325 (0.222, 0.402)","0.243 (0.141, 0.333)","0.990 (0.990, 0.990)"
FILD or FILA ADJUDICATED,combined,0.02,"15.424 (12.401, 17.344)","0.706 (0.666, 0.767)","0.967 (0.965, 0.968)","0.986 (0.984, 0.987)","0.233 (0.179, 0.265)","0.304 (0.218, 0.357)","0.980 (0.980, 0.980)"
FILD or FILA ADJUDICATED,combined,0.05,"8.327 (7.637, 9.293)","0.614 (0.564, 0.651)","0.939 (0.938, 0.940)","0.988 (0.986, 0.989)","0.141 (0.121, 0.155)","0.406 (0.340, 0.455)","0.950 (0.950, 0.950)"
FILD or FILA ADJUDICATED,combined,0.1,"5.354 (4.912, 5.641)","0.516 (0.484, 0.565)","0.892 (0.891, 0.893)","0.989 (0.988, 0.990)","0.093 (0.082, 0.103)","0.509 (0.444, 0.568)","0.900 (0.900, 0.900)"
FILD or FILA ADJUDICATED,genomic,0.001,,,"0.979 (0.979, 0.980)","0.980 (0.980, 0.980)","0.070 (0.030, 0.208)","0.002 (0.000, 0.013)","0.999 (0.999, 0.999)"
FILD or FILA ADJUDICATED,genomic,0.005,"3.948 (2.698, 5.198)","0.985 (0.979, 0.991)","0.976 (0.975, 0.976)","0.980 (0.980, 0.981)","0.048 (0.027, 0.083)","0.009 (0.000, 0.022)","0.995 (0.995, 0.995)"
FILD or FILA ADJUDICATED,genomic,0.01,"3.619 (3.306, 3.931)","0.974 (0.970, 0.977)","0.971 (0.971, 0.971)","0.980 (0.980, 0.981)","0.042 (0.027, 0.065)","0.020 (0.007, 0.039)","0.990 (0.990, 0.990)"
FILD or FILA ADJUDICATED,genomic,0.02,,,"0.961 (0.961, 0.962)","0.981 (0.980, 0.981)","0.038 (0.025, 0.053)","0.036 (0.020, 0.054)","0.980 (0.980, 0.980)"
FILD or FILA ADJUDICATED,genomic,0.05,"2.105 (2.105, 2.105)","0.942 (0.942, 0.942)","0.933 (0.932, 0.934)","0.981 (0.980, 0.982)","0.034 (0.024, 0.052)","0.089 (0.047, 0.132)","0.950 (0.950, 0.950)"
FILD or FILA ADJUDICATED,genomic,0.1,"1.776 (1.776, 1.776)","0.914 (0.914, 0.914)","0.885 (0.884, 0.887)","0.981 (0.980, 0.983)","0.031 (0.024, 0.042)","0.155 (0.103, 0.217)","0.900 (0.900, 0.900)"
FILD or FILA ADJUDICATED,zebra,0.001,,,"0.981 (0.980, 0.981)","0.982 (0.981, 0.982)","0.566 (0.496, 0.636)","0.066 (0.049, 0.087)","0.999 (0.999, 0.999)"
FILD or FILA ADJUDICATED,zebra,0.005,"56.032 (46.105, 64.648)","0.723 (0.680, 0.773)","0.981 (0.980, 0.982)","0.986 (0.985, 0.987)","0.532 (0.483, 0.568)","0.284 (0.232, 0.326)","0.995 (0.995, 0.995)"
FILD or FILA ADJUDICATED,zebra,0.01,"30.117 (27.774, 33.258)","0.706 (0.674, 0.730)","0.976 (0.975, 0.977)","0.986 (0.985, 0.987)","0.367 (0.324, 0.408)","0.289 (0.238, 0.342)","0.990 (0.990, 0.990)"
FILD or FILA ADJUDICATED,zebra,0.02,"16.839 (14.145, 19.901)","0.677 (0.614, 0.732)","0.967 (0.966, 0.968)","0.986 (0.986, 0.988)","0.252 (0.223, 0.284)","0.334 (0.286, 0.394)","0.980 (0.980, 0.980)"
