model,pred_w,target,n_pos,n_neg,AUC,tpr,ppv,npv,LR+,LR-
ILD,26,FILD or FILA ADJUDICATED,303,14623,$0.845 \pm 0.031$,$0.516 \pm 0.056$,$0.176 \pm 0.016$,$0.990 \pm 0.001$,$10.441 \pm 1.125$,$0.509 \pm 0.059$
FILD,26,FILD or FILA ADJUDICATED,303,14623,$0.843 \pm 0.031$,$0.503 \pm 0.056$,$0.172 \pm 0.016$,$0.989 \pm 0.001$,$10.175 \pm 1.126$,$0.524 \pm 0.059$
NFILD,26,FILD or FILA ADJUDICATED,303,14623,$0.809 \pm 0.031$,$0.326 \pm 0.053$,$0.119 \pm 0.017$,$0.986 \pm 0.001$,$6.561 \pm 1.056$,$0.710 \pm 0.056$
IPF,26,FILD or FILA ADJUDICATED,303,14623,$0.835 \pm 0.030$,$0.386 \pm 0.055$,$0.138 \pm 0.017$,$0.987 \pm 0.001$,$8.313 \pm 1.096$,$0.646 \pm 0.058$
ILD,26,NONFIBROTIC ILD ADJUDICATED,32,14623,$0.859 \pm 0.085$,$0.432 \pm 0.172$,$0.019 \pm 0.007$,$0.999 \pm 0.000$,$10.486 \pm 3.433$,$0.595 \pm 0.181$
FILD,26,NONFIBROTIC ILD ADJUDICATED,32,14623,$0.865 \pm 0.081$,$0.436 \pm 0.172$,$0.019 \pm 0.007$,$0.999 \pm 0.000$,$10.557 \pm 3.436$,$0.590 \pm 0.181$
NFILD,26,NONFIBROTIC ILD ADJUDICATED,32,14623,$0.857 \pm 0.084$,$0.419 \pm 0.171$,$0.018 \pm 0.007$,$0.999 \pm 0.000$,$8.806 \pm 3.418$,$0.612 \pm 0.180$
IPF,26,NONFIBROTIC ILD ADJUDICATED,32,14623,$0.841 \pm 0.077$,$0.227 \pm 0.145$,$0.010 \pm 0.006$,$0.998 \pm 0.000$,$5.070 \pm 2.903$,$0.812 \pm 0.153$
ILD,26,NON FIBROTIC ILA ADJUDICATED,82,14623,$0.848 \pm 0.053$,$0.406 \pm 0.106$,$0.043 \pm 0.011$,$0.997 \pm 0.001$,$13.781 \pm 2.126$,$0.622 \pm 0.112$
FILD,26,NON FIBROTIC ILA ADJUDICATED,82,14623,$0.844 \pm 0.054$,$0.408 \pm 0.106$,$0.044 \pm 0.011$,$0.997 \pm 0.001$,$9.303 \pm 2.128$,$0.622 \pm 0.112$
NFILD,26,NON FIBROTIC ILA ADJUDICATED,82,14623,$0.836 \pm 0.051$,$0.366 \pm 0.104$,$0.039 \pm 0.011$,$0.996 \pm 0.001$,$8.199 \pm 2.085$,$0.666 \pm 0.110$
IPF,26,NON FIBROTIC ILA ADJUDICATED,82,14623,$0.838 \pm 0.050$,$0.323 \pm 0.101$,$0.035 \pm 0.011$,$0.996 \pm 0.001$,$6.807 \pm 2.025$,$0.712 \pm 0.107$
