threshold_name,confusion_group,N,GG_N,GT_N,TT_N,GG_fraction,GT_fraction,TT_fraction,T_carrier_fraction,mean_T_dosage,phenotype_stratum
FPR_0.5pct,TP,74,48,23,3,0.6486486486486487,0.3108108108108108,0.04054054054054054,0.35135135135135137,0.3918918918918919,FILD/FILA positive
FPR_0.5pct,FN,178,105,67,6,0.5898876404494382,0.37640449438202245,0.033707865168539325,0.4101123595505618,0.4438202247191011,FILD/FILA positive
FPR_0.5pct,FP,63,50,13,0,0.7936507936507936,0.20634920634920634,0.0,0.20634920634920634,0.20634920634920634,Notebook-32 FILD/FILA negative
FPR_0.5pct,TN,12451,10064,2244,143,0.8082884908842664,0.18022648783230263,0.01148502128343105,0.19171150911573367,0.20319653039916472,Notebook-32 FILD/FILA negative
FPR_0.5pct,FP,46,38,8,0,0.8260869565217391,0.17391304347826086,0.0,0.17391304347826086,0.17391304347826086,Explicitly adjudicated FILD/FILA negative
FPR_0.5pct,TN,314,253,54,7,0.8057324840764332,0.17197452229299362,0.022292993630573247,0.1942675159235669,0.21656050955414013,Explicitly adjudicated FILD/FILA negative
FPR_1pct,TP,74,48,23,3,0.6486486486486487,0.3108108108108108,0.04054054054054054,0.35135135135135137,0.3918918918918919,FILD/FILA positive
FPR_1pct,FN,178,105,67,6,0.5898876404494382,0.37640449438202245,0.033707865168539325,0.4101123595505618,0.4438202247191011,FILD/FILA positive
FPR_1pct,FP,126,104,22,0,0.8253968253968254,0.1746031746031746,0.0,0.1746031746031746,0.1746031746031746,Notebook-32 FILD/FILA negative
FPR_1pct,TN,12388,10010,2235,143,0.8080400387471747,0.18041653212786568,0.011543429124959639,0.19195996125282533,0.20350339037778495,Notebook-32 FILD/FILA negative
FPR_1pct,FP,54,45,9,0,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,Explicitly adjudicated FILD/FILA negative
FPR_1pct,TN,306,246,53,7,0.803921568627451,0.17320261437908496,0.02287581699346405,0.19607843137254902,0.21895424836601307,Explicitly adjudicated FILD/FILA negative
FPR_2pct,TP,86,56,27,3,0.6511627906976745,0.313953488372093,0.03488372093023256,0.3488372093023256,0.38372093023255816,FILD/FILA positive
FPR_2pct,FN,166,97,63,6,0.5843373493975904,0.3795180722891566,0.03614457831325301,0.41566265060240964,0.45180722891566266,FILD/FILA positive
FPR_2pct,FP,251,204,46,1,0.8127490039840638,0.18326693227091634,0.00398406374501992,0.18725099601593626,0.19123505976095617,Notebook-32 FILD/FILA negative
FPR_2pct,TN,12263,9910,2211,142,0.8081219929870341,0.1802984587784392,0.011579548234526624,0.19187800701296584,0.20345755524749246,Notebook-32 FILD/FILA negative
FPR_2pct,FP,71,59,12,0,0.8309859154929577,0.16901408450704225,0.0,0.16901408450704225,0.16901408450704225,Explicitly adjudicated FILD/FILA negative
FPR_2pct,TN,289,232,50,7,0.8027681660899654,0.17301038062283736,0.02422145328719723,0.1972318339100346,0.22145328719723184,Explicitly adjudicated FILD/FILA negative
FPR_5pct,TP,112,72,37,3,0.6428571428571429,0.33035714285714285,0.026785714285714284,0.35714285714285715,0.38392857142857145,FILD/FILA positive
FPR_5pct,FN,140,81,53,6,0.5785714285714286,0.37857142857142856,0.04285714285714286,0.42142857142857143,0.4642857142857143,FILD/FILA positive
FPR_5pct,FP,626,506,114,6,0.8083067092651757,0.18210862619808307,0.009584664536741214,0.19169329073482427,0.2012779552715655,Notebook-32 FILD/FILA negative
FPR_5pct,TN,11888,9608,2143,137,0.8082099596231493,0.18026581426648722,0.011524226110363392,0.1917900403768506,0.20331426648721398,Notebook-32 FILD/FILA negative
FPR_5pct,FP,113,94,18,1,0.831858407079646,0.1592920353982301,0.008849557522123894,0.168141592920354,0.17699115044247787,Explicitly adjudicated FILD/FILA negative
FPR_5pct,TN,247,197,44,6,0.7975708502024291,0.17813765182186234,0.024291497975708502,0.20242914979757085,0.22672064777327935,Explicitly adjudicated FILD/FILA negative
FPR_10pct,TP,138,84,49,5,0.6086956521739131,0.35507246376811596,0.036231884057971016,0.391304347826087,0.427536231884058,FILD/FILA positive
FPR_10pct,FN,114,69,41,4,0.6052631578947368,0.35964912280701755,0.03508771929824561,0.39473684210526316,0.4298245614035088,FILD/FILA positive
FPR_10pct,FP,1252,1016,225,11,0.8115015974440895,0.17971246006389777,0.00878594249201278,0.18849840255591055,0.19728434504792333,Notebook-32 FILD/FILA negative
FPR_10pct,TN,11262,9098,2032,132,0.8078494050790268,0.18042976380749423,0.011720831113478956,0.1921505949209732,0.20387142603445213,Notebook-32 FILD/FILA negative
FPR_10pct,FP,163,132,30,1,0.8098159509202454,0.18404907975460122,0.006134969325153374,0.1901840490797546,0.19631901840490798,Explicitly adjudicated FILD/FILA negative
FPR_10pct,TN,197,159,32,6,0.8071065989847716,0.16243654822335024,0.030456852791878174,0.19289340101522842,0.2233502538071066,Explicitly adjudicated FILD/FILA negative
