threshold_name,threshold_source,nominal_target_fpr,threshold,achieved_fpr_notebook32_neg,sensitivity_FILD_positive
FPR_0.5pct,Notebook-32 target=0,0.005,0.9999997884543307,0.0050343615151030845,0.29365079365079366
FPR_1pct,Notebook-32 target=0,0.01,0.9999919324775715,0.010068723030206169,0.29365079365079366
FPR_2pct,Notebook-32 target=0,0.02,0.9998852001390647,0.020057535560172608,0.3412698412698413
FPR_5pct,Notebook-32 target=0,0.05,0.9975987778400656,0.05002397315007192,0.4444444444444444
FPR_10pct,Notebook-32 target=0,0.1,0.9823280879648942,0.10004794630014384,0.5476190476190477
FULL_COHORT_TOP_1PCT,Full notebook-32 cohort,,1.0,0.004474988013424964,0.2896825396825397
