group_A,group_B,N_A,N_B,carrier_N_A,carrier_N_B,carrier_prev_A,carrier_prev_B,carrier_prev_ratio_A_over_B,OR_A_vs_B,OR_ci_low,OR_ci_high,fisher_exact_OR,fisher_p,threshold_name,threshold,phenotype_stratum,comparison
FN,TP,178,74,73,26,0.4101123595505618,0.35135135135135137,1.1672428694900605,1.2835164835164836,0.7309484862336436,2.253803919818137,1.2835164835164836,0.39962639454803583,FPR_0.5pct,0.9999997884543307,FILD/FILA positive,FN vs TP
FP,TN,63,12451,13,2387,0.20634920634920634,0.19171150911573367,1.0763527307306109,1.0962044407205698,0.5945438299719743,2.021153219119508,1.0962044407205698,0.7488631991529282,FPR_0.5pct,0.9999997884543307,Notebook-32 FILD/FILA negative,FP vs TN
FP,TN,46,314,8,61,0.17391304347826086,0.1942675159235669,0.8952245188880968,0.8731665228645384,0.3876381338767569,1.9668337813579178,0.8731665228645384,0.8430370750568045,FPR_0.5pct,0.9999997884543307,Explicitly adjudicated FILD/FILA negative,FP vs TN
FN,TP,178,74,73,26,0.4101123595505618,0.35135135135135137,1.1672428694900605,1.2835164835164836,0.7309484862336436,2.253803919818137,1.2835164835164836,0.39962639454803583,FPR_1pct,0.9999919324775715,FILD/FILA positive,FN vs TP
FP,TN,126,12388,22,2378,0.1746031746031746,0.19195996125282533,0.9095812140387413,0.8904541631623213,0.5609428549343569,1.4135283295227963,0.8904541631623213,0.7328494150473226,FPR_1pct,0.9999919324775715,Notebook-32 FILD/FILA negative,FP vs TN
FP,TN,54,306,9,60,0.16666666666666666,0.19607843137254902,0.85,0.82,0.37993361056304653,1.7697828812868905,0.82,0.7099658267305908,FPR_1pct,0.9999919324775715,Explicitly adjudicated FILD/FILA negative,FP vs TN
FN,TP,166,86,69,30,0.41566265060240964,0.3488372093023256,1.191566265060241,1.3278350515463917,0.7735628836413084,2.2792535182346696,1.3278350515463917,0.3420531774669423,FPR_2pct,0.9998852001390647,FILD/FILA positive,FN vs TP
FP,TN,251,12263,47,2353,0.18725099601593626,0.19187800701296584,0.9758856626193907,0.9703299084189562,0.7044016082503922,1.336652443924649,0.9703299084189562,0.9354537211573495,FPR_2pct,0.9998852001390647,Notebook-32 FILD/FILA negative,FP vs TN
FP,TN,71,289,12,57,0.16901408450704225,0.1972318339100346,0.8569310600444774,0.8278322925958965,0.4173149438589802,1.6421801201927673,0.8278322925958965,0.7365401241983351,FPR_2pct,0.9998852001390647,Explicitly adjudicated FILD/FILA negative,FP vs TN
FN,TP,140,112,59,40,0.42142857142857143,0.35714285714285715,1.18,1.3111111111111111,0.7859114991694219,2.187284888305774,1.3111111111111111,0.3636455154983961,FPR_5pct,0.9975987778400656,FILD/FILA positive,FN vs TP
FP,TN,626,11888,120,2280,0.19169329073482427,0.1917900403768506,0.9994955439717504,0.9993759101310589,0.8148084282252432,1.2257509558727713,0.9993759101310589,1.0,FPR_5pct,0.9975987778400656,Notebook-32 FILD/FILA negative,FP vs TN
FP,TN,113,247,19,50,0.168141592920354,0.20242914979757085,0.8306194690265487,0.7963829787234042,0.4447529516239627,1.42601830181129,0.7963829787234042,0.47425145571727423,FPR_5pct,0.9975987778400656,Explicitly adjudicated FILD/FILA negative,FP vs TN
FN,TP,114,138,45,54,0.39473684210526316,0.391304347826087,1.0087719298245614,1.0144927536231885,0.6105112673306661,1.6857928792271166,1.0144927536231885,1.0,FPR_10pct,0.9823280879648942,FILD/FILA positive,FN vs TP
FP,TN,1252,11262,236,2164,0.18849840255591055,0.1921505949209732,0.9809930728210094,0.9765780779251022,0.8412350968191359,1.1336958549280924,0.9765780779251022,0.791130626789575,FPR_10pct,0.9823280879648942,Notebook-32 FILD/FILA negative,FP vs TN
FP,TN,163,197,31,38,0.1901840490797546,0.19289340101522842,0.9859541491766226,0.9826555023923444,0.5798355343993109,1.665320214260912,0.9826555023923444,1.0,FPR_10pct,0.9823280879648942,Explicitly adjudicated FILD/FILA negative,FP vs TN
FN,TP,179,73,74,25,0.4134078212290503,0.3424657534246575,1.207150837988827,1.3531428571428572,0.7670647293498919,2.387015752097679,1.3531428571428572,0.3220302178036486,FULL_COHORT_TOP_1PCT,1.0,FILD/FILA positive,FN vs TP
FP,TN,56,12458,12,2388,0.21428571428571427,0.19168405843634612,1.117910983488873,1.1500685244403837,0.6065088617880539,2.180772111077064,1.1500685244403837,0.6132273118707294,FULL_COHORT_TOP_1PCT,1.0,Notebook-32 FILD/FILA negative,FP vs TN
FP,TN,44,316,7,62,0.1590909090909091,0.1962025316455696,0.810850439882698,0.7750653879686138,0.32988062613116637,1.821041637613718,0.7750653879686138,0.6844060776478129,FULL_COHORT_TOP_1PCT,1.0,Explicitly adjudicated FILD/FILA negative,FP vs TN
