target_name,repeat,split_seed,model,n_test,n_positive,n_negative,observed_prevalence,performance_prevalence,zedstat_auc,zedstat_auc_ci_low,zedstat_auc_ci_high,brier_score,calibration_intercept,calibration_slope,expected_calibration_error,max_calibration_error,mean_predicted_risk,observed_to_expected_ratio,sklearn_auc_check,auc_zedstat_minus_sklearn
NON FIBROTIC ILA ADJUDICATED,1,954079809,zebra,7695,44,7651,0.005717998700454841,0.005717998700454841,0.8038242430830039,0.7254104744702605,0.8822380116957473,0.41819784556605477,-5.55268819474108,0.12740944114134606,0.5864586892663693,0.9708587902694864,0.592176687966824,0.009655899694543843,0.8037570846354012,6.715844760274425e-05
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,7695,44,7651,0.005717998700454841,0.005717998700454841,0.4964796590909091,0.4111339707460008,0.5818253474358174,0.011271419876466527,-5.1702931410838735,-0.004684169264135049,0.039116897314225706,0.187765632894495,0.04337962376458791,0.13181300814145408,0.49637005263720724,0.00010960645370183819
NON FIBROTIC ILA ADJUDICATED,1,954079809,combined,7695,44,7651,0.005717998700454841,0.005717998700454841,0.7214465454545455,0.6355637561267238,0.8073293347823671,0.012390107651270405,-3.3418286821542935,0.4727216334889753,0.031683493344280944,0.22289243249708193,0.03727887839669562,0.15338440817902077,0.7214119366452394,3.460880930605814e-05
NON FIBROTIC ILA ADJUDICATED,2,982195154,zebra,7695,44,7651,0.005717998700454841,0.005717998700454841,0.8153104585561497,0.738388841725641,0.8922320753866584,0.41497238591377084,-5.539880363655217,0.12608783526958223,0.5838840576637734,0.9720829436174492,0.589602056364228,0.009698064378735027,0.8152766720927745,3.3786463375151676e-05
NON FIBROTIC ILA ADJUDICATED,2,982195154,genomic,7695,44,7651,0.005717998700454841,0.005717998700454841,0.5013556818181818,0.41573272268101347,0.5869786409553501,0.03585972278061983,-5.119735472337377,0.00812090029520731,0.08036923464179718,0.4761542614396337,0.08293091826831148,0.0689489374994625,0.5012773137201316,7.836809805017442e-05
NON FIBROTIC ILA ADJUDICATED,2,982195154,combined,7695,44,7651,0.005717998700454841,0.005717998700454841,0.7164825681818182,0.630307442424095,0.8026576939395415,0.011399640041035738,-3.4937619861042575,0.48848410572174955,0.04005142554357224,0.20045049513200378,0.045769424244027086,0.1249305359396353,0.7164333836337496,4.918454806857042e-05
NON FIBROTIC ILA ADJUDICATED,3,795106483,zebra,7695,44,7651,0.005717998700454841,0.005717998700454841,0.8510998289865872,0.7797140077661687,0.9224856502070057,0.41206850914043597,-5.655014280035646,0.14421111526843255,0.5822903429046336,0.965497431227597,0.5880083416050884,0.009724349632262699,0.8510414562564609,5.837273012632149e-05
NON FIBROTIC ILA ADJUDICATED,3,795106483,genomic,7695,44,7651,0.005717998700454841,0.005717998700454841,0.5135387727272727,0.4272704744634037,0.5998070709911416,0.024521709216955664,-5.01369988808482,0.006074479671687455,0.023778711920775075,0.19087951140838122,0.020139994715860022,0.2839126216826651,0.5134593220137593,7.945071351334043e-05
NON FIBROTIC ILA ADJUDICATED,3,795106483,combined,7695,44,7651,0.005717998700454841,0.005717998700454841,0.7195162272727272,0.6335178369939442,0.8055146175515103,0.008231661615157669,-3.0570068593719117,0.4341213395343975,0.014621355049027231,0.11124217887510257,0.018665659453344866,0.30633788828876235,0.7194157626454059,0.00010046462732138384
NON FIBROTIC ILA ADJUDICATED,4,341467629,zebra,7695,44,7651,0.005717998700454841,0.005717998700454841,0.8243784822540472,0.7487270348049779,0.9000299297031165,0.4134029565848286,-5.545106907103193,0.12544207663471887,0.583378178107359,0.9678695832743919,0.5890961768078139,0.009706392479814505,0.824348570002733,2.991225131421249e-05
