target_name,n_total,n_positive_total,n_validation,n_positive_validation,zebra_auc_exact_03_split
FILD or FILA ADJUDICATED,12825,254,7695,152,0.8041465771680958
NONFIBROTIC ILD ADJUDICATED,12825,27,7695,16,0.8379020705821071
NON FIBROTIC ILA ADJUDICATED,12825,74,7695,44,0.8092346811468495
