target_name,model,requested_fpr,LR+,LR-,acc,npv,ppv,sensitivity,specificity
FILD or FILA ADJUDICATED,combined,0.001,,,"0.981 (0.980, 0.982)","0.982 (0.981, 0.983)","0.550 (0.298, 0.711)","0.066 (0.018, 0.121)","0.999 (0.999, 0.999)"
FILD or FILA ADJUDICATED,combined,0.005,"39.129 (18.983, 61.354)","0.808 (0.697, 0.910)","0.979 (0.977, 0.982)","0.984 (0.982, 0.986)","0.423 (0.285, 0.561)","0.191 (0.100, 0.318)","0.995 (0.995, 0.995)"
FILD or FILA ADJUDICATED,combined,0.01,"26.740 (16.450, 34.724)","0.740 (0.659, 0.844)","0.976 (0.974, 0.977)","0.985 (0.983, 0.987)","0.339 (0.245, 0.409)","0.259 (0.162, 0.343)","0.990 (0.990, 0.990)"
FILD or FILA ADJUDICATED,combined,0.02,"17.111 (13.346, 19.614)","0.671 (0.620, 0.748)","0.967 (0.966, 0.968)","0.986 (0.985, 0.988)","0.250 (0.198, 0.282)","0.332 (0.255, 0.390)","0.980 (0.980, 0.980)"
FILD or FILA ADJUDICATED,combined,0.05,"8.607 (7.382, 9.556)","0.600 (0.550, 0.664)","0.940 (0.939, 0.941)","0.988 (0.987, 0.989)","0.148 (0.132, 0.164)","0.432 (0.376, 0.487)","0.950 (0.950, 0.950)"
FILD or FILA ADJUDICATED,combined,0.1,"5.329 (5.141, 5.516)","0.519 (0.498, 0.540)","0.893 (0.891, 0.894)","0.990 (0.988, 0.991)","0.097 (0.086, 0.105)","0.531 (0.468, 0.581)","0.900 (0.900, 0.900)"
FILD or FILA ADJUDICATED,genomic,0.001,,,"0.979 (0.979, 0.980)","0.980 (0.980, 0.980)","0.083 (0.023, 0.187)","0.003 (0.000, 0.013)","0.999 (0.999, 0.999)"
FILD or FILA ADJUDICATED,genomic,0.005,"4.277 (2.731, 6.383)","0.984 (0.973, 0.991)","0.976 (0.975, 0.976)","0.980 (0.980, 0.981)","0.056 (0.023, 0.101)","0.013 (0.000, 0.033)","0.995 (0.995, 0.995)"
FILD or FILA ADJUDICATED,genomic,0.01,"3.619 (2.072, 5.724)","0.974 (0.952, 0.989)","0.971 (0.971, 0.971)","0.981 (0.980, 0.981)","0.050 (0.023, 0.088)","0.025 (0.007, 0.050)","0.990 (0.990, 0.990)"
FILD or FILA ADJUDICATED,genomic,0.02,"3.454 (2.673, 4.235)","0.950 (0.934, 0.966)","0.961 (0.961, 0.962)","0.981 (0.980, 0.982)","0.044 (0.023, 0.079)","0.043 (0.018, 0.086)","0.980 (0.980, 0.980)"
