requested_clinical_FPR,lambda_LR_Z,log_lambda_LR_Z,clinical_FPR,joint_same_lambda_FPR,clinical_sensitivity,joint_same_lambda_sensitivity,n_flips,n_upward_flips,n_downward_flips,overall_flip_fraction,control_flip_fraction,case_flip_fraction,median_boundary_distance_flips,q90_boundary_distance_flips,q95_boundary_distance_flips,max_boundary_distance_flips,max_flip_distance_minus_abs_observed_logLR_G,flip_fraction_outside_b_delta_0.1,flip_fraction_outside_b_delta_0.05,flip_fraction_outside_b_delta_0.025,flip_fraction_outside_b_delta_0.01,flip_fraction_outside_b_delta_0.005
0.005,26.367177594522037,3.272119963712519,0.0050343615151030845,0.004954451014863353,0.29365079365079366,0.29365079365079366,3,1,2,0.00023499921666927777,0.0002397315007191945,0.0,0.13739179666920176,0.2076073798043856,0.21638432769628357,0.22516127558818155,-0.015645260385418636,0.0,0.0,0.0,0.0,0.0
0.01,9.680109436475018,2.2700732066455527,0.010068723030206169,0.010947738532843216,0.29365079365079366,0.29365079365079366,23,17,6,0.0018016606611311295,0.0018379415055138244,0.0,0.3903428132441884,0.6285138086013213,0.691658371651935,1.227208032655148,-0.002872150900380354,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
0.02,4.393608891070316,1.4801509602307446,0.020057535560172608,0.02397315007191945,0.3412698412698413,0.36507936507936506,149,102,47,0.011671627761240796,0.010787917532363753,0.05555555555555555,0.33320303782063343,0.8127805830688001,0.8590604323226679,1.26779957434434,-0.0002266586091858036,0.0738255033557047,0.040268456375838924,0.026845637583892617,0.006711409395973154,0.006711409395973154
0.05,1.960681331708411,0.6732920310557883,0.05002397315007192,0.07975067923925204,0.44047619047619047,0.5198412698412699,806,599,207,0.06313645621181263,0.061371264184113795,0.15079365079365079,0.5354133510793655,0.7563159054299429,0.7805441452378926,0.8614241484593875,-0.00017374324572316802,0.0024813895781637717,0.0,0.0,0.0,0.0
0.1,1.280502204939172,0.24725234859205728,0.10004794630014384,0.1336902669010708,0.5317460317460317,0.6190476190476191,1479,961,518,0.11585461381795394,0.11483138884449416,0.16666666666666666,0.2939508088687213,0.6052053141358088,0.7166109840632546,0.8589220672626598,-0.0007043882774771526,0.000676132521974307,0.0,0.0,0.0,0.0
