delta,b_delta_statewise_abs_logLR,b_delta_bootstrap_ci_low,b_delta_bootstrap_ci_high,exp_b_delta,empirical_tail_fraction,central_state_logLR_lower,central_state_logLR_upper,central_state_m_delta,central_state_M_delta
0.1,0.8453830534784522,0.8434578905915018,0.847068781879861,2.3288697253837296,0.10004794630014384,-0.37773660632205364,0.8451258960126429,0.6854110098191231,2.328270916144383
0.05,0.8698693936248333,0.8678106860213998,0.8719240612158184,2.3865991281069583,0.05002397315007192,-0.3998382785263989,0.8690962975589416,0.670428459947461,2.3847547707347334
0.025,0.8878662324137291,0.8850116365802456,0.891660866979523,2.4299391901597756,0.02501198657503596,-0.41837035671578665,0.8867391371814892,0.6581184446983664,2.4272019601331385
0.01,0.9099193949629168,0.9069047558986425,0.9130643165491422,2.484122292545205,0.010068723030206169,-0.4421357958382092,0.9086688605932798,0.642662358656073,2.481017753810773
0.005,0.9240980704663063,0.9186077997468599,0.9289686806573609,2.5195947383265005,0.0050343615151030845,-0.45852428689739877,0.9200987771391157,0.6322159267747115,2.509538262704106
