repeat,fold,train_n,test_n,train_cases,train_carriers
0,0,10212,2554,201,1999
0,1,10213,2553,202,2000
0,2,10213,2553,202,1999
0,3,10213,2553,202,1999
0,4,10213,2553,201,1999
1,0,10212,2554,201,1999
1,1,10213,2553,202,2000
1,2,10213,2553,202,1999
1,3,10213,2553,202,1999
1,4,10213,2553,201,1999
2,0,10212,2554,201,1999
2,1,10213,2553,202,2000
2,2,10213,2553,202,1999
2,3,10213,2553,202,1999
2,4,10213,2553,201,1999
3,0,10212,2554,201,1999
3,1,10213,2553,202,2000
3,2,10213,2553,202,1999
3,3,10213,2553,202,1999
3,4,10213,2553,201,1999
4,0,10212,2554,201,1999
4,1,10213,2553,202,2000
4,2,10213,2553,202,1999
4,3,10213,2553,202,1999
4,4,10213,2553,201,1999
