window_center_percentile,window_lower_percentile,window_upper_percentile,N,cases,median_log_LR_Z,q10_log_LR_Z,q90_log_LR_Z,median_log_LR_G1_given_Z,median_log_LR_G0_given_Z,median_max_abs_log_LR_G_statewise,q95_max_abs_log_LR_G_statewise,median_log_LR_G_observed,median_log_LR_ZG,fraction_log_LR_Z_exceeds_statewise_genomic_scale
62.5,57.5,67.5,1277,15,-0.1955053072609925,-0.2919728421694834,-0.12232156075052117,0.8171812498380082,-0.34859012772693276,0.8171812498380082,0.8685172498069785,-0.3415342917244222,-0.5186594652066746,0.0
65.0,60.0,70.0,1277,20,-0.14875584930690988,-0.23025557051117773,-0.09207588536772186,0.8031078364058379,-0.337667020181915,0.8031078364058379,0.858083531465691,-0.3304190806223092,-0.4641398486414381,0.0
67.5,62.5,72.5,1277,22,-0.11631491489708101,-0.17585062767633103,-0.07108715805999562,0.7892784756473027,-0.3276940601507749,0.7892784756473027,0.8429858652356903,-0.3212120555465633,-0.4266293252429223,0.0
70.0,65.0,75.0,1277,21,-0.09169144330230071,-0.142758530238986,-0.055960243430799465,0.7752488859198896,-0.31876071175589193,0.7752488859198896,0.8272464297502792,-0.3120539097721849,-0.39604179664351585,0.0
72.5,67.5,77.5,1276,24,-0.07392905667702546,-0.11259298151228177,-0.03925306997086293,0.7621361401973157,-0.31073785567477696,0.7621361401973157,0.8170614806668552,-0.3016938612580663,-0.36889773828176786,0.0
75.0,70.0,80.0,1276,19,-0.056035382517151996,-0.0922390205133545,-0.017494014580167666,0.7505598098678895,-0.30345285745976597,0.7505598098678895,0.8082886153112321,-0.2940371068329231,-0.344155069113824,0.0
77.5,72.5,82.5,1276,18,-0.035041536405609156,-0.0773479163039924,0.016274396658824623,0.743733073876266,-0.30005921026818927,0.743733073876266,0.7993139036800447,-0.2920824778103104,-0.31602397850497543,0.0
80.0,75.0,85.0,1277,24,-0.00701557235868657,-0.05588724463579966,0.062248313490018824,0.7408862590881811,-0.29954513987959624,0.7408862590881811,0.7964044966846259,-0.29271870520484083,-0.2831997472085919,0.0
82.5,77.5,87.5,1277,25,0.03344506406005625,-0.029671752806841263,0.1427035187322865,0.7478321759319234,-0.30486681150608663,0.7478321759319234,0.8093536827567288,-0.29774785169200324,-0.24867704118123846,0.0
85.0,80.0,90.0,1277,38,0.09420401407503609,0.005697607323359427,0.23783098476574205,0.766195186804097,-0.31836191194156493,0.766195186804097,0.8337798878765823,-0.3083855204401559,-0.1905535059876518,0.0
87.5,82.5,92.5,1277,43,0.17490605090382672,0.0516422096164014,0.3807698223777141,0.7967341947502214,-0.34238376469076276,0.7967341947502214,0.8732976642430483,-0.32943530256677694,-0.12566293502144688,0.0
90.0,85.0,95.0,1276,42,0.28810680186912174,0.124915585962031,0.6384532932854052,0.8302837371729133,-0.3688047998812793,0.8302837371729133,0.912643662391948,-0.35557063274589096,-0.024225612241166518,0.0
92.5,87.5,97.5,1276,60,0.4657008638137053,0.21525297775336788,1.130645312334921,0.8493371003788097,-0.3852487731341808,0.8493371003788097,0.9205639142316219,-0.3722649950771419,0.1758736070079454,0.20376175548589343
95.0,90.0,100.0,1277,128,0.7976582709523657,0.3466655166847751,3.7548093163911984,0.8474579487313253,-0.3841424345359837,0.8485681811959868,0.9250613173014809,-0.3639607679039203,0.6780343682244179,0.45262333594361787
97.5,92.5,102.5,958,117,1.0728169403706,0.5379782762728784,3.815539838177322,0.8467203564428203,-0.38209989902748953,0.8496704485942737,0.9305331916198899,-0.3110198363787566,1.1373258600660439,0.6033402922755741
