window_center_percentile,window_lower_percentile,window_upper_percentile,N,cases,median_log_LR_Z,q10_log_LR_Z,q90_log_LR_Z,median_log_LR_G1_given_Z,median_log_LR_G0_given_Z,median_max_abs_log_LR_G_statewise,q95_max_abs_log_LR_G_statewise,median_log_LR_G_observed,median_log_LR_ZG,fraction_log_LR_Z_exceeds_statewise_genomic_scale
25.0,20.0,30.0,1276,8,-1.454806304785786,-1.5660930465826186,-1.3269924525784886,0.5132543328965469,-0.18093073722873368,0.5132543328965469,0.6270870122353124,-0.1694076524635602,-1.5993699179545837,0.0
27.5,22.5,32.5,1276,6,-1.380016869297663,-1.5096771385189416,-1.2447975083725815,0.5553503880444508,-0.20318507302261735,0.5553503880444508,0.6647140648382253,-0.18886449069733208,-1.5488829704720524,0.0
30.0,25.0,35.0,1277,5,-1.3039860760025994,-1.440023395923449,-1.172060779397898,0.5961096993355589,-0.22612747808389164,0.5961096993355589,0.6951887268326119,-0.21289232699006874,-1.5047302852302624,0.0
32.5,27.5,37.5,1277,7,-1.22684829425875,-1.3606033731297502,-1.0896622789099297,0.6327176608717615,-0.24660857629835925,0.6327176608717615,0.7203399415725753,-0.23423069014122816,-1.4429088900143925,0.0
35.0,30.0,40.0,1277,8,-1.148809447963818,-1.2868452007077404,-1.009314242148823,0.6652862828168743,-0.26610076445698616,0.6652862828168743,0.7541993159575736,-0.25562727255758017,-1.3817055813416115,0.0
37.5,32.5,42.5,1277,8,-1.0631101981503353,-1.2045321877411632,-0.9216109957152487,0.6929396785522177,-0.2829544430452553,0.6929396785522177,0.7840839332738135,-0.2725681195290189,-1.3192805982840459,0.0
40.0,35.0,45.0,1276,12,-0.9801866027941842,-1.1251467814022358,-0.8248003836308015,0.7230881574392175,-0.30080551165937824,0.7230881574392175,0.8038145613044084,-0.290283929409115,-1.2416321437664464,0.0
42.5,37.5,47.5,1276,13,-0.88803014383686,-1.0420976086029246,-0.7288838921051457,0.7496407026932497,-0.317826296642689,0.7496407026932497,0.8241576276949779,-0.30761694184183863,-1.1650131533668793,0.0
45.0,40.0,50.0,1277,11,-0.7845137557820633,-0.9466846171787276,-0.6281739563523546,0.7735225029570654,-0.3317869961861094,0.7735225029570654,0.8456881959443009,-0.3218478495098619,-1.0839419138624062,0.0
47.5,42.5,52.5,1277,13,-0.687010317533184,-0.8534328879500261,-0.5241367015227045,0.7950958438424826,-0.344111857528062,0.7950958438424826,0.8667744713067587,-0.3352705129275359,-0.993594710993089,0.0
50.0,45.0,55.0,1277,13,-0.5865969853149913,-0.7502255748403952,-0.4309747597396175,0.8114145588484287,-0.3543881981771104,0.8114145588484287,0.8757657813501755,-0.34599572683735874,-0.8973868780655874,0.0
52.5,47.5,57.5,1277,13,-0.48517199073848327,-0.6462829745055642,-0.35142016282482436,0.8224326182666936,-0.3605508900387211,0.8224326182666936,0.8817228771376822,-0.35114433382331395,-0.8047694326869712,0.0
55.0,50.0,60.0,1277,15,-0.39749401272726886,-0.5443526334146886,-0.27531754118618335,0.8293755278432061,-0.3629418572117982,0.8293755278432061,0.8855940830929206,-0.3543433723686737,-0.7226863250829144,0.0
57.5,52.5,62.5,1276,16,-0.3210166301804546,-0.44661849621543215,-0.21693587398351943,0.8304229348243588,-0.36130690369802154,0.8304229348243588,0.8812585541766973,-0.3535212346998641,-0.6518190019420231,0.0
60.0,55.0,65.0,1276,16,-0.25394642433762477,-0.36808511304320624,-0.1607394394337935,0.8252808316922667,-0.35584824094139633,0.8252808316922667,0.8776552849558054,-0.34933320201254303,-0.5813637207229159,0.0
