target_name,repeat,split_seed,model,calibration_source,n_calibration,n_positive_calibration,raw_auc_calibration_data,calibrated_auc_calibration_data,raw_brier_calibration_data,calibrated_brier_calibration_data,n_unique_raw_scores,n_unique_calibrated_scores
NON FIBROTIC ILA ADJUDICATED,1,2125423155,zebra,outer_train_fixed_score,5130,30,0.8279084967320262,0.8451209150326797,0.4221038345484139,0.005724125959279401,5095,11
NON FIBROTIC ILA ADJUDICATED,1,2125423155,genomic,outer_train_oof_predictions,5130,30,0.5199477124183006,0.5750588235294117,0.01868110902388963,0.005810692462982295,5130,5
NON FIBROTIC ILA ADJUDICATED,1,2125423155,combined,outer_train_oof_predictions,5130,30,0.7368692810457516,0.766124183006536,0.010553591451670152,0.005781832491480821,5130,7
NON FIBROTIC ILA ADJUDICATED,2,213895244,zebra,outer_train_fixed_score,5130,30,0.8229738562091503,0.8448692810457515,0.4137729240213188,0.005640064204339063,5078,10
NON FIBROTIC ILA ADJUDICATED,2,213895244,genomic,outer_train_oof_predictions,5130,30,0.5640849673202615,0.6086045751633986,0.04053790588428354,0.005807106900905039,5130,4
NON FIBROTIC ILA ADJUDICATED,2,213895244,combined,outer_train_oof_predictions,5130,30,0.7542483660130719,0.7870359477124182,0.008134662497536183,0.00571512556075999,5130,7
NON FIBROTIC ILA ADJUDICATED,3,943342257,zebra,outer_train_fixed_score,5130,30,0.8212450980392157,0.8504346405228759,0.41160138111149164,0.005665289299603511,5075,9
NON FIBROTIC ILA ADJUDICATED,3,943342257,genomic,outer_train_oof_predictions,5130,30,0.4993202614379085,0.5698039215686275,0.010179900851041878,0.005809625050439525,5130,5
NON FIBROTIC ILA ADJUDICATED,3,943342257,combined,outer_train_oof_predictions,5130,30,0.6748366013071896,0.7081797385620915,0.0075788816650277,0.005742956838261454,5130,13
NON FIBROTIC ILA ADJUDICATED,4,661059367,zebra,outer_train_fixed_score,5130,30,0.8810457516339869,0.896624183006536,0.41406906362150664,0.005627257813658212,5088,9
NON FIBROTIC ILA ADJUDICATED,4,661059367,genomic,outer_train_oof_predictions,5130,30,0.4724248366013072,0.5405915032679739,0.009905479288847484,0.005812184236308171,5130,6
NON FIBROTIC ILA ADJUDICATED,4,661059367,combined,outer_train_oof_predictions,5130,30,0.7975359477124183,0.8170882352941178,0.008667236882891411,0.005761040403934197,3811,9
NON FIBROTIC ILA ADJUDICATED,5,1911131971,zebra,outer_train_fixed_score,5130,30,0.830813725490196,0.852421568627451,0.4141484239837786,0.00567352174946909,5079,8
NON FIBROTIC ILA ADJUDICATED,5,1911131971,genomic,outer_train_oof_predictions,5130,30,0.5410326797385621,0.5,0.03246285893906396,0.005813754659553364,4715,1
NON FIBROTIC ILA ADJUDICATED,5,1911131971,combined,outer_train_oof_predictions,5130,30,0.6519542483660131,0.6889477124183007,0.008779415166943392,0.0057867546672504995,5130,7
NON FIBROTIC ILA ADJUDICATED,6,897680878,zebra,outer_train_fixed_score,5130,30,0.8676470588235294,0.8930424836601307,0.4231503132474931,0.0056716102841944,5080,7
NON FIBROTIC ILA ADJUDICATED,6,897680878,genomic,outer_train_oof_predictions,5130,30,0.5214444444444445,0.5718104575163399,0.01947346318639241,0.005811195467755556,5130,6
NON FIBROTIC ILA ADJUDICATED,6,897680878,combined,outer_train_oof_predictions,5130,30,0.7858954248366014,0.8184281045751635,0.020701594094538648,0.0057484721208034,5130,8
NON FIBROTIC ILA ADJUDICATED,7,97308475,zebra,outer_train_fixed_score,5130,30,0.7944575163398693,0.818140522875817,0.42056578927132343,0.005723382267724269,5076,9
NON FIBROTIC ILA ADJUDICATED,7,97308475,genomic,outer_train_oof_predictions,5130,30,0.5358366013071896,0.5910228758169934,0.008863361939878573,0.005809424389679885,5130,5
NON FIBROTIC ILA ADJUDICATED,7,97308475,combined,outer_train_oof_predictions,5130,30,0.6630326797385622,0.7071111111111112,0.009972074522894312,0.005746185765783236,4396,9
NON FIBROTIC ILA ADJUDICATED,8,1286373922,zebra,outer_train_fixed_score,5130,30,0.8251013071895426,0.8433954248366012,0.4181041628330353,0.005687168529402752,5073,9
NON FIBROTIC ILA ADJUDICATED,8,1286373922,genomic,outer_train_oof_predictions,5130,30,0.5254248366013071,0.5352941176470588,0.2651072124756396,0.005812886124776962,153,2
NON FIBROTIC ILA ADJUDICATED,8,1286373922,combined,outer_train_oof_predictions,5130,30,0.5584771241830065,0.6290228758169935,0.028503979775244086,0.005799736689219471,5130,7
NON FIBROTIC ILA ADJUDICATED,9,1192455611,zebra,outer_train_fixed_score,5130,30,0.7717614379084967,0.7980098039215687,0.42014728540583324,0.005747582461477866,5077,8
NON FIBROTIC ILA ADJUDICATED,9,1192455611,genomic,outer_train_oof_predictions,5130,30,0.43166013071895426,0.5414150326797385,0.021622148774377226,0.0058090897648362515,5118,4
NON FIBROTIC ILA ADJUDICATED,9,1192455611,combined,outer_train_oof_predictions,5130,30,0.6828562091503269,0.7308529411764706,0.008171403907596403,0.005780947293853877,5130,7
NON FIBROTIC ILA ADJUDICATED,10,1930227992,zebra,outer_train_fixed_score,5130,30,0.8158660130718953,0.8335098039215686,0.4150822535489805,0.005680676778882517,5073,10
NON FIBROTIC ILA ADJUDICATED,10,1930227992,genomic,outer_train_oof_predictions,5130,30,0.48235620915032684,0.5007843137254901,0.07327044492406708,0.005813753293202893,383,2
NON FIBROTIC ILA ADJUDICATED,10,1930227992,combined,outer_train_oof_predictions,5130,30,0.5731372549019609,0.6229444444444444,0.007639860869872802,0.005775385798370401,5130,6
NON FIBROTIC ILA ADJUDICATED,11,503630262,zebra,outer_train_fixed_score,5130,30,0.8206274509803921,0.8439738562091503,0.4143802657984125,0.0057207896287093775,5093,11
NON FIBROTIC ILA ADJUDICATED,11,503630262,genomic,outer_train_oof_predictions,5130,30,0.5166078431372549,0.5695751633986927,0.016468459360220674,0.005810977071405873,5128,5
NON FIBROTIC ILA ADJUDICATED,11,503630262,combined,outer_train_oof_predictions,5130,30,0.6410522875816993,0.6848562091503267,0.0160866877129904,0.005793399878307945,5130,6
