band_index,band_label,N,cases,lrt,pval,auc_zebra,auc_muc5b
1,2--5,401,26,4.44,0.0352,0.577,0.595
2,5--10,652,26,16.55,0.0000474,0.367,0.677
3,10--20,1281,30,4.77,0.0289,0.558,0.586
4,20--40,2540,37,13.69,0.000215,0.516,0.635
