target_name,repeat,split_seed,model,inner_cv_auc,params_json
FILD or FILA ADJUDICATED,1,220311312,zebra_plus_MUC5B_ridge,0.844301324348355,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,1,220311312,zebra_plus_MUC5B_DOCK2_ridge,0.8384809771163836,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,1,220311312,zebra_plus_genomics_elasticnet,0.8491272403949647,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,2,312891561,zebra_plus_MUC5B_ridge,0.823064368945669,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,2,312891561,zebra_plus_MUC5B_DOCK2_ridge,0.8130001403902849,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,2,312891561,zebra_plus_genomics_elasticnet,0.8158635172446068,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,3,1779399535,zebra_plus_MUC5B_ridge,0.8341113294959989,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,3,1779399535,zebra_plus_MUC5B_DOCK2_ridge,0.8136640694463942,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,3,1779399535,zebra_plus_genomics_elasticnet,0.8414730450652814,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,4,375395779,zebra_plus_MUC5B_ridge,0.8087796574477046,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,4,375395779,zebra_plus_MUC5B_DOCK2_ridge,0.796931302353877,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,4,375395779,zebra_plus_genomics_elasticnet,0.8103561233562638,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,5,1598024267,zebra_plus_MUC5B_ridge,0.8286097852028639,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,5,1598024267,zebra_plus_MUC5B_DOCK2_ridge,0.8286799803453601,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,5,1598024267,zebra_plus_genomics_elasticnet,0.8267115915578641,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,6,30379907,zebra_plus_MUC5B_ridge,0.8332660629884412,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,6,30379907,zebra_plus_MUC5B_DOCK2_ridge,0.8248397210913004,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,6,30379907,zebra_plus_genomics_elasticnet,0.8299756656839347,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,7,282479422,zebra_plus_MUC5B_ridge,0.8293000374374094,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,7,282479422,zebra_plus_MUC5B_DOCK2_ridge,0.8234036454677337,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,7,282479422,zebra_plus_genomics_elasticnet,0.8313122981889652,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,8,396877847,zebra_plus_MUC5B_ridge,0.8294258037343817,"{""lr__C"": 0.01}"
FILD or FILA ADJUDICATED,8,396877847,zebra_plus_MUC5B_DOCK2_ridge,0.8312596518320933,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,8,396877847,zebra_plus_genomics_elasticnet,0.8169193691796527,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,9,650755367,zebra_plus_MUC5B_ridge,0.8142080818007393,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,9,650755367,zebra_plus_MUC5B_DOCK2_ridge,0.8081362019748233,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,9,650755367,zebra_plus_genomics_elasticnet,0.8135090551733821,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,10,1780262267,zebra_plus_MUC5B_ridge,0.8522567738312509,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,10,1780262267,zebra_plus_MUC5B_DOCK2_ridge,0.8453425522953811,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,10,1780262267,zebra_plus_genomics_elasticnet,0.8540058027984463,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,11,867878818,zebra_plus_MUC5B_ridge,0.8485978520286396,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,11,867878818,zebra_plus_MUC5B_DOCK2_ridge,0.8259043474191586,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,11,867878818,zebra_plus_genomics_elasticnet,0.8483609434227152,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,12,1204017490,zebra_plus_MUC5B_ridge,0.8064281201740839,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,12,1204017490,zebra_plus_MUC5B_DOCK2_ridge,0.8038806214609949,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,12,1204017490,zebra_plus_genomics_elasticnet,0.8080279844634751,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,13,1802158889,zebra_plus_MUC5B_ridge,0.8099115541204549,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,13,1802158889,zebra_plus_MUC5B_DOCK2_ridge,0.8092476250643456,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,13,1802158889,zebra_plus_genomics_elasticnet,0.8111428939117413,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,14,956564493,zebra_plus_MUC5B_ridge,0.8219236978801067,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,14,956564493,zebra_plus_MUC5B_DOCK2_ridge,0.811473396040994,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,14,956564493,zebra_plus_genomics_elasticnet,0.8222629744021713,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,15,652393358,zebra_plus_MUC5B_ridge,0.8367641209228321,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,15,652393358,zebra_plus_MUC5B_DOCK2_ridge,0.8333742804997896,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,15,652393358,zebra_plus_genomics_elasticnet,0.8345617483270157,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,16,228448527,zebra_plus_MUC5B_ridge,0.8067001263512564,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,16,228448527,zebra_plus_MUC5B_DOCK2_ridge,0.7827518835696571,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,16,228448527,zebra_plus_genomics_elasticnet,0.7936760026206188,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,17,2088784507,zebra_plus_MUC5B_ridge,0.8448511862979081,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,17,2088784507,zebra_plus_MUC5B_DOCK2_ridge,0.8325699611586878,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,17,2088784507,zebra_plus_genomics_elasticnet,0.8406950489026159,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,18,2083399969,zebra_plus_MUC5B_ridge,0.8264191117974636,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,18,2083399969,zebra_plus_MUC5B_DOCK2_ridge,0.8108504141513407,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,18,2083399969,zebra_plus_genomics_elasticnet,0.813046937151949,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,19,640980522,zebra_plus_MUC5B_ridge,0.827109364032009,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,19,640980522,zebra_plus_MUC5B_DOCK2_ridge,0.8203940287332117,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,19,640980522,zebra_plus_genomics_elasticnet,0.8324646684449436,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,20,1260569765,zebra_plus_MUC5B_ridge,0.8198587907716787,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,20,1260569765,zebra_plus_MUC5B_DOCK2_ridge,0.8145590575132201,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,20,1260569765,zebra_plus_genomics_elasticnet,0.820075225794375,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,21,574674269,zebra_plus_MUC5B_ridge,0.7794322382891105,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,21,574674269,zebra_plus_MUC5B_DOCK2_ridge,0.774193925780336,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,21,574674269,zebra_plus_genomics_elasticnet,0.7628398614815856,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,22,152971527,zebra_plus_MUC5B_ridge,0.8316077027469699,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,22,152971527,zebra_plus_MUC5B_DOCK2_ridge,0.8244741213907997,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,22,152971527,zebra_plus_genomics_elasticnet,0.835234451775937,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,23,1510540810,zebra_plus_MUC5B_ridge,0.8068141934578127,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,23,1510540810,zebra_plus_MUC5B_DOCK2_ridge,0.801426716271234,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,23,1510540810,zebra_plus_genomics_elasticnet,0.8121782722635594,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,24,489174952,zebra_plus_MUC5B_ridge,0.8134651832093219,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,24,489174952,zebra_plus_MUC5B_DOCK2_ridge,0.8039098694370351,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,24,489174952,zebra_plus_genomics_elasticnet,0.8051265852403012,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,25,219724353,zebra_plus_MUC5B_ridge,0.8432893443773691,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,25,219724353,zebra_plus_MUC5B_DOCK2_ridge,0.8383376620337873,"{""lr__C"": 10}"
