target_name,metric,comparison,n_repeats,mean_delta,median_delta,q025,q975,fraction_gt_zero,fraction_lt_zero
FILD or FILA ADJUDICATED,auc,genomics_plus_zebra - zebra,30,0.00043488967347443306,0.0,-0.005070316152305695,0.00408434623945522,0.4,0.2
FILD or FILA ADJUDICATED,average_precision,genomics_plus_zebra - zebra,30,-0.031105656452743595,-0.015564796099600708,-0.09657471952402719,0.0,0.0,0.6
FILD or FILA ADJUDICATED,brier,genomics_plus_zebra - zebra,30,0.00031237797147093567,0.00031210023696371346,0.0002459711134211066,0.00038993340461023466,1.0,0.0
FILD or FILA ADJUDICATED,log_loss,genomics_plus_zebra - zebra,30,0.004679925854538009,0.00484041265110334,0.0022296176706901754,0.007194029777068869,1.0,0.0
NON FIBROTIC ILA ADJUDICATED,auc,genomics_plus_zebra - zebra,30,-0.037368406981856186,-0.03667449887715207,-0.07384325132781216,-0.007046241727165961,0.03333333333333333,0.9666666666666667
NON FIBROTIC ILA ADJUDICATED,average_precision,genomics_plus_zebra - zebra,30,-0.013915956758921676,-0.013022843164460902,-0.0272995026918027,-0.003962086141200917,0.0,1.0
NON FIBROTIC ILA ADJUDICATED,brier,genomics_plus_zebra - zebra,30,4.0215224818173525e-05,3.512083009899912e-05,-4.871834687146687e-07,0.00012884122542486398,0.9666666666666667,0.03333333333333333
NON FIBROTIC ILA ADJUDICATED,log_loss,genomics_plus_zebra - zebra,30,0.0009801102938376985,0.0009825653695604043,-0.00013671197446564817,0.0020841579674180776,0.9666666666666667,0.03333333333333333
NONFIBROTIC ILD ADJUDICATED,auc,genomics_plus_zebra - zebra,30,-0.10052497069930982,-0.08615420302122662,-0.2257716865802839,-0.005056302090115859,0.0,1.0
NONFIBROTIC ILD ADJUDICATED,average_precision,genomics_plus_zebra - zebra,30,-0.008470868024298956,-0.007568880432651553,-0.018287903593789765,0.00038119183887532285,0.03333333333333333,0.9666666666666667
NONFIBROTIC ILD ADJUDICATED,brier,genomics_plus_zebra - zebra,30,6.223242694922314e-05,2.451209678405817e-05,-8.728710425956396e-07,0.00032003996547970344,0.9666666666666667,0.03333333333333333
NONFIBROTIC ILD ADJUDICATED,log_loss,genomics_plus_zebra - zebra,30,0.0009731812509329092,0.0008730635231438419,-0.0007811998080456018,0.002983420591347555,0.7666666666666667,0.23333333333333334
