target_name,requested_fpr,metric,comparison,n_repeats,mean_delta,median_delta,q025,q975,fraction_gt_zero
FILD or FILA ADJUDICATED,0.005,sensitivity,genomics_plus_zebra - zebra,30,-0.08223684210526315,-0.06578947368421054,-0.2057565789473684,0.0,0.0
FILD or FILA ADJUDICATED,0.005,ppv,genomics_plus_zebra - zebra,30,-0.10092395586601918,-0.09801230263993016,-0.2557424242424242,0.0,0.0
FILD or FILA ADJUDICATED,0.01,sensitivity,genomics_plus_zebra - zebra,30,-0.07236842105263158,-0.05592105263157893,-0.18601973684210524,0.0,0.0
FILD or FILA ADJUDICATED,0.01,ppv,genomics_plus_zebra - zebra,30,-0.06984060780736905,-0.05556133416545314,-0.17075147693173295,0.0,0.0
FILD or FILA ADJUDICATED,0.05,sensitivity,genomics_plus_zebra - zebra,30,-0.011184210526315784,0.0,-0.2225328947368421,0.0675986842105263,0.3333333333333333
FILD or FILA ADJUDICATED,0.05,ppv,genomics_plus_zebra - zebra,30,-0.0036321285611567175,0.0,-0.06797726416628858,0.019126936435809504,0.3333333333333333
NON FIBROTIC ILA ADJUDICATED,0.005,sensitivity,genomics_plus_zebra - zebra,30,-0.09015151515151515,-0.09090909090909091,-0.18181818181818182,0.022727272727272728,0.06666666666666667
NON FIBROTIC ILA ADJUDICATED,0.005,ppv,genomics_plus_zebra - zebra,24,-0.04966182775717792,-0.051706514206514204,-0.08983879051119278,-0.012954905063291139,0.0
NON FIBROTIC ILA ADJUDICATED,0.01,sensitivity,genomics_plus_zebra - zebra,30,-0.09696969696969697,-0.09090909090909091,-0.16534090909090912,0.0,0.0
NON FIBROTIC ILA ADJUDICATED,0.01,ppv,genomics_plus_zebra - zebra,30,-0.04984646425245467,-0.0481777084898431,-0.0856700954084675,0.0003992450638792087,0.03333333333333333
NON FIBROTIC ILA ADJUDICATED,0.05,sensitivity,genomics_plus_zebra - zebra,30,-0.1734848484848485,-0.17045454545454544,-0.2727272727272727,-0.01420454545454563,0.03333333333333333
NON FIBROTIC ILA ADJUDICATED,0.05,ppv,genomics_plus_zebra - zebra,30,-0.01882603914755026,-0.018467818412531,-0.0296967324034037,-0.001569621296717142,0.03333333333333333
NONFIBROTIC ILD ADJUDICATED,0.005,sensitivity,genomics_plus_zebra - zebra,30,-0.05,0.0,-0.25,0.0625,0.16666666666666666
NONFIBROTIC ILD ADJUDICATED,0.005,ppv,genomics_plus_zebra - zebra,13,-0.025568880738669995,-0.014899514899514903,-0.05518987341772152,-0.007626379422265505,0.0
NONFIBROTIC ILD ADJUDICATED,0.01,sensitivity,genomics_plus_zebra - zebra,30,-0.15,-0.125,-0.25,-0.0625,0.0
NONFIBROTIC ILD ADJUDICATED,0.01,ppv,genomics_plus_zebra - zebra,30,-0.029028841155723635,-0.024997971437844855,-0.04938271604938271,-0.012372811596923234,0.0
NONFIBROTIC ILD ADJUDICATED,0.05,sensitivity,genomics_plus_zebra - zebra,30,-0.16666666666666666,-0.1875,-0.346875,0.0625,0.06666666666666667
NONFIBROTIC ILD ADJUDICATED,0.05,ppv,genomics_plus_zebra - zebra,30,-0.0068185318571342265,-0.007672123286758928,-0.014242039724127048,0.002534732910796304,0.06666666666666667
