target_name,repeat,split_seed,model,n_test,n_positive_test,auc,average_precision,brier,log_loss
FILD or FILA ADJUDICATED,1,220311312,zebra_raw,7695,152,0.7929955971727011,0.20707526026017908,0.40605632448291284,1.615927381134303
FILD or FILA ADJUDICATED,1,220311312,zebra_logistic,7695,152,0.7929955971727011,0.20707526026017908,0.018824426518762514,0.08833485721029247
FILD or FILA ADJUDICATED,1,220311312,zebra_plus_genomics_elasticnet,7695,152,0.7929955971727011,0.20707526026017908,0.019085425282893143,0.09076419495726228
FILD or FILA ADJUDICATED,1,220311312,zebra_plus_MUC5B_ridge,7695,152,0.7989526713509214,0.11504709125637128,0.018741177726905065,0.08656104702769025
FILD or FILA ADJUDICATED,1,220311312,zebra_plus_MUC5B_DOCK2_ridge,7695,152,0.7981842698353998,0.09011629708992017,0.018821713551122412,0.08734984283022174
FILD or FILA ADJUDICATED,2,312891561,zebra_raw,7695,152,0.8154658902991271,0.22709145727836802,0.4036112902627908,1.615718675750007
FILD or FILA ADJUDICATED,2,312891561,zebra_logistic,7695,152,0.8154658902991271,0.22709145727836802,0.0187714877764116,0.08563549021587201
FILD or FILA ADJUDICATED,2,312891561,zebra_plus_genomics_elasticnet,7695,152,0.8204823049603327,0.18356411769305075,0.019087595211683316,0.09075994617260892
FILD or FILA ADJUDICATED,2,312891561,zebra_plus_MUC5B_ridge,7695,152,0.8136390832908866,0.1289744694658543,0.018646315152477996,0.0844757197864824
FILD or FILA ADJUDICATED,2,312891561,zebra_plus_MUC5B_DOCK2_ridge,7695,152,0.8157310367925648,0.11050493671196647,0.018600704699848064,0.08370262150517628
FILD or FILA ADJUDICATED,3,1779399535,zebra_raw,7695,152,0.7984790708708668,0.21130762454912536,0.40256993958798,1.5900337256872985
FILD or FILA ADJUDICATED,3,1779399535,zebra_logistic,7695,152,0.7984790708708668,0.21130762454912536,0.018803536382532657,0.08702674745077434
FILD or FILA ADJUDICATED,3,1779399535,zebra_plus_genomics_elasticnet,7695,152,0.7984790708708668,0.21130762454912536,0.019095506816235844,0.09089716560069679
