target_name,repeat,split_seed,model,requested_fpr,actual_fpr,sensitivity,specificity,ppv
FILD or FILA ADJUDICATED,1,220311312,zebra_raw,0.005,0.005037783375314908,0.25,0.9949622166246851,0.5
FILD or FILA ADJUDICATED,1,220311312,zebra_raw,0.01,0.009942993503910924,0.25,0.9900570064960891,0.336283185840708
FILD or FILA ADJUDICATED,1,220311312,zebra_raw,0.05,0.04998011401299218,0.40131578947368424,0.9500198859870078,0.13926940639269406
FILD or FILA ADJUDICATED,1,220311312,zebra_logistic,0.005,0.005037783375314908,0.25,0.9949622166246851,0.5
FILD or FILA ADJUDICATED,1,220311312,zebra_logistic,0.01,0.009942993503910924,0.25,0.9900570064960891,0.336283185840708
FILD or FILA ADJUDICATED,1,220311312,zebra_logistic,0.05,0.04998011401299218,0.40131578947368424,0.9500198859870078,0.13926940639269406
FILD or FILA ADJUDICATED,1,220311312,zebra_plus_genomics_elasticnet,0.005,0.005037783375314908,0.25,0.9949622166246851,0.5
FILD or FILA ADJUDICATED,1,220311312,zebra_plus_genomics_elasticnet,0.01,0.009942993503910924,0.25,0.9900570064960891,0.336283185840708
FILD or FILA ADJUDICATED,1,220311312,zebra_plus_genomics_elasticnet,0.05,0.04998011401299218,0.40131578947368424,0.9500198859870078,0.13926940639269406
FILD or FILA ADJUDICATED,1,220311312,zebra_plus_MUC5B_ridge,0.005,0.005037783375314908,0.10526315789473684,0.9949622166246851,0.2962962962962963
FILD or FILA ADJUDICATED,1,220311312,zebra_plus_MUC5B_ridge,0.01,0.009942993503910924,0.13157894736842105,0.9900570064960891,0.21052631578947367
FILD or FILA ADJUDICATED,1,220311312,zebra_plus_MUC5B_ridge,0.05,0.04998011401299218,0.25,0.9500198859870078,0.09156626506024096
FILD or FILA ADJUDICATED,1,220311312,zebra_plus_MUC5B_DOCK2_ridge,0.005,0.005037783375314908,0.039473684210526314,0.9949622166246851,0.13636363636363635
FILD or FILA ADJUDICATED,1,220311312,zebra_plus_MUC5B_DOCK2_ridge,0.01,0.009942993503910924,0.1118421052631579,0.9900570064960891,0.18478260869565216
FILD or FILA ADJUDICATED,1,220311312,zebra_plus_MUC5B_DOCK2_ridge,0.05,0.04998011401299218,0.27631578947368424,0.9500198859870078,0.10023866348448687
FILD or FILA ADJUDICATED,2,312891561,zebra_raw,0.005,0.005037783375314908,0.2894736842105263,0.9949622166246851,0.5365853658536586
FILD or FILA ADJUDICATED,2,312891561,zebra_raw,0.01,0.009942993503910924,0.2894736842105263,0.9900570064960891,0.3697478991596639
FILD or FILA ADJUDICATED,2,312891561,zebra_raw,0.05,0.04998011401299218,0.4144736842105263,0.9500198859870078,0.1431818181818182
FILD or FILA ADJUDICATED,2,312891561,zebra_logistic,0.005,0.005037783375314908,0.2894736842105263,0.9949622166246851,0.5365853658536586
FILD or FILA ADJUDICATED,2,312891561,zebra_logistic,0.01,0.009942993503910924,0.2894736842105263,0.9900570064960891,0.3697478991596639
FILD or FILA ADJUDICATED,2,312891561,zebra_logistic,0.05,0.04998011401299218,0.4144736842105263,0.9500198859870078,0.1431818181818182
FILD or FILA ADJUDICATED,2,312891561,zebra_plus_genomics_elasticnet,0.005,0.005037783375314908,0.125,0.9949622166246851,0.3333333333333333
FILD or FILA ADJUDICATED,2,312891561,zebra_plus_genomics_elasticnet,0.01,0.009942993503910924,0.13815789473684212,0.9900570064960891,0.21875
FILD or FILA ADJUDICATED,2,312891561,zebra_plus_genomics_elasticnet,0.05,0.04998011401299218,0.4868421052631579,0.9500198859870078,0.164079822616408
FILD or FILA ADJUDICATED,2,312891561,zebra_plus_MUC5B_ridge,0.005,0.005037783375314908,0.1118421052631579,0.9949622166246851,0.3090909090909091
FILD or FILA ADJUDICATED,2,312891561,zebra_plus_MUC5B_ridge,0.01,0.009942993503910924,0.13815789473684212,0.9900570064960891,0.21875
FILD or FILA ADJUDICATED,2,312891561,zebra_plus_MUC5B_ridge,0.05,0.04998011401299218,0.2631578947368421,0.9500198859870078,0.09592326139088729
FILD or FILA ADJUDICATED,2,312891561,zebra_plus_MUC5B_DOCK2_ridge,0.005,0.005037783375314908,0.10526315789473684,0.9949622166246851,0.2962962962962963
