target_name,repeat,split_seed,model,n_test,n_positive_test,auc,average_precision,brier,log_loss
FILD or FILA ADJUDICATED,1,104612344,zebra_raw,7695,152,0.8078616807496668,0.22977229872884491,0.4059755117127712,1.6130562902124317
FILD or FILA ADJUDICATED,1,104612344,zebra_logistic,7695,152,0.8078616807496668,0.22977229872884491,0.01879432584075785,0.08660550199293288
FILD or FILA ADJUDICATED,1,104612344,zebra_plus_genomics_elasticnet,7695,152,0.808454771590251,0.1678236815713824,0.01909066727133476,0.09084794619322124
FILD or FILA ADJUDICATED,1,104612344,zebra_plus_MUC5B_ridge,7695,152,0.8106740651841721,0.13587340620746247,0.018612932600606064,0.08454985253632334
FILD or FILA ADJUDICATED,1,104612344,zebra_plus_MUC5B_DOCK2_ridge,7695,152,0.8033206109533412,0.10469443549532788,0.018747408168342517,0.0869026729113849
FILD or FILA ADJUDICATED,2,115698656,zebra_raw,7695,152,0.8014881346944186,0.26426495869902883,0.40356979620825756,1.5947210484932368
FILD or FILA ADJUDICATED,2,115698656,zebra_logistic,7695,152,0.8014881346944186,0.26426495869902883,0.01876539182643598,0.08760728950194205
FILD or FILA ADJUDICATED,2,115698656,zebra_plus_genomics_elasticnet,7695,152,0.8014881346944186,0.26426495869902883,0.01908664494234102,0.09081539592840486
FILD or FILA ADJUDICATED,2,115698656,zebra_plus_MUC5B_ridge,7695,152,0.7971481052492028,0.20208826166280755,0.018735987274574106,0.08752403789605678
FILD or FILA ADJUDICATED,2,115698656,zebra_plus_MUC5B_DOCK2_ridge,7695,152,0.792378957136976,0.1395620410994315,0.018529073924584676,0.08547047806678786
FILD or FILA ADJUDICATED,3,1939270016,zebra_raw,7695,152,0.8122470642003391,0.2346133125538042,0.4064260150054941,1.622010752512882
FILD or FILA ADJUDICATED,3,1939270016,zebra_logistic,7695,152,0.8122470642003391,0.2346133125538042,0.018767256891186974,0.08588113933396843
FILD or FILA ADJUDICATED,3,1939270016,zebra_plus_genomics_elasticnet,7695,152,0.8122470642003391,0.2346133125538042,0.019100704569427973,0.09103970699437906
FILD or FILA ADJUDICATED,3,1939270016,zebra_plus_MUC5B_ridge,7695,152,0.8219427911552712,0.14420615890061556,0.018742762086053903,0.0870222477340615
FILD or FILA ADJUDICATED,3,1939270016,zebra_plus_MUC5B_DOCK2_ridge,7695,152,0.8178033659649587,0.10912485654447618,0.01859633504740378,0.08365328196385724
FILD or FILA ADJUDICATED,4,105809480,zebra_raw,7695,152,0.8238406818451405,0.24180090445238248,0.4017077832368442,1.600149598763355
FILD or FILA ADJUDICATED,4,105809480,zebra_logistic,7695,152,0.8238406818451405,0.24180090445238248,0.01872896010694902,0.0849239183455612
FILD or FILA ADJUDICATED,4,105809480,zebra_plus_genomics_elasticnet,7695,152,0.8238406818451405,0.24180090445238248,0.01911988921407126,0.09141140964025413
FILD or FILA ADJUDICATED,4,105809480,zebra_plus_MUC5B_ridge,7695,152,0.8283922179504175,0.1563315969551608,0.018486345536785995,0.08283979820010885
FILD or FILA ADJUDICATED,4,105809480,zebra_plus_MUC5B_DOCK2_ridge,7695,152,0.8264934550681355,0.12400460925952124,0.01860908108644041,0.08575688396185377
