target_name,repeat,split_seed,model,inner_cv_auc,params_json
FILD or FILA ADJUDICATED,13,1060724202,zebra_plus_genomics_elasticnet,0.7893853245355421,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,14,1218734559,zebra_plus_MUC5B_ridge,0.8567404885581918,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,14,1218734559,zebra_plus_MUC5B_DOCK2_ridge,0.8400866910009827,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,14,1218734559,zebra_plus_genomics_elasticnet,0.852777387804764,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,15,127302422,zebra_plus_MUC5B_ridge,0.8087708830548926,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,15,127302422,zebra_plus_MUC5B_DOCK2_ridge,0.8083584865927277,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,15,127302422,zebra_plus_genomics_elasticnet,0.8037987271280828,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,16,1602005833,zebra_plus_MUC5B_ridge,0.8258078290982264,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,16,1602005833,zebra_plus_MUC5B_DOCK2_ridge,0.8105228368196921,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,16,1602005833,zebra_plus_genomics_elasticnet,0.8274369413636576,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,17,538762765,zebra_plus_MUC5B_ridge,0.7838925546352193,"{""lr__C"": 0.01}"
FILD or FILA ADJUDICATED,17,538762765,zebra_plus_MUC5B_DOCK2_ridge,0.7749572979549814,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,17,538762765,zebra_plus_genomics_elasticnet,0.7984463475127521,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,18,627048370,zebra_plus_MUC5B_ridge,0.8158635172446066,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,18,627048370,zebra_plus_MUC5B_DOCK2_ridge,0.8021930132434836,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,18,627048370,zebra_plus_genomics_elasticnet,0.8172849688801535,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,19,564342544,zebra_plus_MUC5B_ridge,0.8270625672703448,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,19,564342544,zebra_plus_MUC5B_DOCK2_ridge,0.8288408442135804,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,19,564342544,zebra_plus_genomics_elasticnet,0.834196148626515,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,20,410982443,zebra_plus_MUC5B_ridge,0.8391624549581168,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,20,410982443,zebra_plus_MUC5B_DOCK2_ridge,0.8355737282980017,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,20,410982443,zebra_plus_genomics_elasticnet,0.8381329262015069,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,21,453389832,zebra_plus_MUC5B_ridge,0.8309408488932566,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,21,453389832,zebra_plus_MUC5B_DOCK2_ridge,0.7980193270625673,"{""lr__C"": 0.01}"
FILD or FILA ADJUDICATED,21,453389832,zebra_plus_genomics_elasticnet,0.8200693761991671,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,22,1695134060,zebra_plus_MUC5B_ridge,0.8153048809022416,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,22,1695134060,zebra_plus_MUC5B_DOCK2_ridge,0.805354719453414,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,22,1695134060,zebra_plus_genomics_elasticnet,0.8095722775983901,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,23,1065616821,zebra_plus_MUC5B_ridge,0.8312421030464692,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,23,1065616821,zebra_plus_MUC5B_DOCK2_ridge,0.8305693995975479,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,23,1065616821,zebra_plus_genomics_elasticnet,0.8393759651832093,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,24,180253472,zebra_plus_MUC5B_ridge,0.8098472085731668,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,24,180253472,zebra_plus_MUC5B_DOCK2_ridge,0.8099875988581591,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,24,180253472,zebra_plus_genomics_elasticnet,0.7992916140203098,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,25,96208832,zebra_plus_MUC5B_ridge,0.8205168702325798,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,25,96208832,zebra_plus_MUC5B_DOCK2_ridge,0.810496513641256,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,25,96208832,zebra_plus_genomics_elasticnet,0.8250678553044128,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,26,2064594720,zebra_plus_MUC5B_ridge,0.8049686461696851,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,26,2064594720,zebra_plus_MUC5B_DOCK2_ridge,0.8099788244653471,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,26,2064594720,zebra_plus_genomics_elasticnet,0.7960918854415274,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,27,1808685797,zebra_plus_MUC5B_ridge,0.8021052693153634,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,27,1808685797,zebra_plus_MUC5B_DOCK2_ridge,0.7968581824137769,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,27,1808685797,zebra_plus_genomics_elasticnet,0.7877942346389629,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,28,848084864,zebra_plus_MUC5B_ridge,0.801458889044878,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,28,848084864,zebra_plus_MUC5B_DOCK2_ridge,0.802362651504516,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,28,848084864,zebra_plus_genomics_elasticnet,0.8091335579577893,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,29,875899717,zebra_plus_MUC5B_ridge,0.8259482193832186,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,29,875899717,zebra_plus_MUC5B_DOCK2_ridge,0.8194668678927416,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,29,875899717,zebra_plus_genomics_elasticnet,0.8283845757873555,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,30,1862476655,zebra_plus_MUC5B_ridge,0.8231696616594132,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,30,1862476655,zebra_plus_MUC5B_DOCK2_ridge,0.815509616734522,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,30,1862476655,zebra_plus_genomics_elasticnet,0.8261646544059151,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
