target_name,repeat,split_seed,model,requested_fpr,actual_fpr,sensitivity,specificity,ppv
FILD or FILA ADJUDICATED,1,104612344,zebra_raw,0.005,0.005037783375314908,0.28289473684210525,0.9949622166246851,0.5308641975308642
FILD or FILA ADJUDICATED,1,104612344,zebra_raw,0.01,0.009942993503910924,0.2894736842105263,0.9900570064960891,0.3697478991596639
FILD or FILA ADJUDICATED,1,104612344,zebra_raw,0.05,0.04998011401299218,0.45394736842105265,0.9500198859870078,0.1547085201793722
FILD or FILA ADJUDICATED,1,104612344,zebra_logistic,0.005,0.005037783375314908,0.28289473684210525,0.9949622166246851,0.5308641975308642
FILD or FILA ADJUDICATED,1,104612344,zebra_logistic,0.01,0.009942993503910924,0.2894736842105263,0.9900570064960891,0.3697478991596639
FILD or FILA ADJUDICATED,1,104612344,zebra_logistic,0.05,0.04998011401299218,0.45394736842105265,0.9500198859870078,0.1547085201793722
FILD or FILA ADJUDICATED,1,104612344,zebra_plus_genomics_elasticnet,0.005,0.005037783375314908,0.13815789473684212,0.9949622166246851,0.3559322033898305
FILD or FILA ADJUDICATED,1,104612344,zebra_plus_genomics_elasticnet,0.01,0.009942993503910924,0.17105263157894737,0.9900570064960891,0.25742574257425743
FILD or FILA ADJUDICATED,1,104612344,zebra_plus_genomics_elasticnet,0.05,0.04998011401299218,0.47368421052631576,0.9500198859870078,0.1603563474387528
FILD or FILA ADJUDICATED,1,104612344,zebra_plus_MUC5B_ridge,0.005,0.005037783375314908,0.13157894736842105,0.9949622166246851,0.3448275862068966
FILD or FILA ADJUDICATED,1,104612344,zebra_plus_MUC5B_ridge,0.01,0.009942993503910924,0.17763157894736842,0.9900570064960891,0.2647058823529412
FILD or FILA ADJUDICATED,1,104612344,zebra_plus_MUC5B_ridge,0.05,0.04998011401299218,0.27631578947368424,0.9500198859870078,0.10023866348448687
FILD or FILA ADJUDICATED,1,104612344,zebra_plus_MUC5B_DOCK2_ridge,0.005,0.005037783375314908,0.05263157894736842,0.9949622166246851,0.17391304347826086
FILD or FILA ADJUDICATED,1,104612344,zebra_plus_MUC5B_DOCK2_ridge,0.01,0.009942993503910924,0.16447368421052633,0.9900570064960891,0.25
FILD or FILA ADJUDICATED,1,104612344,zebra_plus_MUC5B_DOCK2_ridge,0.05,0.04998011401299218,0.28289473684210525,0.9500198859870078,0.10238095238095238
FILD or FILA ADJUDICATED,2,115698656,zebra_raw,0.005,0.005037783375314908,0.3223684210526316,0.9949622166246851,0.5632183908045977
FILD or FILA ADJUDICATED,2,115698656,zebra_raw,0.01,0.009942993503910924,0.3223684210526316,0.9900570064960891,0.3951612903225806
FILD or FILA ADJUDICATED,2,115698656,zebra_raw,0.05,0.04998011401299218,0.4473684210526316,0.9500198859870078,0.15280898876404495
FILD or FILA ADJUDICATED,2,115698656,zebra_logistic,0.005,0.005037783375314908,0.3223684210526316,0.9949622166246851,0.5632183908045977
FILD or FILA ADJUDICATED,2,115698656,zebra_logistic,0.01,0.009942993503910924,0.3223684210526316,0.9900570064960891,0.3951612903225806
FILD or FILA ADJUDICATED,2,115698656,zebra_logistic,0.05,0.04998011401299218,0.4473684210526316,0.9500198859870078,0.15280898876404495
FILD or FILA ADJUDICATED,2,115698656,zebra_plus_genomics_elasticnet,0.005,0.005037783375314908,0.3223684210526316,0.9949622166246851,0.5632183908045977
FILD or FILA ADJUDICATED,2,115698656,zebra_plus_genomics_elasticnet,0.01,0.009942993503910924,0.3223684210526316,0.9900570064960891,0.3951612903225806
FILD or FILA ADJUDICATED,2,115698656,zebra_plus_genomics_elasticnet,0.05,0.04998011401299218,0.4473684210526316,0.9500198859870078,0.15280898876404495
FILD or FILA ADJUDICATED,2,115698656,zebra_plus_MUC5B_ridge,0.005,0.005037783375314908,0.1513157894736842,0.9949622166246851,0.3770491803278688
FILD or FILA ADJUDICATED,2,115698656,zebra_plus_MUC5B_ridge,0.01,0.009942993503910924,0.17105263157894737,0.9900570064960891,0.25742574257425743
FILD or FILA ADJUDICATED,2,115698656,zebra_plus_MUC5B_ridge,0.05,0.04998011401299218,0.28289473684210525,0.9500198859870078,0.10238095238095238
FILD or FILA ADJUDICATED,2,115698656,zebra_plus_MUC5B_DOCK2_ridge,0.005,0.005037783375314908,0.11842105263157894,0.9949622166246851,0.32142857142857145
FILD or FILA ADJUDICATED,2,115698656,zebra_plus_MUC5B_DOCK2_ridge,0.01,0.009942993503910924,0.15789473684210525,0.9900570064960891,0.24242424242424243
FILD or FILA ADJUDICATED,2,115698656,zebra_plus_MUC5B_DOCK2_ridge,0.05,0.04998011401299218,0.29605263157894735,0.9500198859870078,0.1066350710900474
FILD or FILA ADJUDICATED,3,1939270016,zebra_raw,0.005,0.005037783375314908,0.3026315789473684,0.9949622166246851,0.5476190476190477
FILD or FILA ADJUDICATED,3,1939270016,zebra_raw,0.01,0.009942993503910924,0.3092105263157895,0.9900570064960891,0.38524590163934425
FILD or FILA ADJUDICATED,3,1939270016,zebra_raw,0.05,0.04998011401299218,0.4342105263157895,0.9500198859870078,0.1489841986455982
FILD or FILA ADJUDICATED,3,1939270016,zebra_logistic,0.005,0.005037783375314908,0.3026315789473684,0.9949622166246851,0.5476190476190477
FILD or FILA ADJUDICATED,3,1939270016,zebra_logistic,0.01,0.009942993503910924,0.3092105263157895,0.9900570064960891,0.38524590163934425
FILD or FILA ADJUDICATED,3,1939270016,zebra_logistic,0.05,0.04998011401299218,0.4342105263157895,0.9500198859870078,0.1489841986455982
FILD or FILA ADJUDICATED,3,1939270016,zebra_plus_genomics_elasticnet,0.005,0.005037783375314908,0.3026315789473684,0.9949622166246851,0.5476190476190477
FILD or FILA ADJUDICATED,3,1939270016,zebra_plus_genomics_elasticnet,0.01,0.009942993503910924,0.3092105263157895,0.9900570064960891,0.38524590163934425
FILD or FILA ADJUDICATED,3,1939270016,zebra_plus_genomics_elasticnet,0.05,0.04998011401299218,0.4342105263157895,0.9500198859870078,0.1489841986455982
FILD or FILA ADJUDICATED,3,1939270016,zebra_plus_MUC5B_ridge,0.005,0.004905210128596016,0.03289473684210526,0.995094789871404,0.11904761904761904
FILD or FILA ADJUDICATED,3,1939270016,zebra_plus_MUC5B_ridge,0.01,0.009942993503910924,0.16447368421052633,0.9900570064960891,0.25
FILD or FILA ADJUDICATED,3,1939270016,zebra_plus_MUC5B_ridge,0.05,0.04944982102611695,0.3223684210526316,0.950550178973883,0.11611374407582939
FILD or FILA ADJUDICATED,3,1939270016,zebra_plus_MUC5B_DOCK2_ridge,0.005,0.005037783375314908,0.05263157894736842,0.9949622166246851,0.17391304347826086
FILD or FILA ADJUDICATED,3,1939270016,zebra_plus_MUC5B_DOCK2_ridge,0.01,0.009942993503910924,0.13815789473684212,0.9900570064960891,0.21875
FILD or FILA ADJUDICATED,3,1939270016,zebra_plus_MUC5B_DOCK2_ridge,0.05,0.04891952803924171,0.3355263157894737,0.9510804719607583,0.12142857142857143
FILD or FILA ADJUDICATED,4,105809480,zebra_raw,0.005,0.005037783375314908,0.2894736842105263,0.9949622166246851,0.5365853658536586
FILD or FILA ADJUDICATED,4,105809480,zebra_raw,0.01,0.009942993503910924,0.2894736842105263,0.9900570064960891,0.3697478991596639
FILD or FILA ADJUDICATED,4,105809480,zebra_raw,0.05,0.04998011401299218,0.45394736842105265,0.9500198859870078,0.1547085201793722
FILD or FILA ADJUDICATED,4,105809480,zebra_logistic,0.005,0.005037783375314908,0.2894736842105263,0.9949622166246851,0.5365853658536586
FILD or FILA ADJUDICATED,4,105809480,zebra_logistic,0.01,0.009942993503910924,0.2894736842105263,0.9900570064960891,0.3697478991596639
FILD or FILA ADJUDICATED,4,105809480,zebra_logistic,0.05,0.04998011401299218,0.45394736842105265,0.9500198859870078,0.1547085201793722
FILD or FILA ADJUDICATED,4,105809480,zebra_plus_genomics_elasticnet,0.005,0.005037783375314908,0.2894736842105263,0.9949622166246851,0.5365853658536586
FILD or FILA ADJUDICATED,4,105809480,zebra_plus_genomics_elasticnet,0.01,0.009942993503910924,0.2894736842105263,0.9900570064960891,0.3697478991596639
FILD or FILA ADJUDICATED,4,105809480,zebra_plus_genomics_elasticnet,0.05,0.04998011401299218,0.45394736842105265,0.9500198859870078,0.1547085201793722
FILD or FILA ADJUDICATED,4,105809480,zebra_plus_MUC5B_ridge,0.005,0.005037783375314908,0.125,0.9949622166246851,0.3333333333333333
