target_fpr,n_repeats,auc_zebra_raw_mean,auc_zebra_raw_median,auc_zebra_raw_q025,auc_zebra_raw_q975,auc_zebra_raw_fraction_gt_zero,auc_zebra_calibrated_mean,auc_zebra_calibrated_median,auc_zebra_calibrated_q025,auc_zebra_calibrated_q975,auc_zebra_calibrated_fraction_gt_zero,auc_hybrid_mean,auc_hybrid_median,auc_hybrid_q025,auc_hybrid_q975,auc_hybrid_fraction_gt_zero,delta_auc_hybrid_vs_raw_mean,delta_auc_hybrid_vs_raw_median,delta_auc_hybrid_vs_raw_q025,delta_auc_hybrid_vs_raw_q975,delta_auc_hybrid_vs_raw_fraction_gt_zero,hybrid_sensitivity_mean,hybrid_sensitivity_median,hybrid_sensitivity_q025,hybrid_sensitivity_q975,hybrid_sensitivity_fraction_gt_zero,hybrid_FPR_mean,hybrid_FPR_median,hybrid_FPR_q025,hybrid_FPR_q975,hybrid_FPR_fraction_gt_zero,hybrid_PPV_mean,hybrid_PPV_median,hybrid_PPV_q025,hybrid_PPV_q975,hybrid_PPV_fraction_gt_zero,hybrid_LR_positive_mean,hybrid_LR_positive_median,hybrid_LR_positive_q025,hybrid_LR_positive_q975,hybrid_LR_positive_fraction_gt_zero,hybrid_LR_negative_mean,hybrid_LR_negative_median,hybrid_LR_negative_q025,hybrid_LR_negative_q975,hybrid_LR_negative_fraction_gt_zero,hybrid_DOR_mean,hybrid_DOR_median,hybrid_DOR_q025,hybrid_DOR_q975,hybrid_DOR_fraction_gt_zero,raw_zebra_sensitivity_mean,raw_zebra_sensitivity_median,raw_zebra_sensitivity_q025,raw_zebra_sensitivity_q975,raw_zebra_sensitivity_fraction_gt_zero,raw_zebra_FPR_mean,raw_zebra_FPR_median,raw_zebra_FPR_q025,raw_zebra_FPR_q975,raw_zebra_FPR_fraction_gt_zero,raw_zebra_PPV_mean,raw_zebra_PPV_median,raw_zebra_PPV_q025,raw_zebra_PPV_q975,raw_zebra_PPV_fraction_gt_zero,raw_zebra_LR_positive_mean,raw_zebra_LR_positive_median,raw_zebra_LR_positive_q025,raw_zebra_LR_positive_q975,raw_zebra_LR_positive_fraction_gt_zero,raw_zebra_LR_negative_mean,raw_zebra_LR_negative_median,raw_zebra_LR_negative_q025,raw_zebra_LR_negative_q975,raw_zebra_LR_negative_fraction_gt_zero,raw_zebra_DOR_mean,raw_zebra_DOR_median,raw_zebra_DOR_q025,raw_zebra_DOR_q975,raw_zebra_DOR_fraction_gt_zero,cal_zebra_sensitivity_mean,cal_zebra_sensitivity_median,cal_zebra_sensitivity_q025,cal_zebra_sensitivity_q975,cal_zebra_sensitivity_fraction_gt_zero,cal_zebra_FPR_mean,cal_zebra_FPR_median,cal_zebra_FPR_q025,cal_zebra_FPR_q975,cal_zebra_FPR_fraction_gt_zero,cal_zebra_PPV_mean,cal_zebra_PPV_median,cal_zebra_PPV_q025,cal_zebra_PPV_q975,cal_zebra_PPV_fraction_gt_zero,cal_zebra_LR_positive_mean,cal_zebra_LR_positive_median,cal_zebra_LR_positive_q025,cal_zebra_LR_positive_q975,cal_zebra_LR_positive_fraction_gt_zero,cal_zebra_LR_negative_mean,cal_zebra_LR_negative_median,cal_zebra_LR_negative_q025,cal_zebra_LR_negative_q975,cal_zebra_LR_negative_fraction_gt_zero,delta_sensitivity_hybrid_vs_raw_mean,delta_sensitivity_hybrid_vs_raw_median,delta_sensitivity_hybrid_vs_raw_q025,delta_sensitivity_hybrid_vs_raw_q975,delta_sensitivity_hybrid_vs_raw_fraction_gt_zero,delta_FPR_hybrid_vs_raw_mean,delta_FPR_hybrid_vs_raw_median,delta_FPR_hybrid_vs_raw_q025,delta_FPR_hybrid_vs_raw_q975,delta_FPR_hybrid_vs_raw_fraction_gt_zero,delta_PPV_hybrid_vs_raw_mean,delta_PPV_hybrid_vs_raw_median,delta_PPV_hybrid_vs_raw_q025,delta_PPV_hybrid_vs_raw_q975,delta_PPV_hybrid_vs_raw_fraction_gt_zero,delta_LRplus_hybrid_vs_raw_mean,delta_LRplus_hybrid_vs_raw_median,delta_LRplus_hybrid_vs_raw_q025,delta_LRplus_hybrid_vs_raw_q975,delta_LRplus_hybrid_vs_raw_fraction_gt_zero,delta_LRminus_hybrid_vs_raw_mean,delta_LRminus_hybrid_vs_raw_median,delta_LRminus_hybrid_vs_raw_q025,delta_LRminus_hybrid_vs_raw_q975,delta_LRminus_hybrid_vs_raw_fraction_gt_zero
0.005,100,0.8160325357914873,0.8178697704035511,0.7929402928406444,0.8348778154955775,1.0,0.8099694538738942,0.8120738557439682,0.7871797882276368,0.8303364659979768,1.0,0.8135140348138526,0.8144678923922639,0.787376042788389,0.8360585509309358,1.0,-0.002518500977634787,-0.00014353636563269045,-0.026850803318578413,0.00982757776760614,0.48,0.3503973509933774,0.3576158940397351,0.26804635761589407,0.40745033112582774,1.0,0.020380876281795177,0.023438540418164868,0.0032594220269010522,0.03476494872819283,1.0,0.31049662666555333,0.24102160537988268,0.17654127481713688,0.6364717978848413,1.0,28.324547414635866,15.791817589640846,10.66165548817241,87.06719573215598,1.0,0.6628726268918641,0.6576847776209123,0.6098732096963604,0.73830628888813,1.0,41.521762567194145,24.592961824112912,16.336077508789035,124.7291911502849,1.0,0.3462251655629139,0.3509933774834437,0.26804635761589407,0.40430463576158926,1.0,0.020158476494872818,0.022706086030097217,0.0032594220269010522,0.034631775203089625,1.0,0.3107459582407459,0.2391332304526749,0.1771001081600769,0.6364717978848413,1.0,28.35823023002913,15.629212874309491,10.702668139708559,87.06719573215598,1.0,0.6669830408039874,0.6626857613442985,0.6122997688502574,0.73830628888813,1.0,41.41227022104553,24.36233433469929,16.368384231797794,124.7291911502849,1.0,0.34768211920529796,0.3509933774834437,0.26142384105960265,0.45695364238410596,1.0,0.021432947130110538,0.023238780130510055,0.0032594220269010522,0.0424190970834998,1.0,0.317824633849882,0.23504273504273504,0.16802864020235814,0.6364717978848413,1.0,30.147137820728002,15.279699581930517,10.044067439553917,87.06719573215598,1.0,0.6661281786392624,0.6649271521047564,0.5666590811050768,0.7417951134613201,1.0,0.004172185430463575,0.0,-0.026490066225165587,0.03658940397350987,0.33,0.00022239978692235984,0.0001331735251032043,-0.005143827407111466,0.004261552803302704,0.51,-0.0002493315751926192,0.0,-0.028064117751060807,0.034809937601978626,0.25,-0.03368281539326011,0.0,-2.438305122520649,3.086768813248548,0.25,-0.004110413912123354,0.0,-0.036004386458057286,0.028119035999698273,0.33
0.01,100,0.8160325357914873,0.8178697704035511,0.7929402928406444,0.8348778154955775,1.0,0.8099694538738942,0.8120738557439682,0.7871797882276368,0.8303364659979768,1.0,0.8135140348138526,0.8144678923922639,0.787376042788389,0.8360585509309358,1.0,-0.002518500977634787,-0.00014353636563269045,-0.026850803318578413,0.00982757776760614,0.48,0.36337748344370857,0.3708609271523179,0.28791390728476823,0.4105960264900662,1.0,0.02413237448395259,0.023704887468371287,0.012947795978159541,0.036849114396058036,1.0,0.2369411234602586,0.23902748902748905,0.16859910309224593,0.3010858585858583,1.0,15.549387208136881,15.620117594689306,10.085404235911533,21.471405658297066,1.0,0.6523067079636404,0.6470720448975152,0.6037067787462307,0.7251058153875252,1.0,23.87509274234938,24.145687711330503,15.59424172129953,32.26252170304398,1.0,0.35900662251655624,0.3576158940397351,0.28791390728476823,0.41407284768211916,1.0,0.023868690904248237,0.023371953655613266,0.012807963776801172,0.03657610866959646,1.0,0.2376523873553201,0.2369573079046042,0.16877935853996612,0.30748684210526284,1.0,15.628448180951843,15.442813519546059,10.098276885801969,22.12158450704223,1.0,0.6565868167508525,0.6578917419061141,0.6031539184394223,0.723222222754293,1.0,23.820823585994688,23.325429935197768,15.628600976963874,32.599692616571595,1.0,0.36013245033112573,0.3576158940397351,0.27781456953642386,0.45695364238410596,1.0,0.02539485950193102,0.0238380609934745,0.0043880676521507525,0.0424190970834998,1.0,0.24697799913126509,0.22856203080256945,0.16511245602278438,0.5852326685660019,1.0,17.969298977352143,14.733585059871356,9.834611592706874,70.18205529314373,1.0,0.6561756267992463,0.6579099763504382,0.5666590811050768,0.7321481297851417,1.0,0.004370860927152315,0.0,-0.033112582781456956,0.039735099337748325,0.38,0.0002636835797043547,0.000266347050206419,-0.005739778931948328,0.004611133306698622,0.62,-0.0007112638950614666,-0.0008753044129877902,-0.028665811535881956,0.03885001300924899,0.3,-0.07906097281496653,-0.0708035165677412,-2.5126028092502803,3.524882576814267,0.3,-0.004280108787212136,0.0,-0.039058761771804756,0.03308186396366332,0.44
0.02,100,0.8160325357914873,0.8178697704035511,0.7929402928406444,0.8348778154955775,1.0,0.8099694538738942,0.8120738557439682,0.7871797882276368,0.8303364659979768,1.0,0.8135140348138526,0.8144678923922639,0.787376042788389,0.8360585509309358,1.0,-0.002518500977634787,-0.00014353636563269045,-0.026850803318578413,0.00982757776760614,0.48,0.3723178807947019,0.3708609271523179,0.31788079470198677,0.4503311258278146,1.0,0.02660007990411506,0.023904647756026104,0.01955653216140631,0.0432947130110534,1.0,0.2258389844600979,0.23529411764705882,0.1620774627042387,0.2749679897567221,1.0,14.61899473380386,15.301069791136015,9.618889511294924,18.860089930764598,1.0,0.6447209173213697,0.6449825161023088,0.5743598636051361,0.698424605886568,1.0,22.713496224715687,23.35452865784637,15.097119415495948,29.92810042011505,1.0,0.36841059602648996,0.36423841059602646,0.31440397350993377,0.4339403973509933,1.0,0.02629511253162871,0.02417099480623252,0.01870755093887335,0.04209615128512451,1.0,0.22650177507917924,0.2316003523436475,0.1638960678228105,0.2838219120135364,1.0,14.686884041752235,14.988469770684013,9.748116691817492,19.707461800105516,1.0,0.6485376411839694,0.651287784636474,0.5846433333708084,0.7015819396604142,1.0,22.669052033711317,22.53584592195756,14.651433748569893,30.909814182948296,1.0,0.3668211920529801,0.36423841059602646,0.28791390728476823,0.45695364238410596,1.0,0.02736982287921162,0.024237581568784125,0.0043880676521507525,0.043820748435211075,1.0,0.23788339099989547,0.22024820114803137,0.15927337398373984,0.5852326685660019,1.0,17.20135916881181,14.046368843483442,9.421329581025647,70.18205529314373,1.0,0.650608693276737,0.6576399437877021,0.5663030069842167,0.7209331857079537,1.0,0.003907284768211919,0.0,-0.033112582781456956,0.039735099337748325,0.38,0.0003049673724863497,0.000266347050206419,-0.005739778931948328,0.005067252630177121,0.62,-0.0006627906190813288,-0.0010127831320275171,-0.028665811535881956,0.03885001300924899,0.31,-0.06788930794837658,-0.08485278775935257,-2.5126028092502803,3.524882576814267,0.31,-0.003816723862599706,0.0,-0.03893269509431881,0.03308186396366332,0.47
0.05,100,0.8160325357914873,0.8178697704035511,0.7929402928406444,0.8348778154955775,1.0,0.8099694538738942,0.8120738557439682,0.7871797882276368,0.8303364659979768,1.0,0.8135140348138526,0.8144678923922639,0.787376042788389,0.8360585509309358,1.0,-0.002518500977634787,-0.00014353636563269045,-0.026850803318578413,0.00982757776760614,0.48,0.4968874172185431,0.4966887417218543,0.4336092715231788,0.5635761589403971,1.0,0.05909841523505127,0.05926221867092822,0.04940071913703556,0.07832267945132504,1.0,0.1452886597828211,0.1464458981967927,0.12554141337386018,0.16371741449016544,1.0,8.461012058586707,8.532012203222006,7.1392795853728765,9.735257224230441,1.0,0.5345972994724685,0.5354300447262723,0.46909726951868785,0.5981840799032895,1.0,15.898136641575759,15.773276718508225,12.665473832478131,19.026096400838497,1.0,0.45754966887417226,0.45695364238410596,0.4105960264900662,0.5231788079470199,1.0,0.05857637501664669,0.05766413636968971,0.047865894260221066,0.07492675456119319,1.0,0.13673299468833874,0.13656325069824649,0.11358396840310402,0.16100319069069066,1.0,7.887504517307405,7.865177471823529,6.372674256338226,9.54300208686072,1.0,0.576129784119617,0.5762361505963589,0.5155194858727136,0.6260150618647364,1.0,13.738248478607172,13.743320860221859,10.651696234578102,17.335983531510006,1.0,0.42596026490066224,0.42715231788079466,0.334271523178808,0.5273178807947018,1.0,0.04567052869889466,0.042748701558130243,0.021597416433612997,0.10098215474763614,1.0,0.16616652214525696,0.16356363224797865,0.09983004385964912,0.26445278969957076,1.0,10.004734154861934,9.724314547038187,5.516114722213533,17.883839464065172,1.0,0.6010344748507609,0.5995142984049189,0.5223459024343847,0.6831304887831222,1.0,0.03933774834437085,0.03973509933774835,-0.01705298013245033,0.07947019867549665,0.95,0.000522040218404581,0.000266347050206419,-0.005593288054334802,0.006532161406312422,0.54,0.00855566509448235,0.009448463051874398,-0.012142901461159135,0.02411513200939867,0.83,0.5735075412793047,0.650010333219841,-0.8433796527605937,1.6271115923851938,0.83,-0.04153248464714838,-0.04286265894045488,-0.08261762984974039,0.017506951371384798,0.04
0.1,100,0.8160325357914873,0.8178697704035511,0.7929402928406444,0.8348778154955775,1.0,0.8099694538738942,0.8120738557439682,0.7871797882276368,0.8303364659979768,1.0,0.8135140348138526,0.8144678923922639,0.787376042788389,0.8360585509309358,1.0,-0.002518500977634787,-0.00014353636563269045,-0.026850803318578413,0.00982757776760614,0.48,0.6197350993377483,0.6158940397350994,0.5458609271523178,0.6758278145695363,1.0,0.14336263150885603,0.1546810494073778,0.10307630842988413,0.1880043947263284,1.0,0.08224666295573627,0.07647338119148013,0.06401377497157706,0.10626189376443418,1.0,4.468255486838879,4.117807437034886,3.4010916744829154,5.912517462572652,1.0,0.44359137957396944,0.4459957960997607,0.3897308091714567,0.5152935564309304,1.0,10.124044963894029,9.866500913419667,7.044679652018975,13.952489488920007,1.0,0.6056291390728477,0.6026490066225165,0.5461920529801325,0.6754966887417219,1.0,0.1427300572646158,0.15508056998268743,0.09993674257557598,0.19015514715674522,1.0,0.08092846076766377,0.0745303399766756,0.06543378528048543,0.10676284484940521,1.0,4.390132051954913,4.0047572137010885,3.4817978922397823,5.943729242719937,1.0,0.4595745265804919,0.46186169623832807,0.39073415931004063,0.5178649569187541,1.0,9.581234545468885,9.357629940665543,7.179968590002661,13.342466454665388,1.0,0.5893377483443709,0.5894039735099338,0.4600993377483444,0.6688741721854304,1.0,0.13532560926887735,0.12758023704887467,0.05555000665867626,0.192179384738314,1.0,0.08444210925265146,0.08368003572085206,0.06220362903225807,0.14143344059615534,1.0,4.607866505080808,4.5412972721824545,3.298473222988422,8.197350565811842,1.0,0.4736343534243656,0.4706162502321592,0.40611050108175406,0.5769273319125192,1.0,0.014105960264900661,0.019867549668874163,-0.04635761589403975,0.04983443708609269,0.76,0.0006325742442402464,0.0007990411506192674,-0.009342122785990142,0.011133306698628284,0.56,0.001318202188072482,0.0017624290931980008,-0.007913995236425202,0.010393516178884683,0.74,0.07812343488396578,0.10331376065420628,-0.4775571469244815,0.6419879921536585,0.74,-0.015983147006522522,-0.023022838042038613,-0.05608065557062409,0.05430480111760955,0.2
