repeat,split_seed,region,N,cases,carrier_case_N,carrier_control_N,noncarrier_case_N,noncarrier_control_N,MUC5B_OR,fisher_OR,fisher_p
1,1009153421,P00_P50,2552,12,1,474,11,2066,0.396240889911776,0.396240889911776,0.7078285804310548
1,1009153421,P65_P75,511,8,4,100,4,403,4.03,4.03,0.05809711019013916
1,1009153421,P85_P95,510,15,8,94,7,401,4.875379939209727,4.875379939209727,0.003687249605379385
2,1594237686,P00_P50,2552,13,6,527,7,2012,3.272431553266468,3.272431553266468,0.03621651754915798
2,1594237686,P65_P75,511,6,2,100,4,405,2.025,2.025,0.34367099397775064
2,1594237686,P85_P95,510,17,8,87,9,406,4.148148148148148,4.148148148148148,0.006132392498162279
3,150842761,P00_P50,2552,10,6,482,4,2060,6.410788381742739,6.410788381742739,0.004953811484982745
3,150842761,P65_P75,511,8,3,104,5,399,2.3019230769230767,2.3019230769230767,0.37333294039538206
3,150842761,P85_P95,510,10,4,91,6,409,2.9963369963369964,2.9963369963369964,0.09588942608829822
4,1975213388,P00_P50,2552,13,4,461,9,2078,2.0033743070619425,2.0033743070619425,0.27229938842372636
4,1975213388,P65_P75,511,8,5,101,3,402,6.633663366336633,6.633663366336633,0.011577774988234691
4,1975213388,P85_P95,510,16,7,90,9,404,3.491358024691358,3.491358024691358,0.01876996751999039
5,919050406,P00_P50,2552,14,6,484,8,2054,3.1828512396694215,3.1828512396694215,0.03615855136548426
5,919050406,P65_P75,511,8,3,104,5,399,2.3019230769230767,2.3019230769230767,0.37333294039538206
5,919050406,P85_P95,510,17,7,100,10,393,2.751,2.751,0.061747471613704225
6,989749373,P00_P50,2552,14,6,484,8,2054,3.1828512396694215,3.1828512396694215,0.03615855136548426
6,989749373,P65_P75,511,7,4,91,3,413,6.051282051282051,6.051282051282051,0.024995690229770842
6,989749373,P85_P95,510,19,10,103,9,388,4.18554476806904,4.18554476806904,0.0029637352502632284
7,853513682,P00_P50,2552,13,5,508,8,2031,2.49876968503937,2.49876968503937,0.154011690769498
7,853513682,P65_P75,511,6,4,94,2,411,8.74468085106383,8.74468085106383,0.014011678995528815
7,853513682,P85_P95,510,21,10,89,11,400,4.085801838610827,4.085801838610827,0.0026256651406359505
8,531655453,P00_P50,2552,15,6,467,9,2070,2.955032119914347,2.955032119914347,0.043525684826358546
8,531655453,P65_P75,511,9,5,100,4,402,5.025,5.025,0.020907661263184486
8,531655453,P85_P95,510,15,4,95,11,400,1.5311004784688995,1.5311004784688995,0.5057653501204071
9,2003067951,P00_P50,2552,14,4,502,10,2036,1.6223107569721116,1.6223107569721116,0.4970821465994229
9,2003067951,P65_P75,511,9,5,99,4,403,5.088383838383838,5.088383838383838,0.020066693825137774
9,2003067951,P85_P95,510,20,10,81,10,409,5.049382716049383,5.049382716049383,0.0008026154386923221
10,2100740383,P00_P50,2552,17,8,488,9,2047,3.7285974499089254,3.7285974499089254,0.008950428769136381
10,2100740383,P65_P75,511,2,0,98,2,411,0.8355329949238579,0.0,1.0
10,2100740383,P85_P95,510,15,6,89,9,406,3.041198501872659,3.041198501872659,0.042500747370314854
11,1452293443,P00_P50,2552,14,5,465,9,2073,2.4767025089605736,2.4767025089605736,0.15502718856132183
11,1452293443,P65_P75,511,10,6,94,4,407,6.49468085106383,6.49468085106383,0.005216138001193847
11,1452293443,P85_P95,510,16,8,93,8,401,4.311827956989247,4.311827956989247,0.005768882004792138
12,1462602459,P00_P50,2552,17,7,482,10,2053,2.9815352697095436,2.9815352697095436,0.029919172520848178
