target_name,repeat,split_seed,model,bin,n,cases,mean_pred,obs_rate,obs_rate_lo,obs_rate_hi,prob_min,prob_max
NONFIBROTIC ILD ADJUDICATED,1,677550801,zebra,0,770,0,0.23131707119943037,0.0,0.0,0.004964141914221508,0.11052533634471677,0.2597474148447815
NONFIBROTIC ILD ADJUDICATED,1,677550801,zebra,1,769,0,0.28525070700116567,0.0,0.0,0.004970565148712315,0.259914228385545,0.3108017895140072
NONFIBROTIC ILD ADJUDICATED,1,677550801,zebra,2,770,0,0.3399721776463063,0.0,0.0,0.004964141914221508,0.31080703418834127,0.37215423673283515
NONFIBROTIC ILD ADJUDICATED,1,677550801,zebra,3,769,0,0.4071310854657565,0.0,0.0,0.004970565148712315,0.3722326306867366,0.4441442775243989
NONFIBROTIC ILD ADJUDICATED,1,677550801,zebra,4,770,1,0.4918176457173566,0.0012987012987012987,0.00022928946639889794,0.007319361170123334,0.44415242844132996,0.5446991880362866
NONFIBROTIC ILD ADJUDICATED,1,677550801,zebra,5,769,3,0.603612341846562,0.0039011703511053317,0.001327618000260774,0.011406505807889416,0.5447134690457525,0.6642357512021969
NONFIBROTIC ILD ADJUDICATED,1,677550801,zebra,6,769,1,0.7291217501996523,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.6642661211891435,0.7909880271606295
NONFIBROTIC ILD ADJUDICATED,1,677550801,zebra,7,770,2,0.8443336810068384,0.0025974025974025974,0.0007125907061236786,0.009420568652699277,0.7911279271667242,0.8965404278537848
NONFIBROTIC ILD ADJUDICATED,1,677550801,zebra,8,769,0,0.9471367074836387,0.0,0.0,0.004970565148712315,0.8968991982126697,0.9846863701708237
NONFIBROTIC ILD ADJUDICATED,1,677550801,zebra,9,770,9,0.9962553316439746,0.011688311688311689,0.006161243000312308,0.022063477414615715,0.9846988562571408,1.0
NONFIBROTIC ILD ADJUDICATED,1,677550801,genomic,0,770,2,3.118901640072773e-08,0.0025974025974025974,0.0007125907061236786,0.009420568652699277,7.615741366432891e-10,8.796314870834012e-08
NONFIBROTIC ILD ADJUDICATED,1,677550801,genomic,1,769,0,1.3430035146922188e-06,0.0,0.0,0.004970565148712315,8.830808143863055e-08,3.3884175090779227e-06
NONFIBROTIC ILD ADJUDICATED,1,677550801,genomic,2,770,3,7.5559278518554205e-06,0.003896103896103896,0.0013258926936253902,0.011391775387498288,3.397583421404792e-06,1.2230732330201143e-05
NONFIBROTIC ILD ADJUDICATED,1,677550801,genomic,3,769,3,1.544956021113309e-05,0.0039011703511053317,0.001327618000260774,0.011406505807889416,1.2232361916400067e-05,1.8404722199449026e-05
NONFIBROTIC ILD ADJUDICATED,1,677550801,genomic,4,770,0,2.0923482689831907e-05,0.0,0.0,0.004964141914221508,1.8414620316302343e-05,2.3477545319739e-05
NONFIBROTIC ILD ADJUDICATED,1,677550801,genomic,5,769,1,2.6238110441027182e-05,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,2.3484021882222106e-05,2.947545638670192e-05
NONFIBROTIC ILD ADJUDICATED,1,677550801,genomic,6,769,2,3.433461567924604e-05,0.002600780234070221,0.0007135177289523901,0.009432753192718508,2.9478748977143958e-05,4.017737190847764e-05
NONFIBROTIC ILD ADJUDICATED,1,677550801,genomic,7,770,2,5.450186526748735e-05,0.0025974025974025974,0.0007125907061236786,0.009420568652699277,4.020306264919049e-05,8.611867730311118e-05
NONFIBROTIC ILD ADJUDICATED,1,677550801,genomic,8,769,0,0.001264068394242547,0.0,0.0,0.004970565148712315,8.621388254274098e-05,0.003200987608842873
NONFIBROTIC ILD ADJUDICATED,1,677550801,genomic,9,770,3,0.08921582177572293,0.003896103896103896,0.0013258926936253902,0.011391775387498288,0.0032138976213782495,0.9044333254529827
NONFIBROTIC ILD ADJUDICATED,1,677550801,combined,0,770,1,0.00028503034440398024,0.0012987012987012987,0.00022928946639889794,0.007319361170123334,6.205757109147856e-05,0.00041866586591581483
NONFIBROTIC ILD ADJUDICATED,1,677550801,combined,1,769,0,0.0005516943338263779,0.0,0.0,0.004970565148712315,0.0004192520142202866,0.0006842186199743445
NONFIBROTIC ILD ADJUDICATED,1,677550801,combined,2,770,1,0.0008278284397065611,0.0012987012987012987,0.00022928946639889794,0.007319361170123334,0.0006844637877882004,0.000992835616621967
NONFIBROTIC ILD ADJUDICATED,1,677550801,combined,3,769,0,0.001195169474476278,0.0,0.0,0.004970565148712315,0.0009930715212586034,0.001415292873680176
NONFIBROTIC ILD ADJUDICATED,1,677550801,combined,4,770,1,0.001690199443683266,0.0012987012987012987,0.00022928946639889794,0.007319361170123334,0.0014161175681513779,0.002001075269980937
NONFIBROTIC ILD ADJUDICATED,1,677550801,combined,5,769,0,0.0024319883785338574,0.0,0.0,0.004970565148712315,0.002002631426547932,0.002958240082608255
NONFIBROTIC ILD ADJUDICATED,1,677550801,combined,6,769,2,0.0037355467703294233,0.002600780234070221,0.0007135177289523901,0.009432753192718508,0.0029599318328360326,0.004792807136014966
NONFIBROTIC ILD ADJUDICATED,1,677550801,combined,7,770,3,0.006653916430255352,0.003896103896103896,0.0013258926936253902,0.011391775387498288,0.004793156803511455,0.009350630064110205
NONFIBROTIC ILD ADJUDICATED,1,677550801,combined,8,769,3,0.023439717182757395,0.0039011703511053317,0.001327618000260774,0.011406505807889416,0.009366559752718181,0.051942311239137944
NONFIBROTIC ILD ADJUDICATED,1,677550801,combined,9,770,5,0.19962518518669572,0.006493506493506494,0.0027767335367897463,0.01510995198893538,0.05208498699788042,0.8860578657080385
NONFIBROTIC ILD ADJUDICATED,2,498999188,zebra,0,770,0,0.23259949815699532,0.0,0.0,0.004964141914221508,0.11052533634471677,0.2611260600445289
NONFIBROTIC ILD ADJUDICATED,2,498999188,zebra,1,769,0,0.28580470625455645,0.0,0.0,0.004970565148712315,0.26122351629499085,0.3111904898296658
NONFIBROTIC ILD ADJUDICATED,2,498999188,zebra,2,770,0,0.34109029636029015,0.0,0.0,0.004964141914221508,0.31121606017594466,0.3729807235971536
NONFIBROTIC ILD ADJUDICATED,2,498999188,zebra,3,769,0,0.40818394964229243,0.0,0.0,0.004970565148712315,0.373178151308945,0.4445051068049796
NONFIBROTIC ILD ADJUDICATED,2,498999188,zebra,4,770,0,0.4891870035824447,0.0,0.0,0.004964141914221508,0.44453786922679794,0.5377903758457281
NONFIBROTIC ILD ADJUDICATED,2,498999188,zebra,5,769,2,0.5977450807510517,0.002600780234070221,0.0007135177289523901,0.009432753192718508,0.537808941957548,0.6610940218280053
NONFIBROTIC ILD ADJUDICATED,2,498999188,zebra,6,769,2,0.7276169056676712,0.002600780234070221,0.0007135177289523901,0.009432753192718508,0.6610983369942656,0.7871626993954245
NONFIBROTIC ILD ADJUDICATED,2,498999188,zebra,7,770,1,0.8431909826347787,0.0012987012987012987,0.00022928946639889794,0.007319361170123334,0.7872372419200562,0.897232731440224
NONFIBROTIC ILD ADJUDICATED,2,498999188,zebra,8,769,2,0.9493426264954844,0.002600780234070221,0.0007135177289523901,0.009432753192718508,0.8972336009602396,0.985485854363619
NONFIBROTIC ILD ADJUDICATED,2,498999188,zebra,9,770,9,0.9963069246374636,0.011688311688311689,0.006161243000312308,0.022063477414615715,0.9855111624726878,1.0
NONFIBROTIC ILD ADJUDICATED,2,498999188,genomic,0,770,2,4.1525517267868315e-09,0.0025974025974025974,0.0007125907061236786,0.009420568652699277,5.614248136256905e-12,1.985927281145968e-08
NONFIBROTIC ILD ADJUDICATED,2,498999188,genomic,1,769,1,8.11219952310564e-08,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,1.9996870787863747e-08,1.8600164845248158e-07
NONFIBROTIC ILD ADJUDICATED,2,498999188,genomic,2,770,1,3.8181647804064657e-07,0.0012987012987012987,0.00022928946639889794,0.007319361170123334,1.8613068251828016e-07,6.770541662678222e-07
NONFIBROTIC ILD ADJUDICATED,2,498999188,genomic,3,769,2,2.43813314740656e-06,0.002600780234070221,0.0007135177289523901,0.009432753192718508,6.780842164789687e-07,5.1501763067027626e-06
NONFIBROTIC ILD ADJUDICATED,2,498999188,genomic,4,770,3,6.434966164025951e-06,0.003896103896103896,0.0013258926936253902,0.011391775387498288,5.15766138907923e-06,7.670222650712157e-06
NONFIBROTIC ILD ADJUDICATED,2,498999188,genomic,5,769,1,9.057281416076597e-06,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,7.679199012199494e-06,1.077435800061266e-05
NONFIBROTIC ILD ADJUDICATED,2,498999188,genomic,6,769,2,1.319880840936472e-05,0.002600780234070221,0.0007135177289523901,0.009432753192718508,1.0779432655396313e-05,1.6433351801948928e-05
NONFIBROTIC ILD ADJUDICATED,2,498999188,genomic,7,770,2,2.4507667925169042e-05,0.0025974025974025974,0.0007125907061236786,0.009420568652699277,1.6438187201146583e-05,3.8860322734240087e-05
NONFIBROTIC ILD ADJUDICATED,2,498999188,genomic,8,769,1,0.0054302963046699605,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,3.8902037496755736e-05,0.0186799300014474
NONFIBROTIC ILD ADJUDICATED,2,498999188,genomic,9,770,1,0.14224258067017212,0.0012987012987012987,0.00022928946639889794,0.007319361170123334,0.01868735024373487,0.9999983247437249
NONFIBROTIC ILD ADJUDICATED,2,498999188,combined,0,770,0,0.001288523670784326,0.0,0.0,0.004964141914221508,0.0011429210401624292,0.001356128257845535
NONFIBROTIC ILD ADJUDICATED,2,498999188,combined,1,769,0,0.0014101310235080013,0.0,0.0,0.004970565148712315,0.0013561395450664207,0.001476055519787653
NONFIBROTIC ILD ADJUDICATED,2,498999188,combined,2,770,1,0.0015351316668261166,0.0012987012987012987,0.00022928946639889794,0.007319361170123334,0.0014760658858458885,0.001613875360358448
NONFIBROTIC ILD ADJUDICATED,2,498999188,combined,3,769,1,0.0017017176977703282,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.0016140920672623208,0.0018228871631135147
NONFIBROTIC ILD ADJUDICATED,2,498999188,combined,4,770,1,0.001980881219240251,0.0012987012987012987,0.00022928946639889794,0.007319361170123334,0.0018240643475282354,0.0021534293723990254
NONFIBROTIC ILD ADJUDICATED,2,498999188,combined,5,769,3,0.002378195498836752,0.0039011703511053317,0.001327618000260774,0.011406505807889416,0.0021541986408520563,0.002614799665606115
NONFIBROTIC ILD ADJUDICATED,2,498999188,combined,6,769,4,0.00289548586199789,0.005201560468140442,0.0020245891497467933,0.013297387544882687,0.0026152027543283425,0.003263746116690344
NONFIBROTIC ILD ADJUDICATED,2,498999188,combined,7,770,3,0.022694013310642955,0.003896103896103896,0.0013258926936253902,0.011391775387498288,0.003264183937137663,0.06280687398277784
NONFIBROTIC ILD ADJUDICATED,2,498999188,combined,8,769,0,0.07170493553165748,0.0,0.0,0.004970565148712315,0.0628099321226979,0.08313572578838124
NONFIBROTIC ILD ADJUDICATED,2,498999188,combined,9,770,3,0.11732867969282189,0.003896103896103896,0.0013258926936253902,0.011391775387498288,0.08315210778381128,0.6972892041410046
NONFIBROTIC ILD ADJUDICATED,3,1883012675,zebra,0,770,0,0.23087435454425775,0.0,0.0,0.004964141914221508,0.11693488945217027,0.25957138409114644
NONFIBROTIC ILD ADJUDICATED,3,1883012675,zebra,1,769,0,0.28440913956717845,0.0,0.0,0.004970565148712315,0.25960526802058226,0.31044486610500327
NONFIBROTIC ILD ADJUDICATED,3,1883012675,zebra,2,770,0,0.3403314979116206,0.0,0.0,0.004964141914221508,0.3105244169359983,0.37570357674586347
