target_name,auc_lgbm,sensitivity_lgbm,specificity_lgbm,ppv_lgbm,LR+_lgbm,auc_extratrees,sensitivity_extratrees,specificity_extratrees,ppv_extratrees,LR+_extratrees,delta_auc_ET_minus_LGBM
FILD or FILA ADJUDICATED,0.8032246697879526,0.4078947368421052,0.950550178973883,0.1425287356321839,8.248659517426272,0.5942578219742907,0.0328947368421052,0.9585253456221198,0.3571428571428571,0.7931286549707601,-0.20896684781366193
NON FIBROTIC ILA ADJUDICATED,0.7963456945616141,0.2272727272727272,0.955953470134623,0.0288184438040345,5.15983274885352,0.4504670942554378,0.0,0.9601226993865032,0.0,0.0,-0.3458786003061763
NONFIBROTIC ILD ADJUDICATED,0.8048085688240656,0.125,0.9503841646047664,0.0052219321148825,2.519356955380577,0.5670138888888889,0.0625,0.9888888888888888,0.2,5.625,-0.23779467993517667
