repeat,split_seed,region,percentile_low,percentile_high,MUC5B_carrier,N,cases,controls,smoothed_case_probability
1,1009153421,P00_P50,0.0,50.0,0,2077,11,2066,0.005534167468719923
1,1009153421,P00_P50,0.0,50.0,1,475,1,474,0.0031512605042016808
1,1009153421,P65_P75,65.0,75.0,0,407,4,403,0.011029411764705883
1,1009153421,P65_P75,65.0,75.0,1,104,4,100,0.04285714285714286
1,1009153421,P85_P95,85.0,95.0,0,408,7,401,0.018337408312958436
1,1009153421,P85_P95,85.0,95.0,1,102,8,94,0.0825242718446602
2,1594237686,P00_P50,0.0,50.0,0,2019,7,2012,0.0037128712871287127
2,1594237686,P00_P50,0.0,50.0,1,533,6,527,0.012172284644194757
2,1594237686,P65_P75,65.0,75.0,0,409,4,405,0.01097560975609756
2,1594237686,P65_P75,65.0,75.0,1,102,2,100,0.024271844660194174
2,1594237686,P85_P95,85.0,95.0,0,415,9,406,0.02283653846153846
2,1594237686,P85_P95,85.0,95.0,1,95,8,87,0.08854166666666667
3,150842761,P00_P50,0.0,50.0,0,2064,4,2060,0.0021791767554479417
3,150842761,P00_P50,0.0,50.0,1,488,6,482,0.013292433537832311
3,150842761,P65_P75,65.0,75.0,0,404,5,399,0.013580246913580247
3,150842761,P65_P75,65.0,75.0,1,107,3,104,0.032407407407407406
3,150842761,P85_P95,85.0,95.0,0,415,6,409,0.015625
3,150842761,P85_P95,85.0,95.0,1,95,4,91,0.046875
4,1975213388,P00_P50,0.0,50.0,0,2087,9,2078,0.004549808429118774
4,1975213388,P00_P50,0.0,50.0,1,465,4,461,0.009656652360515022
4,1975213388,P65_P75,65.0,75.0,0,405,3,402,0.008620689655172414
4,1975213388,P65_P75,65.0,75.0,1,106,5,101,0.0514018691588785
4,1975213388,P85_P95,85.0,95.0,0,413,9,404,0.022946859903381644
4,1975213388,P85_P95,85.0,95.0,1,97,7,90,0.07653061224489796
5,919050406,P00_P50,0.0,50.0,0,2062,8,2054,0.004120213281628696
5,919050406,P00_P50,0.0,50.0,1,490,6,484,0.013238289205702648
5,919050406,P65_P75,65.0,75.0,0,404,5,399,0.013580246913580247
5,919050406,P65_P75,65.0,75.0,1,107,3,104,0.032407407407407406
5,919050406,P85_P95,85.0,95.0,0,403,10,393,0.02599009900990099
5,919050406,P85_P95,85.0,95.0,1,107,7,100,0.06944444444444445
6,989749373,P00_P50,0.0,50.0,0,2062,8,2054,0.004120213281628696
6,989749373,P00_P50,0.0,50.0,1,490,6,484,0.013238289205702648
6,989749373,P65_P75,65.0,75.0,0,416,3,413,0.008393285371702638
6,989749373,P65_P75,65.0,75.0,1,95,4,91,0.046875
6,989749373,P85_P95,85.0,95.0,0,397,9,388,0.02386934673366834
6,989749373,P85_P95,85.0,95.0,1,113,10,103,0.09210526315789473
7,853513682,P00_P50,0.0,50.0,0,2039,8,2031,0.004166666666666667
7,853513682,P00_P50,0.0,50.0,1,513,5,508,0.010700389105058366
7,853513682,P65_P75,65.0,75.0,0,413,2,411,0.006038647342995169
7,853513682,P65_P75,65.0,75.0,1,98,4,94,0.045454545454545456
7,853513682,P85_P95,85.0,95.0,0,411,11,400,0.027912621359223302
7,853513682,P85_P95,85.0,95.0,1,99,10,89,0.105
8,531655453,P00_P50,0.0,50.0,0,2079,9,2070,0.0045673076923076926
8,531655453,P00_P50,0.0,50.0,1,473,6,467,0.013713080168776372
8,531655453,P65_P75,65.0,75.0,0,406,4,402,0.011056511056511056
8,531655453,P65_P75,65.0,75.0,1,105,5,100,0.05188679245283019
8,531655453,P85_P95,85.0,95.0,0,411,11,400,0.027912621359223302
8,531655453,P85_P95,85.0,95.0,1,99,4,95,0.045
9,2003067951,P00_P50,0.0,50.0,0,2046,10,2036,0.005129457743038593
9,2003067951,P00_P50,0.0,50.0,1,506,4,502,0.008875739644970414
9,2003067951,P65_P75,65.0,75.0,0,407,4,403,0.011029411764705883
9,2003067951,P65_P75,65.0,75.0,1,104,5,99,0.05238095238095238
9,2003067951,P85_P95,85.0,95.0,0,419,10,409,0.025
9,2003067951,P85_P95,85.0,95.0,1,91,10,81,0.11413043478260869
10,2100740383,P00_P50,0.0,50.0,0,2056,9,2047,0.004618376276130287
10,2100740383,P00_P50,0.0,50.0,1,496,8,488,0.01710261569416499
10,2100740383,P65_P75,65.0,75.0,0,413,2,411,0.006038647342995169
10,2100740383,P65_P75,65.0,75.0,1,98,0,98,0.005050505050505051
10,2100740383,P85_P95,85.0,95.0,0,415,9,406,0.02283653846153846
10,2100740383,P85_P95,85.0,95.0,1,95,6,89,0.06770833333333333
11,1452293443,P00_P50,0.0,50.0,0,2082,9,2073,0.004560729716754681
11,1452293443,P00_P50,0.0,50.0,1,470,5,465,0.01167728237791932
11,1452293443,P65_P75,65.0,75.0,0,411,4,407,0.010922330097087379
11,1452293443,P65_P75,65.0,75.0,1,100,6,94,0.06435643564356436
11,1452293443,P85_P95,85.0,95.0,0,409,8,401,0.020731707317073172
11,1452293443,P85_P95,85.0,95.0,1,101,8,93,0.08333333333333333
12,1462602459,P00_P50,0.0,50.0,0,2063,10,2053,0.005087209302325582
12,1462602459,P00_P50,0.0,50.0,1,489,7,482,0.015306122448979591
12,1462602459,P65_P75,65.0,75.0,0,405,6,399,0.01600985221674877
12,1462602459,P65_P75,65.0,75.0,1,106,4,102,0.04205607476635514
12,1462602459,P85_P95,85.0,95.0,0,417,11,406,0.02751196172248804
12,1462602459,P85_P95,85.0,95.0,1,93,8,85,0.09042553191489362
13,873316549,P00_P50,0.0,50.0,0,2068,11,2057,0.0055582406959884005
13,873316549,P00_P50,0.0,50.0,1,484,4,480,0.009278350515463918
13,873316549,P65_P75,65.0,75.0,0,411,5,406,0.013349514563106795
13,873316549,P65_P75,65.0,75.0,1,100,6,94,0.06435643564356436
13,873316549,P85_P95,85.0,95.0,0,411,7,404,0.01820388349514563
13,873316549,P85_P95,85.0,95.0,1,99,8,91,0.085
14,1255706043,P00_P50,0.0,50.0,0,2054,9,2045,0.004622871046228711
14,1255706043,P00_P50,0.0,50.0,1,498,9,489,0.01903807615230461
14,1255706043,P65_P75,65.0,75.0,0,405,3,402,0.008620689655172414
14,1255706043,P65_P75,65.0,75.0,1,106,4,102,0.04205607476635514
14,1255706043,P85_P95,85.0,95.0,0,411,7,404,0.01820388349514563
14,1255706043,P85_P95,85.0,95.0,1,99,11,88,0.115
15,1401750917,P00_P50,0.0,50.0,0,2028,9,2019,0.0046821094135041895
15,1401750917,P00_P50,0.0,50.0,1,524,7,517,0.014285714285714285
15,1401750917,P65_P75,65.0,75.0,0,404,3,401,0.008641975308641974
15,1401750917,P65_P75,65.0,75.0,1,107,3,104,0.032407407407407406
15,1401750917,P85_P95,85.0,95.0,0,411,4,407,0.010922330097087379
15,1401750917,P85_P95,85.0,95.0,1,99,9,90,0.095
16,1196189380,P00_P50,0.0,50.0,0,2048,7,2041,0.0036603221083455345
16,1196189380,P00_P50,0.0,50.0,1,504,7,497,0.01485148514851485
16,1196189380,P65_P75,65.0,75.0,0,415,2,413,0.006009615384615385
16,1196189380,P65_P75,65.0,75.0,1,96,7,89,0.07731958762886598
16,1196189380,P85_P95,85.0,95.0,0,403,7,396,0.018564356435643563
16,1196189380,P85_P95,85.0,95.0,1,107,9,98,0.08796296296296297
17,2060917766,P00_P50,0.0,50.0,0,2044,6,2038,0.003178484107579462
17,2060917766,P00_P50,0.0,50.0,1,508,7,501,0.014734774066797643
17,2060917766,P65_P75,65.0,75.0,0,415,8,407,0.020432692307692308
17,2060917766,P65_P75,65.0,75.0,1,96,4,92,0.04639175257731959
17,2060917766,P85_P95,85.0,95.0,0,412,10,402,0.025423728813559324
17,2060917766,P85_P95,85.0,95.0,1,98,8,90,0.08585858585858586
18,448991691,P00_P50,0.0,50.0,0,2043,8,2035,0.0041585127201565555
18,448991691,P00_P50,0.0,50.0,1,509,3,506,0.006862745098039216
18,448991691,P65_P75,65.0,75.0,0,409,7,402,0.018292682926829267
18,448991691,P65_P75,65.0,75.0,1,102,3,99,0.03398058252427184
18,448991691,P85_P95,85.0,95.0,0,396,10,386,0.02644836272040302
18,448991691,P85_P95,85.0,95.0,1,114,12,102,0.10869565217391304
19,238819458,P00_P50,0.0,50.0,0,2052,6,2046,0.0031660983925962008
19,238819458,P00_P50,0.0,50.0,1,500,10,490,0.020958083832335328
19,238819458,P65_P75,65.0,75.0,0,406,2,404,0.006142506142506142
19,238819458,P65_P75,65.0,75.0,1,105,4,101,0.04245283018867924
19,238819458,P85_P95,85.0,95.0,0,407,6,401,0.015931372549019607
19,238819458,P85_P95,85.0,95.0,1,103,6,97,0.0625
20,323999334,P00_P50,0.0,50.0,0,2059,10,2049,0.005097087378640777
20,323999334,P00_P50,0.0,50.0,1,493,5,488,0.011133603238866396
20,323999334,P65_P75,65.0,75.0,0,407,4,403,0.011029411764705883
20,323999334,P65_P75,65.0,75.0,1,104,7,97,0.07142857142857142
20,323999334,P85_P95,85.0,95.0,0,406,3,403,0.0085995085995086
20,323999334,P85_P95,85.0,95.0,1,104,10,94,0.1
21,230581197,P00_P50,0.0,50.0,0,2056,8,2048,0.004132231404958678
21,230581197,P00_P50,0.0,50.0,1,496,4,492,0.009054325955734407
21,230581197,P65_P75,65.0,75.0,0,412,3,409,0.00847457627118644
21,230581197,P65_P75,65.0,75.0,1,99,5,94,0.055
21,230581197,P85_P95,85.0,95.0,0,403,9,394,0.023514851485148515
21,230581197,P85_P95,85.0,95.0,1,107,7,100,0.06944444444444445
22,1304493859,P00_P50,0.0,50.0,0,2040,11,2029,0.005634492895639392
22,1304493859,P00_P50,0.0,50.0,1,512,8,504,0.016569200779727095
22,1304493859,P65_P75,65.0,75.0,0,412,3,409,0.00847457627118644
22,1304493859,P65_P75,65.0,75.0,1,99,7,92,0.075
22,1304493859,P85_P95,85.0,95.0,0,407,10,397,0.025735294117647058
22,1304493859,P85_P95,85.0,95.0,1,103,7,96,0.07211538461538461
23,1592877444,P00_P50,0.0,50.0,0,2050,8,2042,0.004144319843978547
23,1592877444,P00_P50,0.0,50.0,1,502,5,497,0.010934393638170975
23,1592877444,P65_P75,65.0,75.0,0,422,5,417,0.013002364066193853
23,1592877444,P65_P75,65.0,75.0,1,89,4,85,0.05
23,1592877444,P85_P95,85.0,95.0,0,420,10,410,0.02494061757719715
23,1592877444,P85_P95,85.0,95.0,1,90,8,82,0.09340659340659341
24,410229336,P00_P50,0.0,50.0,0,2063,9,2054,0.004602713178294574
24,410229336,P00_P50,0.0,50.0,1,489,4,485,0.009183673469387756
24,410229336,P65_P75,65.0,75.0,0,392,5,387,0.013994910941475827
24,410229336,P65_P75,65.0,75.0,1,119,6,113,0.05416666666666667
24,410229336,P85_P95,85.0,95.0,0,401,9,392,0.0236318407960199
24,410229336,P85_P95,85.0,95.0,1,109,10,99,0.09545454545454546
25,97689658,P00_P50,0.0,50.0,0,2076,7,2069,0.0036109773712084737
25,97689658,P00_P50,0.0,50.0,1,476,4,472,0.009433962264150943
25,97689658,P65_P75,65.0,75.0,0,403,5,398,0.013613861386138614
25,97689658,P65_P75,65.0,75.0,1,108,6,102,0.05963302752293578
25,97689658,P85_P95,85.0,95.0,0,405,7,398,0.01847290640394089
25,97689658,P85_P95,85.0,95.0,1,105,8,97,0.08018867924528301
26,692187905,P00_P50,0.0,50.0,0,2051,7,2044,0.003654970760233918
26,692187905,P00_P50,0.0,50.0,1,501,5,496,0.010956175298804782
26,692187905,P65_P75,65.0,75.0,0,418,2,416,0.0059665871121718375
26,692187905,P65_P75,65.0,75.0,1,93,5,88,0.05851063829787234
26,692187905,P85_P95,85.0,95.0,0,399,16,383,0.04125
26,692187905,P85_P95,85.0,95.0,1,111,6,105,0.05803571428571429
27,1994802872,P00_P50,0.0,50.0,0,2052,9,2043,0.004627374573794447
27,1994802872,P00_P50,0.0,50.0,1,500,6,494,0.012974051896207584
27,1994802872,P65_P75,65.0,75.0,0,406,5,401,0.013513513513513514
27,1994802872,P65_P75,65.0,75.0,1,105,5,100,0.05188679245283019
27,1994802872,P85_P95,85.0,95.0,0,420,6,414,0.015439429928741092
27,1994802872,P85_P95,85.0,95.0,1,90,6,84,0.07142857142857142
28,526269062,P00_P50,0.0,50.0,0,2074,4,2070,0.002168674698795181
28,526269062,P00_P50,0.0,50.0,1,478,5,473,0.011482254697286013
28,526269062,P65_P75,65.0,75.0,0,409,5,404,0.013414634146341463
28,526269062,P65_P75,65.0,75.0,1,102,2,100,0.024271844660194174
28,526269062,P85_P95,85.0,95.0,0,400,13,387,0.03366583541147132
28,526269062,P85_P95,85.0,95.0,1,110,8,102,0.07657657657657657
29,1562169210,P00_P50,0.0,50.0,0,2053,10,2043,0.005111976630963973
29,1562169210,P00_P50,0.0,50.0,1,499,3,496,0.007
29,1562169210,P65_P75,65.0,75.0,0,402,2,400,0.00620347394540943
29,1562169210,P65_P75,65.0,75.0,1,109,3,106,0.031818181818181815
29,1562169210,P85_P95,85.0,95.0,0,418,8,410,0.02028639618138425
