metric,min_across_9_specs,median_across_9_specs,max_across_9_specs
b_delta_0.05,0.8440667343668207,0.852786043332956,0.9082834793610493
b_delta_0.01,0.8635210277201922,0.8871387249916285,0.9616799667984054
b_delta_0.005,0.8696539830656939,0.9087551515021727,1.6100006795897452
tail_95_median_log_LR_Z,1.4383132459313743,1.4977933619938,1.6069052853636239
tail_95_q95_max_abs_log_LR_G_statewise,0.8154570036001139,0.9212517778830701,5.6484711867573125
tail_95_fraction_log_LR_Z_exceeds_statewise_genomic_scale,0.8810641627543035,0.9123630672926447,1.0
tail_97.5_median_log_LR_Z,2.3756275833789013,2.7325013468563792,2.804321695736162
tail_97.5_q95_max_abs_log_LR_G_statewise,0.7600987911701974,0.7765948104128642,8.4206115934895
tail_97.5_fraction_log_LR_Z_exceeds_statewise_genomic_scale,0.825,0.99375,1.0
tail_99_median_log_LR_Z,3.785005267655463,3.8363340101063628,3.937890338710172
tail_99_q95_max_abs_log_LR_G_statewise,0.684916606301638,0.7383951534399366,0.747267424042791
tail_99_fraction_log_LR_Z_exceeds_statewise_genomic_scale,1.0,1.0,1.0
fpr_0.5pct_n_flips,2.0,3.0,7.0
fpr_0.5pct_median_boundary_distance_flips,0.1345005763809719,0.17875793632793036,0.3039223507724942
fpr_0.5pct_q95_boundary_distance_flips,0.1976803992184668,0.2417882090996339,0.5947445209874854
fpr_1pct_n_flips,21.0,40.0,69.0
fpr_1pct_median_boundary_distance_flips,0.22922608049966153,0.40746415281261905,0.4990850518340051
fpr_1pct_q95_boundary_distance_flips,0.65121976971441,0.752833669034389,0.8934242496954128
fpr_2pct_n_flips,134.0,149.0,208.0
fpr_2pct_median_boundary_distance_flips,0.2440188147667105,0.27893455339094364,0.44032034254634683
fpr_2pct_q95_boundary_distance_flips,0.766272760471679,0.8590604323226679,0.9884581753980182
fpr_5pct_n_flips,535.0,671.0,914.0
fpr_5pct_median_boundary_distance_flips,0.3313986764454917,0.4390574443960358,0.6000538724422217
fpr_5pct_q95_boundary_distance_flips,0.6823416916525207,0.7782848353134402,0.8053033593580649
fpr_10pct_n_flips,1240.0,1401.0,1479.0
fpr_10pct_median_boundary_distance_flips,0.20952269180946057,0.2939508088687213,0.36579548922829574
fpr_10pct_q95_boundary_distance_flips,0.6605831008117263,0.7166109840632546,0.7487616433757145
