n_knots,logistic_C,N,cases,LR_Z_P0_mean,LR_ZG_P0_mean,max_statewise_abs_logLR_G_controls,b_delta_0p05,exp_b_delta_0p05,b_delta_0p01,exp_b_delta_0p01,b_delta_0p005,exp_b_delta_0p005
4,0.3,12766,252,1.0,1.003337548745945,1.1731570782989669,0.8440667343668207,2.3258062063823575,0.8635210277201922,2.371496114026983,0.8696539830656939,2.3860850848214947
4,1.0,12766,252,1.0000000000000002,1.0043545248981594,1.1752266493208607,0.8489673566372304,2.3372320781477653,0.8694608529180887,2.3856243043535965,0.8773908726008897,2.4046175609594416
4,3.0,12766,252,1.0,1.0058816457366149,1.1765871260727636,0.8504082464058522,2.3406021993395587,0.8718775012169524,2.391396491133901,0.8799504151615017,2.4107801653083696
5,0.3,12766,252,1.0000000000000002,1.0151299131519365,6.165307220858872,0.8481374860772162,2.335293282640115,0.8871387249916285,2.4281720342511424,0.8988383009943506,2.456747451697957
5,1.0,12766,252,1.0,1.0148685699803142,7.4320016604410455,0.8698693936248333,2.3865991281069583,0.9099193949629168,2.484122292545205,0.9240980704663063,2.5195947383265005
5,3.0,12766,252,1.0,1.014149637750975,7.355234698598473,0.8815483534764441,2.4146355227947836,0.9216552198663202,2.5134472565551254,0.935463214143296,2.5483936363552373
6,0.3,12766,252,1.0000000000000002,1.017819961518873,18.762803751027665,0.852786043332956,2.346174298091016,0.8821036380297537,2.4159767049368654,0.9087551515021727,2.4812318523249735
6,1.0,12766,252,1.0,1.0177665223519254,21.34978133761504,0.8818477521361999,2.415358569668338,0.9163845712046002,2.5002346093337318,1.1956471560435775,3.305696379810489
6,3.0,12766,252,1.0000000000000002,1.0174439626016556,21.349744848557837,0.9082834793610493,2.480061800346717,0.9616799667984054,2.6160877243310643,1.6100006795897452,5.002814627693951
