n_knots,logistic_C,ZeBRA_percentile_cutoff,N,cases,controls,median_log_LR_Z,q90_log_LR_Z,max_log_LR_Z,median_max_abs_log_LR_G_statewise,q95_max_abs_log_LR_G_statewise,max_max_abs_log_LR_G_statewise,fraction_log_LR_Z_exceeds_statewise_genomic_scale
4,0.3,95.0,639,109,530,1.6069052853636239,3.7850200954968476,3.848905273665538,0.7252549416562832,0.8154570036001139,0.855672764767558,1.0
4,0.3,97.5,320,85,235,2.7966555352372326,3.8077452396740714,3.848905273665538,0.6592688424015419,0.7698075902782815,0.8210311664756801,1.0
4,0.3,99.0,129,73,56,3.785005267655463,3.8234200965634275,3.848905273665538,0.6240339076092642,0.687505763493286,0.7226308959086921,1.0
4,1.0,95.0,639,109,530,1.5414957261450097,3.850846149309822,3.9136922938714895,0.726619997217407,0.8169685374251894,0.859759513344268,1.0
4,1.0,97.5,320,85,235,2.646051960222244,3.8730939852936155,3.9136922938714895,0.6585002587512925,0.7765948104128642,0.8318213285167634,1.0
4,1.0,99.0,129,73,56,3.850539029393106,3.8901833464576083,3.9136922938714895,0.6211341040714958,0.6855994065323656,0.7211343840496317,1.0
4,3.0,95.0,639,109,530,1.4383132459313743,3.937941043363135,4.001499102340587,0.7277117152699687,0.8184590530487664,0.8616961659025731,1.0
4,3.0,97.5,320,85,235,2.3756275833789013,3.9595461264311482,4.001499102340587,0.6558834099639475,0.7765011163343095,0.8360428297197959,1.0
4,3.0,99.0,129,73,56,3.937890338710172,3.977343605359688,4.001499102340587,0.620103127956605,0.684916606301638,0.7206031001154296,1.0
5,0.3,95.0,639,109,530,1.5463550987154902,3.8005454147412947,3.8693841342837603,0.7409719076005276,0.9000486602306184,6.165307220858872,0.917057902973396
5,0.3,97.5,320,85,235,2.804321695736162,3.824362023719343,3.8693841342837603,0.6331430461943186,0.8538944738963924,6.165307220858872,0.996875
5,0.3,99.0,129,73,56,3.800439862762887,3.8392023287047077,3.8693841342837603,0.676717571956842,0.7426652920669569,0.7762110452253695,1.0
5,1.0,95.0,639,109,530,1.5175048011088605,3.8345392648683605,3.902370367982648,0.7379735915031967,0.9212517778830701,7.4320016604410455,0.9045383411580594
5,1.0,97.5,320,85,235,2.7325013468563792,3.8585774985428336,3.902370367982648,0.6236189015426332,0.7758206172190263,7.4320016604410455,0.99375
5,1.0,99.0,129,73,56,3.8344771311658823,3.8742501995674643,3.902370367982648,0.6714163710881054,0.7383951534399366,0.771810745787602,1.0
5,3.0,95.0,639,109,530,1.4673798852902722,3.8870134687535423,3.9520687999495467,0.7322066311707609,0.9281918556367414,7.355234698598473,0.9123630672926447
5,3.0,97.5,320,85,235,2.5878801033666132,3.9101799346785446,3.9520687999495467,0.6176822663317674,0.7600987911701974,7.355234698598473,0.99375
5,3.0,99.0,129,73,56,3.8869768672492993,3.926742143723786,3.9520687999495467,0.6695408081035193,0.7368660754734172,0.7702547298601159,1.0
6,0.3,95.0,639,109,530,1.4977933619938,3.8127428018102316,3.8864701263101793,0.7951673603916323,2.6066237384070785,18.762803751027665,0.8810641627543035
6,0.3,97.5,320,85,235,2.794657708189739,3.8362501908835056,3.8864701263101793,0.6746553536682955,4.55448743772338,18.762803751027665,0.909375
6,0.3,99.0,129,73,56,3.81270365757479,3.8540256514670754,3.8864701263101793,0.6685296601632275,0.747267424042791,0.7734152303387205,1.0
6,1.0,95.0,639,109,530,1.48529111133379,3.83637507919537,3.902782070736036,0.7811573162119902,4.2538533640176395,21.34978133761504,0.9029733959311425
6,1.0,97.5,320,85,235,2.74368389034783,3.857980273292637,3.902782070736036,0.6923092709279054,6.45066551969307,21.34978133761504,0.859375
6,1.0,99.0,129,73,56,3.8363340101063628,3.8759835152149766,3.902782070736036,0.6612263337636243,0.7431680826845171,0.769261134143994,1.0
6,3.0,95.0,639,109,530,1.4619398737366185,3.875864299481212,3.9407096456713595,0.7526247207506669,5.6484711867573125,21.349744848557837,0.9123630672926447
6,3.0,97.5,320,85,235,2.6050157901386903,3.8962837151401057,3.9407096456713595,0.7031717461872027,8.4206115934895,21.349744848557837,0.825
6,3.0,99.0,129,73,56,3.8758314951425863,3.9160281262519523,3.9407096456713595,0.6588092859822456,0.741493186844042,0.767814690211175,1.0
