target_name,model,metric,n_repeats,mean,sd,median,q025,q975,min,max
FILD or FILA ADJUDICATED,zebra_raw,zedstat_auc,30,0.814761946544491,0.013947705823455857,0.8136709408786192,0.786463843493077,0.8394584611934667,0.7855770615325076,0.8457260206766919
FILD or FILA ADJUDICATED,zebra_raw,sklearn_auc_check,30,0.8147134353682163,0.01394751902160058,0.8136360306174424,0.7864065323722936,0.8394030475275089,0.7855060809255008,0.8456742745103512
FILD or FILA ADJUDICATED,zebra_raw,auc_zedstat_minus_sklearn,30,4.851117627458305e-05,1.6417661682279137e-05,4.9427341906493893e-05,2.3740947632541755e-05,7.868391094708048e-05,1.63504357666433e-05,8.338036989496977e-05
FILD or FILA ADJUDICATED,zebra_raw,brier_score,30,0.4041609377466588,0.002250887264941487,0.40457716027981383,0.4003774245261745,0.4081437628087448,0.3995502350343445,0.41002905484500823
FILD or FILA ADJUDICATED,zebra_raw,calibration_intercept,30,-4.5729233947391315,0.04502341851047863,-4.5741560219969095,-4.649680189825866,-4.4869883005655735,-4.6641306100803055,-4.450751229810032
FILD or FILA ADJUDICATED,zebra_raw,calibration_slope,30,0.18180524360165326,0.006637052510414343,0.18127796429705,0.17119829893889565,0.19274030521156707,0.16953364707633267,0.19685079221420052
FILD or FILA ADJUDICATED,zebra_raw,expected_calibration_error,30,0.5695884363269893,0.0018249429532441622,0.5700878033778067,0.5664389787777434,0.5734213444372188,0.5654775741268748,0.5742712023791147
FILD or FILA ADJUDICATED,zebra_raw,max_calibration_error,30,0.9224126055843261,0.004293250619378123,0.9220770426090978,0.9152475900905749,0.930244877022865,0.9121534377031021,0.9358577714870868
FILD or FILA ADJUDICATED,zebra_raw,mean_predicted_risk,30,0.5893415227467423,0.0018249429532441598,0.5898408897975597,0.5861920651974967,0.5931744308569719,0.5852306605466279,0.5940242887988679
FILD or FILA ADJUDICATED,zebra_raw,observed_to_expected_ratio,30,0.033517525440208404,0.00010377125694240405,0.03348883875923167,0.033300662939235046,0.03369732851586908,0.03325299451928864,0.03375265130726908
FILD or FILA ADJUDICATED,zebra_isotonic,zedstat_auc,30,0.8088139324268843,0.01393774156265963,0.8084205049121047,0.7817549124237675,0.8316691920365324,0.7758280946013788,0.838695726529062
FILD or FILA ADJUDICATED,zebra_isotonic,sklearn_auc_check,30,0.8087800121409184,0.01390385141921984,0.8084231546152933,0.7817451654374569,0.8315407126335326,0.7758195119909013,0.8382431951547966
FILD or FILA ADJUDICATED,zebra_isotonic,auc_zedstat_minus_sklearn,30,3.39202859658938e-05,9.15188419375758e-05,7.545889105620152e-06,-7.98711812412256e-06,0.0002793808110333553,-8.749384189710163e-06,0.0004525313742653747
FILD or FILA ADJUDICATED,zebra_isotonic,brier_score,30,0.016179569561460747,0.00040849938018068846,0.01617096362310216,0.01565978697365866,0.017001250934430303,0.01563670417465031,0.01702824929770348
FILD or FILA ADJUDICATED,zebra_isotonic,calibration_intercept,30,-0.4972245165965622,0.599680681321076,-0.28778804567452265,-1.6780349321439052,0.3363944221406629,-2.543114794560859,0.5935365950338521
FILD or FILA ADJUDICATED,zebra_isotonic,calibration_slope,30,0.8490068328358478,0.17909724656082807,0.8883962503362709,0.49510502194657097,1.1005330033915375,0.266869156655296,1.1851650439396824
FILD or FILA ADJUDICATED,zebra_isotonic,expected_calibration_error,30,0.004215783603361428,0.0018403050504685926,0.003910585720889252,0.0019298193236115461,0.008448253062710956,0.0016225894215052279,0.009467937037058987
FILD or FILA ADJUDICATED,zebra_isotonic,max_calibration_error,30,0.013535243250421875,0.008616172266840538,0.010220963614275855,0.004608773775655433,0.031819133222260716,0.003452643090929018,0.03191423790437338
FILD or FILA ADJUDICATED,zebra_isotonic,mean_predicted_risk,30,0.019986216945229215,0.001087179512923741,0.019930576975787484,0.018047592593779548,0.02201210198548509,0.01797980533586026,0.02214032343575995
FILD or FILA ADJUDICATED,zebra_isotonic,observed_to_expected_ratio,30,0.9911953027565326,0.05449380123908293,0.991111144665088,0.8973854360139285,1.0945056670390887,0.8921769583478119,1.0986262671240417
FILD or FILA ADJUDICATED,genomic_raw,zedstat_auc,30,0.5558369989035087,0.022750477810220895,0.5569682368421053,0.5159740384868421,0.5919940258223685,0.5087307828947367,0.6072354671052632
