target_name,metric,comparison,n_repeats,mean_delta,median_delta,q025,q975,fraction_gt_zero,fraction_lt_zero
FILD or FILA ADJUDICATED,brier_score,combined_isotonic - zebra_isotonic,30,0.0012860501895860074,0.0012218129364548105,-8.069213186687566e-05,0.002873320006311027,0.9333333333333333,0.06666666666666667
FILD or FILA ADJUDICATED,expected_calibration_error,combined_isotonic - zebra_isotonic,30,0.0023590481617810446,0.0017954334702977798,-0.0010050351804815995,0.006214670604214985,0.9333333333333333,0.06666666666666667
FILD or FILA ADJUDICATED,max_calibration_error,combined_isotonic - zebra_isotonic,30,0.01253888425152618,0.011354304166734275,-0.009748797114353322,0.043216445488259356,0.8333333333333334,0.16666666666666666
FILD or FILA ADJUDICATED,calibration_intercept,combined_isotonic - zebra_isotonic,30,-0.7299119093031234,-0.4424332703136079,-3.036578937343593,1.0894376227287,0.36666666666666664,0.6333333333333333
FILD or FILA ADJUDICATED,calibration_slope,combined_isotonic - zebra_isotonic,30,-0.1454225893572287,-0.07925583911513745,-0.7815894374058959,0.3784056852615292,0.4666666666666667,0.5333333333333333
FILD or FILA ADJUDICATED,mean_predicted_risk,combined_isotonic - zebra_isotonic,30,0.003583893970051946,0.003834974502810014,-6.249285657339304e-05,0.007540346600428229,0.9666666666666667,0.03333333333333333
FILD or FILA ADJUDICATED,observed_to_expected_ratio,combined_isotonic - zebra_isotonic,30,-0.14142002210837187,-0.15401070616322282,-0.2966831896428974,0.0032087370852720894,0.03333333333333333,0.9666666666666667
NON FIBROTIC ILA ADJUDICATED,brier_score,combined_isotonic - zebra_isotonic,30,7.06935287319855e-05,7.947155392545651e-05,-1.1610097400378367e-05,0.0001275203227889882,0.9666666666666667,0.03333333333333333
NON FIBROTIC ILA ADJUDICATED,expected_calibration_error,combined_isotonic - zebra_isotonic,30,0.0007989039419396438,0.0008423504802175597,-0.0009426615835926991,0.002413847476612224,0.8333333333333334,0.16666666666666666
NON FIBROTIC ILA ADJUDICATED,max_calibration_error,combined_isotonic - zebra_isotonic,30,0.000490799103985112,0.0005000472211177435,-0.006852269221120694,0.006330203503362315,0.5666666666666667,0.43333333333333335
NON FIBROTIC ILA ADJUDICATED,calibration_intercept,combined_isotonic - zebra_isotonic,30,-1.272451375422287,-1.162806619991275,-5.791704628081658,3.5030872817408016,0.16666666666666666,0.8333333333333334
NON FIBROTIC ILA ADJUDICATED,calibration_slope,combined_isotonic - zebra_isotonic,30,-0.20731382887531813,-0.13026185408313407,-1.2020657470047216,0.7990795311479468,0.23333333333333334,0.7666666666666667
NON FIBROTIC ILA ADJUDICATED,mean_predicted_risk,combined_isotonic - zebra_isotonic,30,0.0005170207016076268,0.0003323286015302295,-0.00032643649605999456,0.00196058321154763,0.8333333333333334,0.16666666666666666
NON FIBROTIC ILA ADJUDICATED,observed_to_expected_ratio,combined_isotonic - zebra_isotonic,30,-0.07396648928382037,-0.05397673640729106,-0.28253456477802924,0.05851248680407956,0.16666666666666666,0.8333333333333334
NONFIBROTIC ILD ADJUDICATED,brier_score,combined_isotonic - zebra_isotonic,30,7.540794346427923e-05,1.25892477819637e-05,-3.455708961145686e-05,0.0007424652735964158,0.7333333333333333,0.26666666666666666
NONFIBROTIC ILD ADJUDICATED,expected_calibration_error,combined_isotonic - zebra_isotonic,30,0.000507226273005269,0.000417491933411876,-0.0007455844348981024,0.0021623582091497505,0.8666666666666667,0.13333333333333333
NONFIBROTIC ILD ADJUDICATED,max_calibration_error,combined_isotonic - zebra_isotonic,30,0.0009313964240870337,-5.122077025981951e-05,-0.004549918279055607,0.01566887482207118,0.4666666666666667,0.5333333333333333
NONFIBROTIC ILD ADJUDICATED,calibration_intercept,combined_isotonic - zebra_isotonic,30,-0.309124385919166,-0.17968418208330056,-5.696872672476108,4.764913033816732,0.36666666666666664,0.6333333333333333
NONFIBROTIC ILD ADJUDICATED,calibration_slope,combined_isotonic - zebra_isotonic,30,-0.00828710527996267,-0.04563497523505178,-0.9215911555011671,0.8886297552567137,0.3333333333333333,0.6666666666666666
NONFIBROTIC ILD ADJUDICATED,mean_predicted_risk,combined_isotonic - zebra_isotonic,30,-0.0001463532901174236,-0.00016388994205044282,-0.0016389782570488311,0.000850192679475776,0.3333333333333333,0.6666666666666666
NONFIBROTIC ILD ADJUDICATED,observed_to_expected_ratio,combined_isotonic - zebra_isotonic,30,0.8283345760293398,0.08946167665709409,-0.2891757354663271,7.656370391571478,0.6666666666666666,0.3333333333333333
