target_name,comparison,n_repeats,mean_delta_auc,median_delta_auc,q025,q975,fraction_gt_zero
FILD or FILA ADJUDICATED,combined_raw - zebra_raw,30,-0.02502529357996612,-0.024344852669257733,-0.05348289325411504,0.0007260347690784091,0.06666666666666667
FILD or FILA ADJUDICATED,combined_isotonic - zebra_isotonic,30,-0.02531467248593443,-0.026952053838693202,-0.05005227703273166,0.005106719283127577,0.06666666666666667
FILD or FILA ADJUDICATED,zebra_isotonic - zebra_raw,30,-0.0059334232272980104,-0.0055580461494448286,-0.01210023060767396,-0.0007833705178031841,0.0
FILD or FILA ADJUDICATED,combined_isotonic - combined_raw,30,-0.006222802133266322,-0.004467805633665112,-0.02191919835050979,0.0016080502487492438,0.13333333333333333
NON FIBROTIC ILA ADJUDICATED,combined_raw - zebra_raw,30,-0.13375143078939963,-0.1281888285547938,-0.29883994664987346,-0.035437732441392124,0.0
NON FIBROTIC ILA ADJUDICATED,combined_isotonic - zebra_isotonic,30,-0.1278406863036323,-0.12948619312983461,-0.2891918465797698,-0.023918219246444314,0.0
NON FIBROTIC ILA ADJUDICATED,zebra_isotonic - zebra_raw,30,-0.016514923777046372,-0.01158196789486815,-0.05186086786041042,-0.00026248054324442714,0.03333333333333333
NON FIBROTIC ILA ADJUDICATED,combined_isotonic - combined_raw,30,-0.010604179291279004,-0.009218937512624648,-0.05319027667209271,0.013064283040838382,0.2
NONFIBROTIC ILD ADJUDICATED,combined_raw - zebra_raw,30,-0.2147084038720319,-0.19455454811824446,-0.48809883285584066,-0.05344690063810396,0.0
NONFIBROTIC ILD ADJUDICATED,combined_isotonic - zebra_isotonic,30,-0.18323091656899768,-0.15174908842297175,-0.3828376294113817,-0.0537200685310588,0.0
NONFIBROTIC ILD ADJUDICATED,zebra_isotonic - zebra_raw,30,-0.025405190563007326,-0.019495132829795536,-0.07024311433780436,0.009450693449667943,0.06666666666666667
NONFIBROTIC ILD ADJUDICATED,combined_isotonic - combined_raw,30,0.006072296740026928,0.001165923297304361,-0.09555280635499414,0.16126102845422577,0.5333333333333333
