target_name,repeat,split_seed,model,tpr,ppv,acc,npv,LR+,LR-,threshold,expected_fp,expected_tn,expected_flags,fpr,tpr_upper,ppv_upper,acc_upper,npv_upper,LR+_upper,LR-_upper,threshold_upper,expected_fp_upper,expected_tn_upper,expected_flags_upper,fpr_lower,tpr_lower,ppv_lower,acc_lower,npv_lower,LR+_lower,LR-_lower,threshold_lower,expected_fp_lower,expected_tn_lower,expected_flags_lower,sensitivity,specificity,requested_fpr,fpr_distance
FILD or FILA ADJUDICATED,1,793387248,zebra_raw,0.06096785714285714,0.5512820512820513,0.9804709700176367,0.9814199558075678,,,1.0,7.543,7535.457,16.810114285714285,0.001,0.09674224383959779,0.6566562768290142,0.981452621171929,0.9821219303951658,,,1.0,7.543,7535.457,16.810114285714285,0.001,0.046837568371140045,0.4410936914056326,0.9794188937083966,0.981128628278825,,,1.0,7.543,7535.457,16.810114285714285,0.06096785714285714,0.999,0.001,0.0
FILD or FILA ADJUDICATED,1,793387248,zebra_raw,0.2894736842105263,0.5384733514001807,0.9810636777128006,0.9858142706624446,57.90312766714083,0.7140968023715605,0.9999998017725059,37.715,7505.285,81.715,0.005,0.36605544926939826,0.6423920653031941,0.9839087257589716,0.9873409250501277,100.5613020873177,0.7820968315639962,0.9999998017725059,37.715,7505.285,81.715,0.005,0.22327077698444972,0.43106209262422973,0.9779296729371074,0.9844843904793923,32.535422983340375,0.636261070993173,0.9999998017725059,37.715,7505.285,81.715,0.2894736842105263,0.995,0.005,0.0
FILD or FILA ADJUDICATED,1,793387248,zebra_raw,0.2894736842105263,0.368422969187675,0.9761624431448993,0.9857436469518124,,,0.999992958630842,75.43,7467.57,119.43,0.01,0.36605544926939826,0.45777565932505954,0.979644693194868,0.9872861207778568,,,0.999992958630842,75.43,7467.57,119.43,0.01,0.22327077698444972,0.2872705938013867,0.9723962259735422,0.9843970800940202,,,0.999992958630842,75.43,7467.57,119.43,0.2894736842105263,0.99,0.01,0.0
FILD or FILA ADJUDICATED,1,793387248,zebra_raw,0.34868421052631576,0.2599830966869506,0.9675295646523717,0.9867843879286217,,,0.9998731350584539,150.86,7392.14,203.86,0.02,0.4273271684082069,0.3242387740914463,0.9719489517068275,0.9883957487347464,,,0.9998731350584539,150.86,7392.14,203.86,0.02,0.27750105671174624,0.20460568887159583,0.9627785293715015,0.9853107810011504,,,0.9998731350584539,150.86,7392.14,203.86,0.34868421052631576,0.98,0.02,0.0
FILD or FILA ADJUDICATED,1,793387248,zebra_raw,0.4407894736842105,0.1507588728375245,0.9399415204678363,0.9882772364335002,8.815797361163739,0.5886426607415144,0.9976528115587113,377.15000000000003,7165.85,444.1500000000001,0.05,0.5202115409440079,0.1871208625367235,0.9461110534488483,0.9899744241342164,11.482039844813006,0.6728206252793468,0.9976528115587113,377.15000000000003,7165.85,444.1500000000001,0.05,0.36428646018988675,0.12040616579126882,0.9333805830760891,0.9866232648474474,6.605198160107351,0.5025576320173689,0.9976528115587113,377.15000000000003,7165.85,444.1500000000001,0.4407894736842105,0.95,0.05,0.0
FILD or FILA ADJUDICATED,1,793387248,zebra_raw,0.5328947368421053,0.09698220580116365,0.892748538011696,0.989649693089074,,,0.9807540778752346,754.3000000000001,6788.7,835.3000000000002,0.1,0.6104192680185561,0.11892279016330641,0.9007180174678282,0.9914147684270691,,,0.9807540778752346,754.3000000000001,6788.7,835.3000000000002,0.1,0.45374850912928033,0.07877440367173011,0.8843478563930419,0.9878239038169989,,,0.9807540778752346,754.3000000000001,6788.7,835.3000000000002,0.5328947368421053,0.9,0.1,0.0
FILD or FILA ADJUDICATED,1,793387248,zebra_isotonic,0.06096785714285714,0.5512820512820513,0.9804709700176367,0.9814199558075678,,,0.5961538461538461,7.543,7535.457,16.810114285714285,0.001,0.09674224383959779,0.6566562768290142,0.981452621171929,0.9821219303951658,,,0.5961538461538461,7.543,7535.457,16.810114285714285,0.001,0.046837568371140045,0.4410936914056326,0.9794188937083966,0.981128628278825,,,0.5961538461538461,7.543,7535.457,16.810114285714285,0.06096785714285714,0.999,0.001,0.0
FILD or FILA ADJUDICATED,1,793387248,zebra_isotonic,0.2841802482057416,0.5473788593101266,0.9809591160139406,0.9857108681182295,60.44668282872019,0.7193796359505861,0.5907615821678321,37.715,7505.285,80.91039772727271,0.005,0.36048172134248213,0.6521045377945155,0.983771261319968,0.9872314609051158,106.62200992438126,0.7868249017666094,0.5907615821678321,37.715,7505.285,80.91039772727271,0.005,0.21851859704556453,0.43795964394212133,0.9778631688256756,0.9843920886189909,33.445609675860375,0.6418365579333881,0.5907615821678321,37.715,7505.285,80.91039772727271,0.2841802482057416,0.995,0.005,0.0
FILD or FILA ADJUDICATED,1,793387248,zebra_isotonic,0.3020377292663477,0.4931582754349375,0.9764106218126686,0.9860020856574073,53.20687094744024,0.7045360031224323,0.5158557861337557,75.43,7467.57,121.33973484848484,0.01,0.3787953512664143,0.5888747633244902,0.9796339871639654,0.9875449534102791,93.21526502140146,0.7739937036048635,0.5158557861337557,75.43,7467.57,121.33973484848484,0.01,0.23503956302124018,0.39442351131363906,0.9728910542372115,0.9846430815091806,29.703310311348115,0.6259091439354489,0.5158557861337557,75.43,7467.57,121.33973484848484,0.3020377292663477,0.99,0.01,0.0
FILD or FILA ADJUDICATED,1,793387248,zebra_isotonic,0.3377526913875598,0.38471710768455925,0.9673136334101247,0.986584520735763,38.72724718488034,0.6748487374661244,0.36604419406560296,150.86,7392.14,202.19840909090908,0.02,0.4154226111142785,0.46241521438443955,0.9713594388519604,0.9881719384206059,66.40177521544186,0.7483313072813719,0.36604419406560296,150.86,7392.14,202.19840909090908,0.02,0.2680814949725914,0.30735124605667463,0.9629468250602832,0.98514506728956,22.2187115823236,0.5940543159395707,0.36604419406560296,150.86,7392.14,202.19840909090908,0.3377526913875598,0.98,0.02,0.0
FILD or FILA ADJUDICATED,1,793387248,zebra_isotonic,0.4396320662768031,0.15065718609225026,0.939918658099295,0.9882534777955276,8.803872518939023,0.5898503659923305,0.06282803867403315,377.15,7165.85,443.9740740740741,0.05,0.5190555251294758,0.1869449745153665,0.9460870647710655,0.9899507157039226,11.474178735763722,0.6739757831747011,0.06282803867403315,377.15,7165.85,443.9740740740741,0.05,0.36318472088255055,0.12036904262524138,0.9333599741218348,0.9866006143792758,6.592021721985552,0.5037587012751534,0.06282803867403315,377.15,7165.85,443.9740740740741,0.4396320662768031,0.95,0.05,0.0
