target_name,model,n_repeats,mean,sd,median,min,max
FILD or FILA ADJUDICATED,combined_isotonic,30,0.783465339654984,0.018552938265881815,0.7877432544638807,0.7424585883042487,0.8208224600012558
FILD or FILA ADJUDICATED,combined_raw,30,0.7896881417882503,0.017361337061456126,0.792178788978279,0.7420429886196334,0.8216392681956781
FILD or FILA ADJUDICATED,genomic_isotonic,30,0.5461969212770758,0.02224790519085477,0.5478048661359085,0.5041961176971329,0.5917105960911825
FILD or FILA ADJUDICATED,genomic_raw,30,0.5557749604024644,0.022753800449933925,0.5568856974399409,0.5086599984649414,0.6071811090100966
FILD or FILA ADJUDICATED,zebra_isotonic,30,0.8087800121409183,0.013903851419219826,0.8084231546152933,0.7758195119909013,0.8382431951547966
FILD or FILA ADJUDICATED,zebra_raw,30,0.8147134353682165,0.013947519021600584,0.8136360306174424,0.7855060809255008,0.8456742745103512
NON FIBROTIC ILA ADJUDICATED,combined_isotonic,30,0.6833202631464297,0.06999829001511597,0.6884401623079573,0.4792124618291133,0.7857558726726156
NON FIBROTIC ILA ADJUDICATED,combined_raw,30,0.6939244424377087,0.07001963113797303,0.702901284442913,0.47005739000249525,0.7939990019130001
NON FIBROTIC ILA ADJUDICATED,genomic_isotonic,30,0.4967669110395551,0.03639442323995155,0.5,0.41028653414289284,0.5853290122503297
NON FIBROTIC ILA ADJUDICATED,genomic_raw,30,0.49611577809199037,0.04873729662415952,0.49626014424733544,0.3916808260358123,0.595967847340217
NON FIBROTIC ILA ADJUDICATED,zebra_isotonic,30,0.811160949450062,0.02539189402901433,0.820381471227766,0.7601130571167168,0.851406827390359
NON FIBROTIC ILA ADJUDICATED,zebra_raw,30,0.8276758732271083,0.020840669332966348,0.8296093202314612,0.7792207792207793,0.8623501384251613
NONFIBROTIC ILD ADJUDICATED,combined_isotonic,30,0.6104834071276641,0.09744908247784388,0.629802057559578,0.3495653730954551,0.7783321396015106
NONFIBROTIC ILD ADJUDICATED,combined_raw,30,0.6044111103876373,0.13182125685128399,0.6472481768459435,0.293601054824847,0.776476429222555
NONFIBROTIC ILD ADJUDICATED,genomic_isotonic,30,0.5131652341884794,0.050146808314736314,0.5,0.40286414246646696,0.622464676390155
NONFIBROTIC ILD ADJUDICATED,genomic_raw,30,0.5201416471328731,0.07438538191440822,0.5116673720536529,0.3760173850761818,0.6583376741763249
NONFIBROTIC ILD ADJUDICATED,zebra_isotonic,30,0.793714323696662,0.03489687473611164,0.8025967736684464,0.7276989191300951,0.8519664018752442
NONFIBROTIC ILD ADJUDICATED,zebra_raw,30,0.8191195142596691,0.022218294044779246,0.8194975745539783,0.7802285453835135,0.856772528975127
