target_name,repeat,split_seed,model,n_test,n_positive,n_negative,observed_prevalence,performance_prevalence,zedstat_auc,zedstat_auc_ci_low,zedstat_auc_ci_high,brier_score,calibration_intercept,calibration_slope,expected_calibration_error,max_calibration_error,mean_predicted_risk,observed_to_expected_ratio,sklearn_auc_check,auc_zedstat_minus_sklearn
FILD or FILA ADJUDICATED,1,793387248,zebra_raw,7695,152,7543,0.019753086419753086,0.019753086419753086,0.8094063956766917,0.7674918843180073,0.8513209070353761,0.4009802175626576,-4.544123817036471,0.17753381166002358,0.5668036495073833,0.922873267364744,0.5865567359271365,0.03367634400878632,0.8093714458159187,3.494986077301476e-05
FILD or FILA ADJUDICATED,1,793387248,zebra_isotonic,7695,152,7543,0.019753086419753086,0.019753086419753086,0.8019503842099314,0.7595242264289461,0.8443765419909166,0.01630449558359918,-0.27436210138967293,0.9083988339972877,0.00333439531725977,0.014194644815705898,0.01951339017715441,1.0122836800997965,0.8019573742124101,-6.9900024787239445e-06
FILD or FILA ADJUDICATED,1,793387248,genomic_raw,7695,152,7543,0.019753086419753086,0.019753086419753086,0.5630340921052632,0.5153042737518008,0.6107639104587257,0.01985218281088174,-3.1404276913534273,0.08729453753998032,0.01704337665135427,0.028938805586834825,0.0027097097683988127,7.28974248464452,0.5629766531534989,5.743895176435476e-05
FILD or FILA ADJUDICATED,1,793387248,genomic_isotonic,7695,152,7543,0.019753086419753086,0.019753086419753086,0.5561768618837496,0.5085477441010169,0.6038059796664823,0.019350103664755897,-3.7309423793738827,0.04009930538570153,0.004086638615788921,0.008603719391958288,0.019969942747278372,0.9891408638337313,0.556177041104684,-1.792209344264606e-07
FILD or FILA ADJUDICATED,1,793387248,combined_raw,7695,152,7543,0.019753086419753086,0.019753086419753086,0.8000062828947367,0.7574512870812791,0.8425612787081944,0.024619358496444445,-2.126308620929341,0.6498831583625991,0.04224490803228027,0.24872663554415742,0.06064727859390338,0.32570441539546313,0.7999722642812787,3.4018613458086655e-05
FILD or FILA ADJUDICATED,1,793387248,combined_isotonic,7695,152,7543,0.019753086419753086,0.019753086419753086,0.7941451121339395,0.7512128243213844,0.8370773999464945,0.016413873659175706,-0.8378155811107514,0.7513196169183212,0.003411674456999969,0.008087910288400604,0.019723903602809283,1.0014795659891405,0.7941547408890781,-9.628755138657574e-06
FILD or FILA ADJUDICATED,2,2080380566,zebra_raw,7695,152,7543,0.019753086419753086,0.019753086419753086,0.8071139791963016,0.7650391591316794,0.8491887992609237,0.4061009615314655,-4.573381737599336,0.17769063660278067,0.570647974242247,0.9263200930218981,0.5904010606620002,0.03345706458861118,0.8070706022314169,4.337696488465603e-05
FILD or FILA ADJUDICATED,2,2080380566,zebra_isotonic,7695,152,7543,0.019753086419753086,0.019753086419753086,0.8021500531171222,0.7597372332962359,0.8445628729380085,0.016144571701444572,-0.7236303642102598,0.7904471648001973,0.005174545795151914,0.021154378123492537,0.021133733708333928,0.934670924331918,0.8021361736569982,1.3879460123988885e-05
FILD or FILA ADJUDICATED,2,2080380566,genomic_raw,7695,152,7543,0.019753086419753086,0.019753086419753086,0.5693209210526315,0.5215095048421562,0.6171323372631069,0.11210798252978518,-3.5635394834783174,0.3972190774196772,0.2769766640850188,0.536202823289143,0.2967297505047719,0.06656928193465866,0.5692634160636909,5.75049889406376e-05
FILD or FILA ADJUDICATED,2,2080380566,genomic_isotonic,7695,152,7543,0.019753086419753086,0.019753086419753086,0.5693253891937963,0.5215139186575635,0.6171368597300291,0.019391128513155127,-2.079406811847492,0.46862248140413015,0.005798096180182861,0.02208560501475431,0.02146314397306085,0.9203258592751314,0.5693253417249873,4.746880899464401e-08
