target_name,repeat,split_seed,model,calibration_source,n_calibration,n_positive_calibration,raw_auc_calibration_data,calibrated_auc_calibration_data,raw_brier_calibration_data,calibrated_brier_calibration_data,n_unique_raw_scores,n_unique_calibrated_scores
FILD or FILA ADJUDICATED,1,793387248,zebra,outer_train_fixed_score,5130,102,0.8250639555742743,0.8369171853307752,0.4081055628220997,0.01582078740967237,5080,13
FILD or FILA ADJUDICATED,1,793387248,genomic,outer_train_oof_predictions,5130,102,0.5452797666401485,0.5787950223844509,0.020456901926906034,0.019447949311369082,5130,6
FILD or FILA ADJUDICATED,1,793387248,combined,outer_train_oof_predictions,5130,102,0.7951198777044629,0.8098023616765719,0.02727856040488306,0.015944317132080357,5130,12
FILD or FILA ADJUDICATED,2,2080380566,zebra,outer_train_fixed_score,5130,102,0.8285834620244279,0.8397532640741262,0.4004244468688878,0.016096255039253153,5084,13
FILD or FILA ADJUDICATED,2,2080380566,genomic,outer_train_oof_predictions,5130,102,0.6396844338371784,0.6593956198231082,0.09612381432012831,0.019240157022158765,5130,10
FILD or FILA ADJUDICATED,2,2080380566,combined,outer_train_oof_predictions,5130,102,0.8261558800131031,0.8379983855117225,0.0331405747073479,0.017257863706422794,5130,22
FILD or FILA ADJUDICATED,3,1856236192,zebra,outer_train_fixed_score,5130,102,0.8019804779509259,0.8190846943391515,0.40481879485028516,0.01645513885678721,5081,12
FILD or FILA ADJUDICATED,3,1856236192,genomic,outer_train_oof_predictions,5130,102,0.5860709438906827,0.6153257444584835,0.0203093717979735,0.019421281667895054,5130,10
FILD or FILA ADJUDICATED,3,1856236192,combined,outer_train_oof_predictions,5130,102,0.75673678381456,0.7759507542078088,0.04119508412774138,0.01832244168904612,5130,17
FILD or FILA ADJUDICATED,4,344941306,zebra,outer_train_fixed_score,5130,102,0.8260096401329028,0.8393671907903973,0.4065145712962493,0.015566512518467534,5089,13
FILD or FILA ADJUDICATED,4,344941306,genomic,outer_train_oof_predictions,5130,102,0.4865790787277521,0.5341002152651037,0.030242898293145838,0.019439741722203835,5130,8
FILD or FILA ADJUDICATED,4,344941306,combined,outer_train_oof_predictions,5130,102,0.8102859282137677,0.8233568487060695,0.08151475807642554,0.01564855185239799,5130,11
FILD or FILA ADJUDICATED,5,1150510078,zebra,outer_train_fixed_score,5130,102,0.8314361146208682,0.8429851654265526,0.4024788192899718,0.016125583839518832,5069,15
FILD or FILA ADJUDICATED,5,1150510078,genomic,outer_train_oof_predictions,5130,102,0.5094568455862855,0.5496679379786918,0.022328597357547088,0.019425746159519554,5130,7
FILD or FILA ADJUDICATED,5,1150510078,combined,outer_train_oof_predictions,5130,102,0.7580665917918481,0.7728007471882945,0.06111116162052795,0.017278451552474598,5130,16
FILD or FILA ADJUDICATED,6,1056497211,zebra,outer_train_fixed_score,5130,102,0.8001017829566194,0.8143582214110783,0.4022928513327776,0.016631603119686724,5076,12
FILD or FILA ADJUDICATED,6,1056497211,genomic,outer_train_oof_predictions,5130,102,0.5697661721808851,0.6001304459731387,0.020107893542846023,0.019414480183546697,5130,11
FILD or FILA ADJUDICATED,6,1056497211,combined,outer_train_oof_predictions,5130,102,0.735225872369632,0.7588650615377416,0.026382293456327775,0.018044795469564428,5130,12
FILD or FILA ADJUDICATED,7,1439170442,zebra,outer_train_fixed_score,5130,102,0.808113778526526,0.8228713323038046,0.40219580475572797,0.016888078119611766,5080,11
FILD or FILA ADJUDICATED,7,1439170442,genomic,outer_train_oof_predictions,5130,102,0.5236557630211989,0.5561775625126741,0.05115673353516945,0.01946731073903034,5130,7
FILD or FILA ADJUDICATED,7,1439170442,combined,outer_train_oof_predictions,5130,102,0.7616543435194285,0.7760677461119692,0.02606021896575866,0.017212096181960918,5130,19
FILD or FILA ADJUDICATED,8,284541068,zebra,outer_train_fixed_score,5130,102,0.8292659147986959,0.8411483925312369,0.40293741496935676,0.015587880972587193,5071,12
FILD or FILA ADJUDICATED,8,284541068,genomic,outer_train_oof_predictions,5130,102,0.524494205001014,0.5630761851279892,0.10500479670242917,0.01945763968873431,5130,8
FILD or FILA ADJUDICATED,8,284541068,combined,outer_train_oof_predictions,5130,102,0.7982962079024132,0.8193732743694135,0.022785087379810255,0.01667448588731083,5130,16
FILD or FILA ADJUDICATED,9,238799131,zebra,outer_train_fixed_score,5130,102,0.8610916124604177,0.8717027781677508,0.39846119247707645,0.016107251001824672,5081,17
FILD or FILA ADJUDICATED,9,238799131,genomic,outer_train_oof_predictions,5130,102,0.5183813780086418,0.558946370911133,0.03916853705176607,0.019224825564014204,5130,6
FILD or FILA ADJUDICATED,9,238799131,combined,outer_train_oof_predictions,5130,102,0.8095722775983901,0.8229775999500835,0.059920339937202104,0.017974401002373446,5130,20
FILD or FILA ADJUDICATED,10,77054240,zebra,outer_train_fixed_score,5130,102,0.7989591620259878,0.8107178233266258,0.4031085656611276,0.015939934025250044,5082,15
FILD or FILA ADJUDICATED,10,77054240,genomic,outer_train_oof_predictions,5130,102,0.5786926544683108,0.603191734131998,0.025197998501065553,0.019369794512860805,5130,10
FILD or FILA ADJUDICATED,10,77054240,combined,outer_train_oof_predictions,5130,102,0.7499610026986132,0.7650022618434805,0.02921402538923089,0.015982725197062335,5130,15
FILD or FILA ADJUDICATED,11,1470016797,zebra,outer_train_fixed_score,5130,102,0.7952583181243859,0.8100948414369725,0.40214267902345874,0.016260978170371233,5084,13
FILD or FILA ADJUDICATED,11,1470016797,genomic,outer_train_oof_predictions,5130,102,0.5175643845445895,0.5659931832717177,0.04097580805949193,0.019446737678641385,5130,9
FILD or FILA ADJUDICATED,11,1470016797,combined,outer_train_oof_predictions,5130,102,0.7580782909822641,0.775350195766453,0.043117154738797125,0.018483188408147715,5130,13
FILD or FILA ADJUDICATED,12,2015180776,zebra,outer_train_fixed_score,5130,102,0.8588824153368587,0.8689300700391533,0.40041338872754195,0.0159851100390947,5083,14
FILD or FILA ADJUDICATED,12,2015180776,genomic,outer_train_oof_predictions,5130,102,0.5289535464145881,0.5534146037094233,0.03839157337085728,0.019464703543752942,5130,8
FILD or FILA ADJUDICATED,12,2015180776,combined,outer_train_oof_predictions,5130,102,0.8115006941519648,0.8271610354563464,0.07069008874653186,0.016450774535763203,5130,16
