target_name,comparison,n_repeats,mean_delta_auc,median_delta_auc,q025,q975,fraction_gt_0
FILD or FILA ADJUDICATED,combined - zebra,30,0.02288149055918662,0.02653526688453156,-0.055703635620915085,0.09177049291938992,0.7
FILD or FILA ADJUDICATED,genomic - zebra,30,-0.019325299564270166,-0.02107162309368199,-0.09733626089324625,0.06214001225490192,0.26666666666666666
FILD or FILA ADJUDICATED,combined - genomic,30,0.04220679012345679,0.04517293028322433,-0.017747480936819156,0.1002944580610021,0.9333333333333333
NON FIBROTIC ILA ADJUDICATED,combined - zebra,30,-0.053031233998975934,-0.06478494623655917,-0.13525537634408602,0.050960061443932336,0.23333333333333334
NON FIBROTIC ILA ADJUDICATED,genomic - zebra,30,-0.06251664106502816,-0.06628264208909368,-0.1530779569892473,0.050616359447004565,0.2
NON FIBROTIC ILA ADJUDICATED,combined - genomic,30,0.00948540706605223,0.0,-0.056995007680491545,0.10991743471582179,0.4666666666666667
NONFIBROTIC ILD ADJUDICATED,combined - zebra,30,0.06851010101010102,0.055113636363636365,-0.1260085227272727,0.25210227272727276,0.8
NONFIBROTIC ILD ADJUDICATED,genomic - zebra,30,0.042260101010101005,0.03342803030303032,-0.11529356060606062,0.24171874999999993,0.6
NONFIBROTIC ILD ADJUDICATED,combined - genomic,30,0.02625000000000001,0.03162878787878781,-0.06999999999999995,0.12026515151515156,0.5666666666666667
