repeat,split_seed,main_target_fpr,lower_target_fpr,main_threshold,lower_threshold,train_achieved_main_fpr,train_achieved_lower_fpr,baseline_sensitivity,baseline_FPR,baseline_PPV,rescued_sensitivity,rescued_FPR,rescued_PPV,baseline_LR_positive,baseline_LR_negative,baseline_diagnostic_odds_ratio,rescued_LR_positive,rescued_LR_negative,rescued_diagnostic_odds_ratio,matched_train_target_FPR,matched_train_achieved_FPR,matched_zebra_threshold,matched_zebra_sensitivity,matched_zebra_FPR,matched_zebra_PPV,matched_zebra_LR_positive,matched_zebra_LR_negative,matched_zebra_diagnostic_odds_ratio,rescue_minus_matched_sensitivity,rescue_minus_matched_FPR,rescue_minus_matched_PPV,rescue_minus_matched_LR_positive,rescue_minus_matched_LR_negative,delta_sensitivity,delta_FPR,delta_PPV,rescued_TP,added_FP,fraction_baseline_FN_rescued,rescue_subgroup_PPV,FP_per_rescued_TP,baseline_explicit_negative_FPR,rescued_explicit_negative_FPR,delta_explicit_negative_FPR,added_explicit_negative_FP,band_N,band_cases,band_carriers,case_prev_carrier,case_prev_noncarrier,carrier_case_OR,carrier_case_fisher_p
1,723161362,0.005,0.02,1.0,0.9998937272627708,0.005194805194805195,0.02017982017982018,0.271523178807947,0.003995205753096284,0.5774647887323944,0.2913907284768212,0.0067918497802636835,0.4631578947368421,67.96225165562915,0.7313989103263974,92.92090909090909,42.902999610440204,0.7134549503710848,60.13413963716327,0.007392607392607393,0.007392607392607393,0.9999981748927159,0.2781456953642384,0.0067918497802636835,0.45161290322580644,40.9528632645111,0.726790556920077,56.347544522396106,0.013245033112582794,0.0,0.011544991511035663,1.9501363459291028,-0.01333560654899224,0.019867549668874163,0.0027966440271673994,-0.11430689399555227,3,21,0.02727272727272727,0.125,7.0,0.1036036036036036,0.12162162162162163,0.01801801801801803,4,118,6,24,0.125,0.031914893617021274,4.333333333333333,0.0976835005799619
1,723161362,0.005,0.05,1.0,0.9974319497249391,0.005194805194805195,0.05014985014985015,0.271523178807947,0.003995205753096284,0.5774647887323944,0.32450331125827814,0.013716873085630577,0.3223684210526316,67.96225165562915,0.7313989103263974,92.92090909090909,23.657236546003986,0.6848912551662962,34.54159527888825,0.012987012987012988,0.012987012987012988,0.9999793072434742,0.2913907284768212,0.011985617259288853,0.3283582089552239,24.311699779249448,0.7172054211979445,33.897819314641744,0.033112582781456956,0.0017312558263417235,-0.005989787902592303,-0.6544632332454619,-0.03231416603164827,0.05298013245033112,0.009721667332534292,-0.2550963676797628,8,73,0.07272727272727272,0.09876543209876543,9.125,0.1036036036036036,0.14414414414414414,0.04054054054054054,9,381,22,81,0.09876543209876543,0.04666666666666667,2.238747553816047,0.10271577982302833
1,723161362,0.005,0.1,1.0,0.9793111450061535,0.005194805194805195,0.1000999000999001,0.271523178807947,0.003995205753096284,0.5774647887323944,0.3841059602649007,0.023971234518577706,0.24369747899159663,67.96225165562915,0.7313989103263974,92.92090909090909,16.023620309050774,0.6310203771825436,25.393189964157703,0.02177822177822178,0.02177822177822178,0.999877215165595,0.31125827814569534,0.019443334665068583,0.24352331606217617,16.008482264356346,0.7023986947445298,22.7911617492097,0.07284768211920534,0.004527899853509123,0.00017416292942046274,0.015138044694428032,-0.0713783175619862,0.11258278145695366,0.01997602876548142,-0.3337673097407977,17,150,0.15454545454545454,0.10179640718562874,8.823529411764707,0.1036036036036036,0.1891891891891892,0.0855855855855856,19,822,41,167,0.10179640718562874,0.0366412213740458,2.979722222222222,0.002082562721738304
1,723161362,0.01,0.02,0.999992744128468,0.9998937272627708,0.01018981018981019,0.02017982017982018,0.2781456953642384,0.009455320282327873,0.37168141592920356,0.2913907284768212,0.011586096683979225,0.33587786259541985,29.41684544352206,0.7287448203159362,40.36645561442047,25.15003425439598,0.716915524099643,35.08088946181115,0.01138861138861139,0.01138861138861139,0.9999902877590241,0.2781456953642384,0.009854840857637501,0.3620689655172414,28.22427062824414,0.7290388666455863,38.714356558393256,0.013245033112582794,0.0017312558263417235,-0.02619110292182153,-3.0742363738481586,-0.012123342545943272,0.013245033112582794,0.002130776401651352,-0.03580355333378371,2,16,0.01834862385321101,0.1111111111111111,8.0,0.13513513513513514,0.14414414414414414,0.009009009009009,2,76,5,18,0.1111111111111111,0.05172413793103448,2.2916666666666665,0.5866345797852647
1,723161362,0.01,0.05,0.999992744128468,0.9974319497249391,0.01018981018981019,0.05014985014985015,0.2781456953642384,0.009455320282327873,0.37168141592920356,0.32450331125827814,0.01851111998934612,0.26063829787234044,29.41684544352206,0.7287448203159362,40.36645561442047,17.530182476535327,0.6882367212702292,25.471152489772887,0.016983016983016984,0.016983016983016984,0.9999483360964674,0.2980132450331126,0.015714475962178717,0.27607361963190186,18.964249635200364,0.7131942285274466,26.590582027502403,0.02649006622516553,0.002796644027167401,-0.015435321759561416,-1.4340671586650373,-0.02495750725721746,0.04635761589403975,0.009055799707018246,-0.11104311805686312,7,68,0.06422018348623854,0.09333333333333334,9.714285714285714,0.13513513513513514,0.16666666666666666,0.031531531531531515,7,339,21,75,0.09333333333333334,0.05303030303030303,1.838235294117647,0.2740106659423628
1,723161362,0.01,0.1,0.999992744128468,0.9793111450061535,0.01018981018981019,0.1000999000999001,0.2781456953642384,0.009455320282327873,0.37168141592920356,0.3841059602649007,0.028765481422293248,0.2116788321167883,29.41684544352206,0.7287448203159362,40.36645561442047,13.353016924208978,0.6341352453545676,21.057048984468338,0.025774225774225775,0.025774225774225775,0.9997530846300876,0.33112582781456956,0.023704887468371287,0.21929824561403508,13.968673264379792,0.6851147400000542,20.388808543775728,0.05298013245033112,0.005060593953921961,-0.007619413497246763,-0.6156563401708137,-0.05097949464548668,0.1059602649006623,0.019310161139965375,-0.16000258381241525,16,145,0.14678899082568808,0.09937888198757763,9.0625,0.13513513513513514,0.21171171171171171,0.07657657657657657,17,780,40,161,0.09937888198757763,0.03877221324717286,2.735632183908046,0.0041106916706186505
2,1402854727,0.005,0.02,0.999999681900042,0.9999264595012858,0.005194805194805195,0.02017982017982018,0.2781456953642384,0.0051937674790251695,0.5185185185185185,0.2847682119205298,0.0070581968304701025,0.4479166666666667,53.553744268976054,0.7256230218888801,73.80381086803105,40.34574534549544,0.7203159196202712,56.011180992313065,0.008191808191808193,0.008191808191808193,0.9999973527870587,0.2781456953642384,0.006925023305366893,0.44680851063829785,40.16530820173204,0.7268880211224265,55.25652787579392,0.0066225165562914245,0.0001331735251032095,0.001108156028368834,0.18043714376339892,-0.006572101502155259,0.0066225165562914245,0.001864429351444933,-0.0706018518518518,1,14,0.009174311926605505,0.06666666666666667,14.0,0.13592233009708737,0.1407766990291262,0.004854368932038833,1,82,5,15,0.06666666666666667,0.05970149253731343,1.125,1.0
2,1402854727,0.005,0.05,0.999999681900042,0.9981777850641681,0.005194805194805195,0.05014985014985015,0.2781456953642384,0.0051937674790251695,0.5185185185185185,0.33112582781456956,0.013450526035424158,0.33112582781456956,53.553744268976054,0.7256230218888801,73.80381086803105,24.618057832273294,0.6779935419735957,36.310165670032355,0.012387612387612388,0.012387612387612388,0.9999868735615033,0.2847682119205298,0.01025436143294713,0.35833333333333334,27.77044809495141,0.7226420205447714,38.42905242905243,0.04635761589403975,0.003196164602477028,-0.027207505518763775,-3.1523902626781144,-0.04464847857117571,0.052980132450331174,0.008256758556398989,-0.18739269070394893,8,62,0.07339449541284404,0.11428571428571428,7.75,0.13592233009708737,0.16990291262135923,0.03398058252427186,7,302,20,70,0.11428571428571428,0.05172413793103448,2.3655913978494625,0.0952150216475326
2,1402854727,0.005,0.1,0.999999681900042,0.9848923307586299,0.005194805194805195,0.1000999000999001,0.2781456953642384,0.0051937674790251695,0.5185185185185185,0.3841059602649007,0.02263949926754561,0.2543859649122807,53.553744268976054,0.7256230218888801,73.80381086803105,16.96618620958317,0.6301605592547842,26.9235926628716,0.02157842157842158,0.02157842157842158,0.9998978088227246,0.31788079470198677,0.017046211213210812,0.2727272727272727,18.648178807947023,0.6939483962312398,26.872572815533985,0.06622516556291391,0.005593288054334799,-0.01834130781499199,-1.681992598363852,-0.06378783697645563,0.1059602649006623,0.017445731788520442,-0.2641325536062378,16,131,0.14678899082568808,0.10884353741496598,8.1875,0.13592233009708737,0.20388349514563106,0.06796116504854369,14,676,38,147,0.10884353741496598,0.04158790170132325,2.8147120055517,0.0037658750943279293
2,1402854727,0.01,0.02,0.9999953115700329,0.9999264595012858,0.01018981018981019,0.02017982017982018,0.2781456953642384,0.007990411506192568,0.4117647058823529,0.2847682119205298,0.009455320282327873,0.37719298245614036,34.80993377483444,0.7276686768035889,47.83761467889909,30.117246525510684,0.7220590880194597,41.71022430881587,0.012587412587412588,0.012587412587412588,0.999986565783974,0.2847682119205298,0.010387534958050339,0.35537190082644626,27.414416709118697,0.7227392674860371,37.931267806267805,0.0,-0.0009322146757224665,0.021821081629694095,2.7028298163919864,-0.0006801794665773908,0.0066225165562914245,0.0014649087761353045,-0.034571723426212564,1,11,0.009174311926605505,0.08333333333333333,11.0,0.1553398058252427,0.16019417475728157,0.0048543689320388606,1,61,5,12,0.08333333333333333,0.08163265306122448,1.0227272727272727,1.0
