repeat,split_seed,main_target_fpr,lower_target_fpr,main_threshold,lower_threshold,matched_zebra_threshold,explicit_negative_N,baseline_explicit_negative_FP,rescued_explicit_negative_FP,matched_zebra_explicit_negative_FP,baseline_explicit_negative_FPR,rescued_explicit_negative_FPR,matched_zebra_explicit_negative_FPR,rescue_minus_baseline_explicit_negative_FPR,matched_minus_baseline_explicit_negative_FPR,rescue_minus_matched_explicit_negative_FPR,rescue_minus_matched_explicit_negative_FP
1,723161362,0.005,0.02,1.0,0.9998937272627708,0.999998174892716,222,23,27,27,0.1036036036036036,0.12162162162162163,0.12162162162162163,0.01801801801801803,0.01801801801801803,0.0,0
1,723161362,0.005,0.05,1.0,0.9974319497249392,0.9999793072434742,222,23,32,31,0.1036036036036036,0.14414414414414414,0.13963963963963963,0.04054054054054054,0.03603603603603603,0.004504504504504514,1
1,723161362,0.005,0.1,1.0,0.9793111450061536,0.999877215165595,222,23,42,41,0.1036036036036036,0.1891891891891892,0.18468468468468469,0.0855855855855856,0.08108108108108109,0.004504504504504514,1
1,723161362,0.01,0.02,0.999992744128468,0.9998937272627708,0.999990287759024,222,30,32,30,0.13513513513513514,0.14414414414414414,0.13513513513513514,0.009009009009009,0.0,0.009009009009009,2
1,723161362,0.01,0.05,0.999992744128468,0.9974319497249392,0.9999483360964674,222,30,37,36,0.13513513513513514,0.16666666666666666,0.16216216216216217,0.031531531531531515,0.02702702702702703,0.004504504504504486,1
1,723161362,0.01,0.1,0.999992744128468,0.9793111450061536,0.9997530846300876,222,30,47,47,0.13513513513513514,0.21171171171171171,0.21171171171171171,0.07657657657657657,0.07657657657657657,0.0,0
2,1402854727,0.005,0.02,0.999999681900042,0.9999264595012858,0.9999973527870588,206,28,29,30,0.13592233009708737,0.1407766990291262,0.14563106796116504,0.004854368932038833,0.009708737864077666,-0.004854368932038833,-1
2,1402854727,0.005,0.05,0.999999681900042,0.998177785064168,0.9999868735615032,206,28,35,34,0.13592233009708737,0.16990291262135923,0.1650485436893204,0.03398058252427186,0.029126213592233025,0.004854368932038833,1
2,1402854727,0.005,0.1,0.999999681900042,0.98489233075863,0.9998978088227246,206,28,42,39,0.13592233009708737,0.20388349514563106,0.18932038834951456,0.06796116504854369,0.05339805825242719,0.014563106796116498,3
2,1402854727,0.01,0.02,0.9999953115700329,0.9999264595012858,0.999986565783974,206,32,33,34,0.1553398058252427,0.16019417475728157,0.1650485436893204,0.0048543689320388606,0.009708737864077693,-0.004854368932038833,-1
2,1402854727,0.01,0.05,0.9999953115700329,0.998177785064168,0.9999628901301856,206,32,39,35,0.1553398058252427,0.18932038834951456,0.16990291262135923,0.03398058252427186,0.014563106796116526,0.01941747572815533,4
2,1402854727,0.01,0.1,0.9999953115700329,0.98489233075863,0.9998427098349608,206,32,46,42,0.1553398058252427,0.22330097087378642,0.20388349514563106,0.06796116504854371,0.048543689320388356,0.01941747572815536,4
3,607328846,0.005,0.02,1.0,0.9998945300611184,0.9999979137735362,217,23,26,26,0.10599078341013825,0.11981566820276497,0.11981566820276497,0.013824884792626724,0.013824884792626724,0.0,0
3,607328846,0.005,0.05,1.0,0.996979998940112,0.9999732356191968,217,23,33,28,0.10599078341013825,0.15207373271889402,0.12903225806451613,0.04608294930875577,0.023041474654377878,0.02304147465437789,5
3,607328846,0.005,0.1,1.0,0.98023748929784,0.9997570446193352,217,23,39,41,0.10599078341013825,0.17972350230414746,0.1889400921658986,0.07373271889400922,0.08294930875576036,-0.00921658986175114,-2
3,607328846,0.01,0.02,0.9999913336771324,0.9998945300611184,0.9999844655818464,217,27,28,27,0.12442396313364056,0.12903225806451613,0.12442396313364056,0.00460829493087557,0.0,0.00460829493087557,1
3,607328846,0.01,0.05,0.9999913336771324,0.996979998940112,0.9999098612206986,217,27,35,35,0.12442396313364056,0.16129032258064516,0.16129032258064516,0.0368663594470046,0.0368663594470046,0.0,0
3,607328846,0.01,0.1,0.9999913336771324,0.98023748929784,0.9995469885938542,217,27,41,50,0.12442396313364056,0.1889400921658986,0.2304147465437788,0.06451612903225805,0.10599078341013825,-0.0414746543778802,-9
4,225406676,0.005,0.02,0.999999375417446,0.999905559443602,0.9999954343008,210,31,33,36,0.14761904761904762,0.15714285714285714,0.17142857142857143,0.009523809523809518,0.023809523809523808,-0.01428571428571429,-3
4,225406676,0.005,0.05,0.999999375417446,0.9974804475769272,0.999969413479294,210,31,38,39,0.14761904761904762,0.18095238095238095,0.18571428571428572,0.033333333333333326,0.0380952380952381,-0.004761904761904773,-1
4,225406676,0.005,0.1,0.999999375417446,0.9796804042133856,0.9998458397164376,210,31,50,45,0.14761904761904762,0.23809523809523808,0.21428571428571427,0.09047619047619046,0.06666666666666665,0.023809523809523808,5
4,225406676,0.01,0.02,0.9999887312219036,0.999905559443602,0.9999773096288324,210,37,38,38,0.1761904761904762,0.18095238095238095,0.18095238095238095,0.004761904761904745,0.004761904761904745,0.0,0
4,225406676,0.01,0.05,0.9999887312219036,0.9974804475769272,0.9999306756331964,210,37,43,42,0.1761904761904762,0.20476190476190476,0.2,0.028571428571428553,0.023809523809523808,0.004761904761904745,1
4,225406676,0.01,0.1,0.9999887312219036,0.9796804042133856,0.9996805600334352,210,37,55,51,0.1761904761904762,0.2619047619047619,0.24285714285714285,0.08571428571428572,0.06666666666666665,0.019047619047619063,4
5,66234774,0.005,0.02,1.0,0.9998901474978722,0.9999979137735362,219,24,27,28,0.1095890410958904,0.1232876712328767,0.1278538812785388,0.0136986301369863,0.0182648401826484,-0.0045662100456621,-1
5,66234774,0.005,0.05,1.0,0.9975987778400656,0.999966821281401,219,24,30,34,0.1095890410958904,0.136986301369863,0.1552511415525114,0.0273972602739726,0.045662100456621,-0.0182648401826484,-4
5,66234774,0.005,0.1,1.0,0.9820354261253031,0.9997486623803514,219,24,35,47,0.1095890410958904,0.1598173515981735,0.2146118721461187,0.0502283105022831,0.1050228310502283,-0.0547945205479452,-12
5,66234774,0.01,0.02,0.9999954893359028,0.9998901474978722,0.999987441920449,219,30,32,31,0.136986301369863,0.1461187214611872,0.1415525114155251,0.0091324200913242,0.0045662100456621,0.0045662100456621,1
5,66234774,0.01,0.05,0.9999954893359028,0.9975987778400656,0.999905559443602,219,30,35,39,0.136986301369863,0.1598173515981735,0.1780821917808219,0.0228310502283105,0.0410958904109589,-0.0182648401826484,-4
5,66234774,0.01,0.1,0.9999954893359028,0.9820354261253031,0.999618722321482,219,30,40,49,0.136986301369863,0.182648401826484,0.2237442922374429,0.045662100456621,0.0867579908675799,-0.0410958904109589,-9
6,1182415509,0.005,0.02,0.9999993580312254,0.9998891163113128,0.999995802861222,237,33,35,35,0.13924050632911392,0.14767932489451477,0.14767932489451477,0.008438818565400852,0.008438818565400852,0.0,0
6,1182415509,0.005,0.05,0.9999993580312254,0.9975203126041698,0.9999817789845564,237,33,42,37,0.13924050632911392,0.17721518987341772,0.15611814345991562,0.037974683544303806,0.016877637130801704,0.021097046413502102,5
6,1182415509,0.005,0.1,0.9999993580312254,0.9813494206462844,0.9998504062118216,237,33,48,47,0.13924050632911392,0.20253164556962025,0.19831223628691982,0.06329113924050633,0.05907172995780591,0.004219409282700426,1
