fold,region,MUC5B_carrier,N,cases,probability
1,P00_P50,0,4129,16,0.003995157384987893
1,P00_P50,1,976,11,0.011770726714431934
1,P65_P75,0,815,8,0.010416666666666666
1,P65_P75,1,206,9,0.04589371980676329
1,P85_P95,0,811,17,0.021551724137931036
1,P85_P95,1,210,17,0.08293838862559241
2,P00_P50,0,4111,17,0.004255836575875486
2,P00_P50,1,995,12,0.012550200803212851
2,P65_P75,0,819,6,0.007926829268292683
2,P65_P75,1,202,7,0.03694581280788178
2,P85_P95,0,824,16,0.02
2,P85_P95,1,197,14,0.07323232323232323
3,P00_P50,0,4123,14,0.003516003879728419
3,P00_P50,1,983,11,0.011686991869918699
3,P65_P75,0,818,8,0.010378510378510378
3,P65_P75,1,203,9,0.04656862745098039
3,P85_P95,0,825,15,0.018765133171912834
3,P85_P95,1,196,19,0.09898477157360407
4,P00_P50,0,4129,15,0.0037530266343825665
4,P00_P50,1,977,10,0.010736196319018405
4,P65_P75,0,813,8,0.010442260442260442
4,P65_P75,1,208,9,0.045454545454545456
4,P85_P95,0,817,19,0.023838630806845965
4,P85_P95,1,204,17,0.08536585365853659
5,P00_P50,0,4112,14,0.003525407245319718
5,P00_P50,1,994,10,0.010552763819095477
5,P65_P75,0,808,8,0.010506798516687269
5,P65_P75,1,213,10,0.04906542056074766
5,P85_P95,0,816,19,0.02386780905752754
5,P85_P95,1,205,17,0.08495145631067962
