fpr,tpr,threshold,model
0.0,0.0,inf,ZeBRA
0.004474988013424964,0.2896825396825397,1.0,ZeBRA
0.004474988013424964,0.29365079365079366,0.9999999953344358,ZeBRA
0.004554898513664696,0.29365079365079366,0.9999999696175019,ZeBRA
0.004634809013904427,0.29365079365079366,0.999999959163491,ZeBRA
0.004714719514144159,0.29365079365079366,0.9999999413113497,ZeBRA
0.00479463001438389,0.29365079365079366,0.9999999180197588,ZeBRA
0.004874540514623622,0.29365079365079366,0.999999854228829,ZeBRA
0.004954451014863353,0.29365079365079366,0.9999998027514454,ZeBRA
0.0050343615151030845,0.29365079365079366,0.9999997884543307,ZeBRA
0.005114272015342816,0.29365079365079366,0.9999996893441377,ZeBRA
0.0051941825155825475,0.29365079365079366,0.999999681900042,ZeBRA
0.005274093015822279,0.29365079365079366,0.9999995546065717,ZeBRA
0.00535400351606201,0.29365079365079366,0.9999995174414168,ZeBRA
0.005433914016301742,0.29365079365079366,0.9999995113379821,ZeBRA
0.005513824516541473,0.29365079365079366,0.9999994921659837,ZeBRA
0.005593735016781205,0.29365079365079366,0.9999994851499261,ZeBRA
0.005673645517020936,0.29365079365079366,0.9999994461491432,ZeBRA
0.005753556017260668,0.29365079365079366,0.9999993754174461,ZeBRA
0.005833466517500399,0.29365079365079366,0.9999993580312254,ZeBRA
0.0059133770177401315,0.29365079365079366,0.9999992812226425,ZeBRA
0.005993287517979863,0.29365079365079366,0.9999992205979313,ZeBRA
0.006073198018219594,0.29365079365079366,0.9999991102135705,ZeBRA
0.006153108518459326,0.29365079365079366,0.9999991077675146,ZeBRA
0.006233019018699057,0.29365079365079366,0.9999990152465127,ZeBRA
0.006312929518938789,0.29365079365079366,0.9999990085597927,ZeBRA
0.00639284001917852,0.29365079365079366,0.999998886901996,ZeBRA
0.006472750519418252,0.29365079365079366,0.9999988484929497,ZeBRA
0.006552661019657983,0.29365079365079366,0.9999986801943217,ZeBRA
0.006632571519897715,0.29365079365079366,0.9999986392159207,ZeBRA
0.006712482020137446,0.29365079365079366,0.9999986361935557,ZeBRA
0.0067923925203771775,0.29365079365079366,0.9999985499504617,ZeBRA
0.006872303020616909,0.29365079365079366,0.9999984360735317,ZeBRA
0.00695221352085664,0.29365079365079366,0.9999983244669518,ZeBRA
0.007032124021096372,0.29365079365079366,0.9999981748927159,ZeBRA
0.007112034521336103,0.29365079365079366,0.9999981361073573,ZeBRA
0.007191945021575835,0.29365079365079366,0.999997977247174,ZeBRA
0.007271855521815566,0.29365079365079366,0.9999979137735362,ZeBRA
0.007351766022055298,0.29365079365079366,0.9999979068800242,ZeBRA
0.007431676522295029,0.29365079365079366,0.9999973527870587,ZeBRA
0.007511587022534761,0.29365079365079366,0.999997347953007,ZeBRA
0.007591497522774493,0.29365079365079366,0.9999973357723917,ZeBRA
0.007671408023014224,0.29365079365079366,0.9999973108934461,ZeBRA
0.007751318523253956,0.29365079365079366,0.9999971914028026,ZeBRA
0.007831229023493686,0.29365079365079366,0.9999970922046212,ZeBRA
0.007911139523733419,0.29365079365079366,0.9999969165430931,ZeBRA
0.00799105002397315,0.29365079365079366,0.9999967463769356,ZeBRA
0.008070960524212882,0.29365079365079366,0.9999966669263346,ZeBRA
0.008150871024452612,0.29365079365079366,0.9999963014112455,ZeBRA
0.008230781524692345,0.29365079365079366,0.9999961708654123,ZeBRA
0.008310692024932075,0.29365079365079366,0.99999616409517,ZeBRA
0.008390602525171808,0.29365079365079366,0.999995837994198,ZeBRA
0.00847051302541154,0.29365079365079366,0.999995802861222,ZeBRA
0.00855042352565127,0.29365079365079366,0.9999955127061466,ZeBRA
0.008630334025891003,0.29365079365079366,0.9999954893359027,ZeBRA
0.008710244526130733,0.29365079365079366,0.9999954343008001,ZeBRA
0.008790155026370466,0.29365079365079366,0.9999953806579015,ZeBRA
0.008870065526610196,0.29365079365079366,0.9999953115700329,ZeBRA
0.008949976026849929,0.29365079365079366,0.9999951745041428,ZeBRA
0.00902988652708966,0.29365079365079366,0.9999950135865591,ZeBRA
0.009109797027329392,0.29365079365079366,0.9999946160292668,ZeBRA
0.009189707527569122,0.29365079365079366,0.9999945719714284,ZeBRA
0.009269618027808854,0.29365079365079366,0.999994451600871,ZeBRA
0.009349528528048585,0.29365079365079366,0.9999933791890818,ZeBRA
0.009429439028288317,0.29365079365079366,0.9999931779316148,ZeBRA
0.009509349528528048,0.29365079365079366,0.9999929791081557,ZeBRA
0.00958926002876778,0.29365079365079366,0.999992960402104,ZeBRA
0.009669170529007511,0.29365079365079366,0.9999929562828902,ZeBRA
0.009749081029247243,0.29365079365079366,0.999992744128468,ZeBRA
0.009828991529486974,0.29365079365079366,0.9999924155765957,ZeBRA
0.009908902029726706,0.29365079365079366,0.9999922547927655,ZeBRA
0.009988812529966437,0.29365079365079366,0.9999919984462263,ZeBRA
0.010068723030206169,0.29365079365079366,0.9999919324775715,ZeBRA
0.010148633530445901,0.29365079365079366,0.9999918433134991,ZeBRA
0.010228544030685632,0.29365079365079366,0.9999918157878532,ZeBRA
0.010308454530925364,0.29365079365079366,0.999991431642652,ZeBRA
0.010388365031165095,0.29365079365079366,0.9999913336771323,ZeBRA
