curve,zedstat_auc,gain_vs_ZeBRA_empirical,gain_vs_best_individual_empirical
ZeBRA empirical/interpolated,0.8141828044217687,0.0,0.0
Hybrid empirical/interpolated,0.8094864822452941,-0.004696322176474643,-0.004696322176474643
ZeBRA own convex hull,0.8218820416538642,0.007699237232095535,0.007699237232095535
Hybrid own convex hull,0.8182353484126985,0.004052543990929802,0.004052543990929802
Pointwise max of ZeBRA and hybrid,0.8195824795714903,0.005399675149721617,0.005399675149721617
Convex hull of concatenated ZeBRA + hybrid ROC points,0.825977627542298,0.011794823120529263,0.011794823120529263
