target_name,comparison,n_repeats,mean_delta_auc,median_delta_auc,q025,q975,fraction_gt_zero
FILD or FILA ADJUDICATED,combined - zebra,30,-0.02527081574411969,-0.021489948854636898,-0.07091104204316308,-0.0012223558614819338,0.0
FILD or FILA ADJUDICATED,genomic - zebra,30,-0.2517571042979317,-0.25305267344418314,-0.30742918233705696,-0.20719773517796214,0.0
FILD or FILA ADJUDICATED,combined - genomic,30,0.22648628855381192,0.2268463441182833,0.18272038557882178,0.27596326020290685,1.0
NON FIBROTIC ILA ADJUDICATED,combined - zebra,30,-0.09146922763116726,-0.08451509606587387,-0.20638809098038283,-0.038078392901700335,0.0
NON FIBROTIC ILA ADJUDICATED,genomic - zebra,30,-0.340733435518431,-0.33509954135525966,-0.3952411895058281,-0.2967784959779471,0.0
NON FIBROTIC ILA ADJUDICATED,combined - genomic,30,0.24926420788726367,0.25161595038081774,0.15857040374995543,0.33046393222513987,1.0
NONFIBROTIC ILD ADJUDICATED,combined - zebra,30,-0.21459757672439986,-0.1905155293658029,-0.4703310164083865,-0.06735251985935675,0.0
NONFIBROTIC ILD ADJUDICATED,genomic - zebra,30,-0.3115421658636108,-0.3220898717280896,-0.4505150003255632,-0.16786965669357995,0.0
NONFIBROTIC ILD ADJUDICATED,combined - genomic,30,0.09694458913921086,0.1246133936710509,-0.12025471252767288,0.22862636736554245,0.8333333333333334
