target_name,repeat,split_seed,model,n_test,n_positive_test,auc,average_precision,brier,log_loss
FILD or FILA ADJUDICATED,1,462275793,zebra_raw,7730,163,0.8284948934710856,0.22495272292110255,0.4049372759225395,1.666014123453404
FILD or FILA ADJUDICATED,1,462275793,zebra_logistic,7730,163,0.8284948934710856,0.22495272292110255,0.019889723631105766,0.08912308306796042
FILD or FILA ADJUDICATED,1,462275793,zebra_plus_genomics_elasticnet,7730,163,0.8316657491643162,0.18681210456653768,0.02024753610052522,0.09382616194534786
FILD or FILA ADJUDICATED,1,462275793,zebra_plus_MUC5B_ridge,7730,163,0.8317545266377012,0.14621427245362323,0.019836092861903767,0.08947931661277479
FILD or FILA ADJUDICATED,1,462275793,zebra_plus_MUC5B_DOCK2_ridge,7730,163,0.8286327215119573,0.1243595050373341,0.019660021791925525,0.08642547329208791
FILD or FILA ADJUDICATED,2,679073803,zebra_raw,7730,163,0.8505903499291807,0.29277218716116576,0.4067801242669302,1.654874443385706
FILD or FILA ADJUDICATED,2,679073803,zebra_logistic,7730,163,0.8505903499291807,0.29277218716116576,0.01983816024180555,0.08740565557789065
FILD or FILA ADJUDICATED,2,679073803,zebra_plus_genomics_elasticnet,7730,163,0.8504127949824107,0.2607509622341913,0.020343607714246766,0.09473318279215022
FILD or FILA ADJUDICATED,2,679073803,zebra_plus_MUC5B_ridge,7730,163,0.8500747109056843,0.16235721811157366,0.0196418301161474,0.0855496993335551
FILD or FILA ADJUDICATED,2,679073803,zebra_plus_MUC5B_DOCK2_ridge,7730,163,0.8380585380012179,0.11460462598680617,0.019825322437815353,0.08913641245155286
FILD or FILA ADJUDICATED,3,486088329,zebra_raw,7730,163,0.8323435388241323,0.26576801319001647,0.4036978916145708,1.631365257317525
FILD or FILA ADJUDICATED,3,486088329,zebra_logistic,7730,163,0.8323435388241323,0.26576801319001647,0.019850694063949244,0.08903498456451157
FILD or FILA ADJUDICATED,3,486088329,zebra_plus_genomics_elasticnet,7730,163,0.8327772917762873,0.2389736306982883,0.020266002887634443,0.09418089870816322
FILD or FILA ADJUDICATED,3,486088329,zebra_plus_MUC5B_ridge,7730,163,0.8339751796020985,0.1586166043362074,0.019686071779560128,0.08689232390256935
FILD or FILA ADJUDICATED,3,486088329,zebra_plus_MUC5B_DOCK2_ridge,7730,163,0.8248071826245864,0.11408525271385332,0.019822566453400713,0.08735657892105919
FILD or FILA ADJUDICATED,4,1196503568,zebra_raw,7730,163,0.8335629116092558,0.23812640512136815,0.40563062688446033,1.6558100203564143
FILD or FILA ADJUDICATED,4,1196503568,zebra_logistic,7730,163,0.8335629116092558,0.23812640512136815,0.019888389610724887,0.08859830881474665
FILD or FILA ADJUDICATED,4,1196503568,zebra_plus_genomics_elasticnet,7730,163,0.8373710193032224,0.15121505233457783,0.020238118096133993,0.09370777647305367
FILD or FILA ADJUDICATED,4,1196503568,zebra_plus_MUC5B_ridge,7730,163,0.8362586659380699,0.14660243662119277,0.01975561423633784,0.08683320377556315
FILD or FILA ADJUDICATED,4,1196503568,zebra_plus_MUC5B_DOCK2_ridge,7730,163,0.8304281344326065,0.13386621400813614,0.019667557504980414,0.08639937581604272
FILD or FILA ADJUDICATED,5,935007611,zebra_raw,7730,163,0.8360211152558616,0.28093348708571025,0.405415092694673,1.6321339630213993
FILD or FILA ADJUDICATED,5,935007611,zebra_logistic,7730,163,0.8360211152558616,0.28093348708571025,0.01984610094782497,0.088584395234575
FILD or FILA ADJUDICATED,5,935007611,zebra_plus_genomics_elasticnet,7730,163,0.8360211152558616,0.28093348708571025,0.020274189026679993,0.09431813617311954
FILD or FILA ADJUDICATED,5,935007611,zebra_plus_MUC5B_ridge,7730,163,0.8432846530097997,0.22792358928779904,0.019566921254501636,0.08595564832010785
