target_name,model,n_repeats,mean,sd,median,min,max
FILD or FILA ADJUDICATED,zebra_logistic,10,0.8391294618787908,0.008145609876995263,0.8362538014189802,0.8284948934710856,0.8524323811577718
FILD or FILA ADJUDICATED,zebra_plus_MUC5B_DOCK2_ridge,10,0.8276155100326653,0.014774219318640076,0.8328595832242194,0.8007809174645153,0.8407332127473102
FILD or FILA ADJUDICATED,zebra_plus_MUC5B_ridge,10,0.8334038418350265,0.020612223331927276,0.8397716594739348,0.7828924592657333,0.8500747109056843
FILD or FILA ADJUDICATED,zebra_plus_genomics_elasticnet,10,0.8394790181130368,0.008042115789583915,0.836696067279542,0.8301974751524418,0.8539647046709922
FILD or FILA ADJUDICATED,zebra_raw,10,0.8391294618787908,0.008145609876995263,0.8362538014189802,0.8284948934710856,0.8524323811577718
NON FIBROTIC ILA ADJUDICATED,zebra_logistic,10,0.8438610438403911,0.018300979790455488,0.842141632528348,0.8220243079917615,0.8885487630989295
NON FIBROTIC ILA ADJUDICATED,zebra_plus_MUC5B_DOCK2_ridge,10,0.8204599336849014,0.018820148536110862,0.8193444028246157,0.7941445239119118,0.85520024670122
NON FIBROTIC ILA ADJUDICATED,zebra_plus_MUC5B_ridge,10,0.8305956193558609,0.018993918481298493,0.8314453522848154,0.788390048208587,0.8611881266550484
NON FIBROTIC ILA ADJUDICATED,zebra_plus_genomics_elasticnet,10,0.7705924790077632,0.019001745063907692,0.7759446506574927,0.7234881062852229,0.7910140778127334
NON FIBROTIC ILA ADJUDICATED,zebra_raw,10,0.8438610438403911,0.018300979790455488,0.842141632528348,0.8220243079917615,0.8885487630989295
NONFIBROTIC ILD ADJUDICATED,zebra_logistic,10,0.8530407157676348,0.018958445816513823,0.8544115952051636,0.8263024435223606,0.8862018787459659
NONFIBROTIC ILD ADJUDICATED,zebra_plus_MUC5B_DOCK2_ridge,10,0.8210415225910557,0.018945894683795893,0.8253893643384047,0.7802054518211157,0.8414627996772706
NONFIBROTIC ILD ADJUDICATED,zebra_plus_MUC5B_ridge,10,0.8486226371599817,0.019915483236232896,0.853725435108345,0.8012801118026741,0.874041897187644
NONFIBROTIC ILD ADJUDICATED,zebra_plus_genomics_elasticnet,10,0.660390372867681,0.1260053435856752,0.6758190698478561,0.43432313278008294,0.7993603042876902
NONFIBROTIC ILD ADJUDICATED,zebra_raw,10,0.8530407157676348,0.018958445816513823,0.8544115952051636,0.8263024435223606,0.8862018787459659
