target_name,repeat,split_seed,model,inner_cv_auc,params_json
FILD or FILA ADJUDICATED,1,462275793,zebra_plus_MUC5B_ridge,0.8515768355676654,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,1,462275793,zebra_plus_MUC5B_DOCK2_ridge,0.8435785757481039,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,1,462275793,zebra_plus_genomics_elasticnet,0.8527898365115627,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,2,679073803,zebra_plus_MUC5B_ridge,0.8250296344946474,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,2,679073803,zebra_plus_MUC5B_DOCK2_ridge,0.8166405751598481,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,2,679073803,zebra_plus_genomics_elasticnet,0.8191660371223648,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,3,486088329,zebra_plus_MUC5B_ridge,0.8495555166380333,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,3,486088329,zebra_plus_MUC5B_DOCK2_ridge,0.8444937400818281,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,3,486088329,zebra_plus_genomics_elasticnet,0.8455157998852884,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,4,1196503568,zebra_plus_MUC5B_ridge,0.8449416223411675,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,4,1196503568,zebra_plus_MUC5B_DOCK2_ridge,0.8375311484268715,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,4,1196503568,zebra_plus_genomics_elasticnet,0.8449957577804851,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,5,935007611,zebra_plus_MUC5B_ridge,0.8334781688025981,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,5,935007611,zebra_plus_MUC5B_DOCK2_ridge,0.8275714982082875,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,5,935007611,zebra_plus_genomics_elasticnet,0.8405913448085401,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,6,1169251581,zebra_plus_MUC5B_ridge,0.8234929245167475,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,6,1169251581,zebra_plus_MUC5B_DOCK2_ridge,0.8123779275480176,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,6,1169251581,zebra_plus_genomics_elasticnet,0.8057953253493073,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,7,1893134940,zebra_plus_MUC5B_ridge,0.820063779610032,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,7,1893134940,zebra_plus_MUC5B_DOCK2_ridge,0.8209101292892225,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,7,1893134940,zebra_plus_genomics_elasticnet,0.8285363393641476,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,8,59487979,zebra_plus_MUC5B_ridge,0.8282492784277437,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,8,59487979,zebra_plus_MUC5B_DOCK2_ridge,0.8269349000236229,"{""lr__C"": 10}"
FILD or FILA ADJUDICATED,8,59487979,zebra_plus_genomics_elasticnet,0.82943037152257,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,9,1691016276,zebra_plus_MUC5B_ridge,0.8573309765898331,"{""lr__C"": 10}"
