group,ZeBRA_percentile_cutoff,ZeBRA_threshold,N_high_risk,actual_high_fraction,MUC5B_T_carriers_high_risk,MUC5B_T_carrier_prevalence_high_risk,MUC5B_T_carrier_prevalence_all,enrichment_fold,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,fisher_exact_odds_ratio,fisher_p
Full notebook-32 cohort,50.0,0.542234877638516,6383,0.5,1270,0.1989660034466552,0.19575434748550838,1.01640656262505,1.041646741335007,0.9544263363639761,1.1368377971079553,1.041646741335007,0.37226555251083093
Full notebook-32 cohort,60.0,0.6655225574187223,5107,0.40004699984333386,1017,0.1991384374388095,0.19575434748550838,1.017287431910301,1.0363991368302268,0.9480948300823939,1.132927990683266,1.0363991368302268,0.438930009064491
Full notebook-32 cohort,70.0,0.7918459508188125,3830,0.3000156666144446,781,0.20391644908616188,0.19575434748550838,1.041695633867124,1.0761859744468596,0.9790583538039906,1.182949154252358,1.0761859744468596,0.1313182394125339
Full notebook-32 cohort,75.0,0.8464469884233798,3192,0.2500391665361115,651,0.20394736842105263,0.19575434748550838,1.0418535835386786,1.071097635147222,0.9692246148068959,1.1836782996339237,1.071097635147222,0.18050373470972347
Full notebook-32 cohort,80.0,0.9004332446160401,2554,0.20006266645777848,518,0.2028191072826938,0.19575434748550838,1.0360899253985072,1.0571098322075434,0.9486953732384699,1.1779136157639547,1.0571098322075434,0.31561038633437866
Full notebook-32 cohort,85.0,0.9540026145305618,1915,0.1500078333072223,395,0.206266318537859,0.19575434748550838,1.0536998089052854,1.0803560261156695,0.9577219884890058,1.2186930624887073,1.0803560261156695,0.21155063559840892
Full notebook-32 cohort,90.0,0.9858823182242589,1277,0.10003133322888924,271,0.21221613155833985,0.19575434748550838,1.0840940918262372,1.1197317888004112,0.97161040612104,1.2904341811814382,1.1197317888004112,0.11857303836243185
Full notebook-32 cohort,95.0,0.9985690202487761,639,0.050054833150556165,141,0.22065727699530516,0.19575434748550838,1.1272152053309588,1.1729947780945666,0.9677872005063276,1.4217141420317074,1.1729947780945666,0.11263666319066307
Full notebook-32 cohort,97.5,0.9998982105753043,320,0.02506658311138963,74,0.23125,0.19575434748550838,1.181327531012405,1.2430709915346576,0.955009849101455,1.6180204753373182,1.2430709915346576,0.11611069134836419
Full notebook-32 cohort,99.0,1.0,129,0.010104966316778943,37,0.2868217054263566,0.19575434748550838,1.4652124415657737,1.6621119273831808,1.1320281796668203,2.4404127995846605,1.6621119273831808,0.013552415654289756
Notebook-32 target=0 (includes unadjudicated),50.0,0.5333129159824681,6257,0.5,1200,0.1917852005753556,0.1917852005753556,1.0,1.0,0.9148420001732357,1.0930849259332636,1.0,1.0
Notebook-32 target=0 (includes unadjudicated),60.0,0.655606069795343,5006,0.4000319642000959,951,0.18997203355972833,0.1917852005753556,0.9905458449860167,0.9806684996413191,0.8954127529398158,1.074041779091565,0.9806684996413191,0.6766710020860254
Notebook-32 target=0 (includes unadjudicated),70.0,0.7829910763620284,3754,0.29998401789995205,735,0.19579115610015982,0.1917852005753556,1.0208877197655832,1.0374385647654942,0.941832532960858,1.1427496269205835,1.0374385647654942,0.4574181349001185
Notebook-32 target=0 (includes unadjudicated),75.0,0.8357725951544013,3129,0.25003995525011985,608,0.1943112815596037,0.1917852005753556,1.0131714072653668,1.0218946563155211,0.9224058850874512,1.1321140785080879,1.0218946563155211,0.6749620904625249
Notebook-32 target=0 (includes unadjudicated),80.0,0.8916403924229399,2503,0.20001598210004795,479,0.19137035557331203,0.1917852005753556,0.9978369290185111,0.9966580112054616,0.8916620263842943,1.1140176007359939,0.9966580112054616,0.9773590749764798
Notebook-32 target=0 (includes unadjudicated),85.0,0.9453379315703021,1877,0.14999200894997602,361,0.1923281832711774,0.1917852005753556,1.0028312022731307,1.0041260072387908,0.8865612245218403,1.137280777147814,1.0041260072387908,0.9493035690693967
Notebook-32 target=0 (includes unadjudicated),90.0,0.9823124001801576,1252,0.10004794630014384,236,0.18849840255591055,0.1917852005753556,0.9828620873269436,0.9765780779251022,0.8412350968191359,1.1336958549280924,0.9765780779251022,0.791130626789575
Notebook-32 target=0 (includes unadjudicated),95.0,0.9975923263931243,626,0.05002397315007192,120,0.19169329073482427,0.1917852005753556,0.9995207667731628,0.9993759101310589,0.8148084282252432,1.2257509558727713,0.9993759101310589,1.0
Notebook-32 target=0 (includes unadjudicated),97.5,0.9997362529278314,313,0.02501198657503596,59,0.18849840255591055,0.1917852005753556,0.9828620873269436,0.9783489793378561,0.7343969175677008,1.303337068109614,0.9783489793378561,0.942069154366111
Notebook-32 target=0 (includes unadjudicated),99.0,0.999991920886242,126,0.010068723030206169,22,0.1746031746031746,0.1917852005753556,0.9104100529100528,0.8904541631623213,0.5609428549343569,1.4135283295227963,0.8904541631623213,0.7328494150473226
Explicitly adjudicated FILD/FILA negative,50.0,0.97022341655737,180,0.5,36,0.2,0.19166666666666668,1.0434782608695652,1.1136363636363635,0.6585899205104155,1.8830928196594068,1.1136363636363635,0.7890110897198273
Explicitly adjudicated FILD/FILA negative,60.0,0.991878129681424,144,0.4,26,0.18055555555555555,0.19166666666666668,0.9420289855072463,0.8864800945999212,0.5164778754816547,1.5215500903867827,0.8864800945999212,0.6843435464017382
Explicitly adjudicated FILD/FILA negative,70.0,0.9982874123690265,108,0.3,18,0.16666666666666666,0.19166666666666668,0.8695652173913042,0.788235294117647,0.43604238649683963,1.4248956022013626,0.788235294117647,0.46816598790185876
Explicitly adjudicated FILD/FILA negative,75.0,0.9994584594517687,90,0.25,18,0.2,0.19166666666666668,1.0434782608695652,1.0735294117647058,0.5893463790166901,1.9554975460216377,1.0735294117647058,0.8772237656676609
Explicitly adjudicated FILD/FILA negative,80.0,0.9998597509069763,72,0.2,12,0.16666666666666666,0.19166666666666668,0.8695652173913042,0.8105263157894737,0.40889345316533465,1.6066603744854306,0.8105263157894737,0.618182677409145
Explicitly adjudicated FILD/FILA negative,85.0,0.9999925787730146,54,0.15,9,0.16666666666666666,0.19166666666666668,0.8695652173913042,0.82,0.37993361056304653,1.7697828812868905,0.82,0.7099658267305908
Explicitly adjudicated FILD/FILA negative,90.0,1.0,44,0.12222222222222222,7,0.1590909090909091,0.19166666666666668,0.8300395256916996,0.7750653879686138,0.32988062613116637,1.821041637613718,0.7750653879686138,0.6844060776478129
Explicitly adjudicated FILD/FILA negative,95.0,1.0,44,0.12222222222222222,7,0.1590909090909091,0.19166666666666668,0.8300395256916996,0.7750653879686138,0.32988062613116637,1.821041637613718,0.7750653879686138,0.6844060776478129
Explicitly adjudicated FILD/FILA negative,97.5,1.0,44,0.12222222222222222,7,0.1590909090909091,0.19166666666666668,0.8300395256916996,0.7750653879686138,0.32988062613116637,1.821041637613718,0.7750653879686138,0.6844060776478129
Explicitly adjudicated FILD/FILA negative,99.0,1.0,44,0.12222222222222222,7,0.1590909090909091,0.19166666666666668,0.8300395256916996,0.7750653879686138,0.32988062613116637,1.821041637613718,0.7750653879686138,0.6844060776478129
FILD/FILA positive,50.0,0.988449410953696,126,0.5,48,0.38095238095238093,0.39285714285714285,0.9696969696969696,0.9049773755656109,0.5457283988713147,1.5007173018290016,0.9049773755656109,0.7965067176471252
FILD/FILA positive,60.0,0.9992903902152415,101,0.4007936507936508,37,0.36633663366336633,0.39285714285714285,0.9324932493249325,0.8298891129032258,0.494067104862504,1.3939724643415972,0.8298891129032258,0.5123270841317022
FILD/FILA positive,70.0,0.9999884537795279,76,0.30158730158730157,26,0.34210526315789475,0.39285714285714285,0.8708133971291866,0.7336986301369863,0.4187603921738171,1.2854933033911418,0.7336986301369863,0.3258432660356206
FILD/FILA positive,75.0,1.0,73,0.2896825396825397,25,0.3424657534246575,0.39285714285714285,0.87173100871731,0.7390202702702703,0.4189331382171286,1.3036709442337768,0.7390202702702703,0.3220302178036486
FILD/FILA positive,80.0,1.0,73,0.2896825396825397,25,0.3424657534246575,0.39285714285714285,0.87173100871731,0.7390202702702703,0.4189331382171286,1.3036709442337768,0.7390202702702703,0.3220302178036486
FILD/FILA positive,85.0,1.0,73,0.2896825396825397,25,0.3424657534246575,0.39285714285714285,0.87173100871731,0.7390202702702703,0.4189331382171286,1.3036709442337768,0.7390202702702703,0.3220302178036486
FILD/FILA positive,90.0,1.0,73,0.2896825396825397,25,0.3424657534246575,0.39285714285714285,0.87173100871731,0.7390202702702703,0.4189331382171286,1.3036709442337768,0.7390202702702703,0.3220302178036486
FILD/FILA positive,95.0,1.0,73,0.2896825396825397,25,0.3424657534246575,0.39285714285714285,0.87173100871731,0.7390202702702703,0.4189331382171286,1.3036709442337768,0.7390202702702703,0.3220302178036486
FILD/FILA positive,97.5,1.0,73,0.2896825396825397,25,0.3424657534246575,0.39285714285714285,0.87173100871731,0.7390202702702703,0.4189331382171286,1.3036709442337768,0.7390202702702703,0.3220302178036486
FILD/FILA positive,99.0,1.0,73,0.2896825396825397,25,0.3424657534246575,0.39285714285714285,0.87173100871731,0.7390202702702703,0.4189331382171286,1.3036709442337768,0.7390202702702703,0.3220302178036486
