group,N,MUC5B_T_carrier_N,MUC5B_T_carrier_prevalence,point_biserial_r,point_biserial_p,spearman_rho,spearman_p,continuous_auc,cv_logistic_auc,observed_max_enrichment,observed_best_percentile,permutation_p_max_enrichment,null_max_enrichment_mean,null_max_enrichment_q95,null_max_enrichment_q99,observed_99_enrichment,permutation_p_fixed_99
Full notebook-32 cohort,12766,2499,0.19575434748550838,0.010674269870939588,0.2278301958192306,0.012031253534567025,0.17405534054003383,0.5087532626764546,0.5039945266116577,1.4652124415657737,99.0,0.008998200359928014,1.097364709863877,1.306811096531636,1.4256121053072393,1.4652124415657737,0.008998200359928014
Notebook-32 target=0 (includes unadjudicated),12514,2400,0.1917852005753556,0.0002594469366789606,0.9768483285548442,0.001259912783546413,0.8879273203136996,0.50092380199064,0.48711995748467474,1.0208877197655832,70.0,0.7718456308738252,1.1000748775508828,1.324232804232804,1.4483796296296296,0.9104100529100528,0.7230553889222155
Explicitly adjudicated FILD/FILA negative,360,69,0.19166666666666668,-0.03228370175291638,0.541484907287552,-0.020866699347080707,0.6931500457853013,0.4847103939439215,0.49128442651526477,1.0434782608695652,50.0,0.740251949610078,1.1630010979358802,1.541501976284585,1.7391304347826084,0.8300395256916996,0.7888422315536893
FILD/FILA positive,252,99,0.39285714285714285,0.012672729692339806,0.8413388561516328,-0.03137878295636553,0.6200578633657945,0.48167954050306994,0.41473559120617937,0.9696969696969696,50.0,0.8128374325134973,1.0481688158289513,1.2204234122042341,1.290161892901619,0.87173100871731,0.8812237552489502
