fpr,tpr,threshold
0.0,0.0,inf
0.009376220862091418,0.0625,1.0
0.03789555931761948,0.0625,0.9992985191682806
0.03789555931761948,0.125,0.9992862249531513
0.07058210704518818,0.125,0.9943895481635342
0.07058210704518818,0.1875,0.9943724944330681
0.0760515692147415,0.1875,0.9927013583681157
0.0760515692147415,0.25,0.9926743662936276
0.08047922906628467,0.25,0.9916260860152505
0.08047922906628467,0.3125,0.9916197403075158
0.09272040630290403,0.3125,0.9873223112814441
0.09272040630290403,0.375,0.9873146936561858
0.13426227373355906,0.375,0.9648223331299047
0.13426227373355906,0.4375,0.9647848792048297
0.21213699700481833,0.4375,0.8848564462116535
0.21213699700481833,0.5,0.8848239002169923
0.24091678603984895,0.5,0.8533897763322705
0.24091678603984895,0.5625,0.8529061192320074
0.2682640968876156,0.5625,0.8225247939957442
0.2682640968876156,0.625,0.82228670409008
0.28636541216304207,0.625,0.8030765657951747
0.28636541216304207,0.6875,0.8029448839742711
0.320614663367626,0.6875,0.7654412129550244
0.320614663367626,0.75,0.76534478975613
0.44758432087511396,0.75,0.5985710215903761
0.44758432087511396,0.8125,0.5981976055291868
0.45539783826019015,0.8125,0.5899307275391499
0.45539783826019015,0.875,0.5897860649248218
0.4878239354082563,0.875,0.5516074999411241
0.4878239354082563,0.9375,0.5513841905924007
0.5085297564787081,0.9375,0.5272766359462246
0.5085297564787081,1.0,0.527269457653529
1.0,1.0,0.11693488945217027
