target_name,repeat,model,split_seed,inner_cv_auc,params_json
FILD or FILA ADJUDICATED,1,genomic,171039839,0.5846416714000382,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.01, ""max_bin"": 63, ""max_depth"": 10, ""min_child_samples"": 20, ""min_split_gain"": 0.1, ""n_estimators"": 100, ""num_leaves"": 127, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0, ""subsample"": 0.9}"
FILD or FILA ADJUDICATED,1,combined,171039839,0.8159468549336847,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_bin"": 127, ""max_depth"": 5, ""min_child_samples"": 150, ""min_split_gain"": 0.1, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5, ""subsample"": 0.9}"
FILD or FILA ADJUDICATED,2,genomic,1761127537,0.6421341465379503,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.01, ""max_bin"": 127, ""max_depth"": 3, ""min_child_samples"": 150, ""min_split_gain"": 0.5, ""n_estimators"": 400, ""num_leaves"": 31, ""reg_alpha"": 0.1, ""reg_lambda"": 0.0, ""subsample"": 0.6}"
FILD or FILA ADJUDICATED,2,combined,1761127537,0.8266358419193561,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.01, ""max_bin"": 63, ""max_depth"": 10, ""min_child_samples"": 40, ""min_split_gain"": 0.1, ""n_estimators"": 400, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1, ""subsample"": 0.6}"
FILD or FILA ADJUDICATED,3,genomic,1911455491,0.5254454739838524,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_bin"": 63, ""max_depth"": 10, ""min_child_samples"": 80, ""min_split_gain"": 0.1, ""n_estimators"": 700, ""num_leaves"": 127, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5, ""subsample"": 1.0}"
FILD or FILA ADJUDICATED,3,combined,1911455491,0.8132740883154508,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.03, ""max_bin"": 511, ""max_depth"": 5, ""min_child_samples"": 150, ""min_split_gain"": 0.1, ""n_estimators"": 100, ""num_leaves"": 127, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1, ""subsample"": 0.9}"
FILD or FILA ADJUDICATED,4,genomic,1181887464,0.5854459679521343,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.01, ""max_bin"": 511, ""max_depth"": -1, ""min_child_samples"": 40, ""min_split_gain"": 0.0, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5, ""subsample"": 0.6}"
FILD or FILA ADJUDICATED,4,combined,1181887464,0.7978463526526935,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.01, ""max_bin"": 127, ""max_depth"": 14, ""min_child_samples"": 150, ""min_split_gain"": 0.5, ""n_estimators"": 100, ""num_leaves"": 63, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""subsample"": 0.6}"
FILD or FILA ADJUDICATED,5,genomic,1737722965,0.5547535382524924,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.03, ""max_bin"": 127, ""max_depth"": 7, ""min_child_samples"": 150, ""min_split_gain"": 0.5, ""n_estimators"": 400, ""num_leaves"": 31, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0, ""subsample"": 0.6}"
FILD or FILA ADJUDICATED,5,combined,1737722965,0.8351315527525508,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_bin"": 255, ""max_depth"": 5, ""min_child_samples"": 20, ""min_split_gain"": 0.0, ""n_estimators"": 50, ""num_leaves"": 7, ""reg_alpha"": 0.1, ""reg_lambda"": 0.0, ""subsample"": 0.9}"
