target_name,comparison,n_repeats,mean_delta_auc,median_delta_auc,q025,q975,fraction_gt_zero
FILD or FILA ADJUDICATED,combined - zebra,10,-0.026698142807686898,-0.02221220491624515,-0.06889367053098656,-0.0024528121379479087,0.0
FILD or FILA ADJUDICATED,genomic - zebra,10,-0.300344934941111,-0.29887159372185174,-0.344642157868238,-0.260958971024492,0.0
FILD or FILA ADJUDICATED,combined - genomic,10,0.273646792133424,0.28401494704565594,0.19401408764728342,0.31283552006978965,1.0
NON FIBROTIC ILA ADJUDICATED,combined - zebra,10,-0.16508781658103797,-0.14838710590045945,-0.33227379591698164,-0.06694062195867187,0.0
NON FIBROTIC ILA ADJUDICATED,genomic - zebra,10,-0.3709619650091664,-0.364304427042075,-0.4325780701853655,-0.30768041441278327,0.0
NON FIBROTIC ILA ADJUDICATED,combined - genomic,10,0.20587414842812848,0.22942789081773535,0.05379204105651496,0.3309760682841817,1.0
NONFIBROTIC ILD ADJUDICATED,combined - zebra,10,-0.21230513773628398,-0.19300909117104653,-0.35850883543683726,-0.10436278959197784,0.0
NONFIBROTIC ILD ADJUDICATED,genomic - zebra,10,-0.3435454126325495,-0.3538028757491931,-0.39795835854656525,-0.2696484014810973,0.0
NONFIBROTIC ILD ADJUDICATED,combined - genomic,10,0.1312402748962655,0.14738934993084368,-0.019126757722452745,0.23470403267634848,0.8
